"Name","Level","TID","InfoTID","Action","ActionCount","ActionData","DiamondReward","IconSWF","IconExportName","AndroidID","GameCenterPoints"
"String","int","String","String","String","int","String","int","String","String","String","Int"
,,,,,,,,,,,
"com.supercell.reef.townhall0",0,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",3,"HQ",10,,,"CgkI3vmPzagWEAIQAQ",5
"com.supercell.reef.townhall1",1,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",10,"HQ",20,,,"CgkI3vmPzagWEAIQAg",9
"com.supercell.reef.townhall2",2,"TID_ACHIEVEMENT_TOWN_HALL_TITLE","TID_ACHIEVEMENT_TOWN_HALL","upgrade",20,"HQ",30,,,"CgkI3vmPzagWEAIQAw",13
,,,,,,,,,,,
"com.supercell.reef.goldstoragelevel0",0,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",2,"Gold Storage",10,,,"CgkI3vmPzagWEAIQBA",5
"com.supercell.reef.goldstoragelevel1",1,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",5,"Gold Storage",20,,,"CgkI3vmPzagWEAIQBQ",9
"com.supercell.reef.goldstoragelevel2",2,"TID_ACHIEVEMENT_GOLDSTORAGE_TITLE","TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE","upgrade",10,"Gold Storage",30,,,"CgkI3vmPzagWEAIQBg",13
,,,,,,,,,,,
"com.supercell.reef.clearobstacles0",0,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",5,,10,,,"CgkI3vmPzagWEAIQBw",5
"com.supercell.reef.clearobstacles1",1,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",50,,20,,,"CgkI3vmPzagWEAIQCA",9
"com.supercell.reef.clearobstacles2",2,"TID_ACHIEVEMENT_CLEAR_OBSTACLES_TITLE","TID_ACHIEVEMENT_CLEAR_OBSTACLES","clear_obstacles",100,,30,,,"CgkI3vmPzagWEAIQCQ",13
,,,,,,,,,,,
"com.supercell.reef.destroytownhall0",0,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",5,"HQ",10,,,"CgkI3vmPzagWEAIQCg",5
"com.supercell.reef.destroytownhall1",1,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",100,"HQ",20,,,"CgkI3vmPzagWEAIQCw",9
"com.supercell.reef.destroytownhall2",2,"TID_ACHIEVEMENT_DESTROY_TOWNHALL_TITLE","TID_ACHIEVEMENT_DESTROY_TOWNHALL","destroy",1000,"HQ",30,,,"CgkI3vmPzagWEAIQDA",13
,,,,,,,,,,,
"com.supercell.reef.pvpdefenses0",0,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",5,,10,,,"CgkI3vmPzagWEAIQDQ",5
"com.supercell.reef.pvpdefenses1",1,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",80,,20,,,"CgkI3vmPzagWEAIQDg",9
"com.supercell.reef.pvpdefenses2",2,"TID_ACHIEVEMENT_PVP_DEFENSES_TITLE","TID_ACHIEVEMENT_PVP_DEFENSES","win_pvp_defense",800,,30,,,"CgkI3vmPzagWEAIQDw",13
,,,,,,,,,,,
"com.supercell.reef.winboss0",0,"TID_ACHIEVEMENT_WIN_BOSS_TITLE","TID_ACHIEVEMENT_WIN_BOSS","win_boss",1,,25,,,"CgkI3vmPzagWEAIQEA",10
"com.supercell.reef.winboss1",1,"TID_ACHIEVEMENT_WIN_BOSS_TITLE","TID_ACHIEVEMENT_WIN_BOSS","win_boss",5,,50,,,"CgkI3vmPzagWEAIQEQ",20
"com.supercell.reef.winboss2",2,"TID_ACHIEVEMENT_WIN_BOSS_TITLE","TID_ACHIEVEMENT_WIN_BOSS","win_boss",10,,100,,,"CgkI3vmPzagWEAIQEg",40
,,,,,,,,,,,
"com.supercell.reef.victorypoints0",0,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",50,,25,,,"CgkI3vmPzagWEAIQEw",15
"com.supercell.reef.victorypoints1",1,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",200,,300,,,"CgkI3vmPzagWEAIQFA",30
"com.supercell.reef.victorypoints2",2,"TID_ACHIEVEMENT_VICTORY_POINTS_TITLE","TID_ACHIEVEMENT_VICTORY_POINTS","victory_points",600,,1000,,,"CgkI3vmPzagWEAIQFQ",50
,,,,,,,,,,,
"com.supercell.reef.controloutposts0",0,"TID_ACHIEVEMENT_CONTROL_OUTPOSTS_TITLE","TID_ACHIEVEMENT_CONTROL_OUTPOSTS","control_outposts",3,,20,,,"CgkI3vmPzagWEAIQFg",9
"com.supercell.reef.controloutposts1",1,"TID_ACHIEVEMENT_CONTROL_OUTPOSTS_TITLE","TID_ACHIEVEMENT_CONTROL_OUTPOSTS","control_outposts",10,,30,,,"CgkI3vmPzagWEAIQFw",13
"com.supercell.reef.controloutposts2",2,"TID_ACHIEVEMENT_CONTROL_OUTPOSTS_TITLE","TID_ACHIEVEMENT_CONTROL_OUTPOSTS","control_outposts",35,,40,,,"CgkI3vmPzagWEAIQGA",18
,,,,,,,,,,,
"com.supercell.reef.lootgold0",0,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",20000,"Resource1",10,,,"CgkI3vmPzagWEAIQGQ",5
"com.supercell.reef.lootgold1",1,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",1000000,"Resource1",20,,,"CgkI3vmPzagWEAIQGg",9
"com.supercell.reef.lootgold2",2,"TID_ACHIEVEMENT_LOOT_GOLD_TITLE","TID_ACHIEVEMENT_LOOT_GOLD","loot",40000000,"Resource1",30,,,"CgkI3vmPzagWEAIQGw",13
,,,,,,,,,,,
"com.supercell.reef.lootwood0",0,"TID_ACHIEVEMENT_LOOT_WOOD_TITLE","TID_ACHIEVEMENT_LOOT_WOOD","loot",20000,"Resource2",10,,,"CgkI3vmPzagWEAIQHA",5
"com.supercell.reef.lootwood1",1,"TID_ACHIEVEMENT_LOOT_WOOD_TITLE","TID_ACHIEVEMENT_LOOT_WOOD","loot",1000000,"Resource2",20,,,"CgkI3vmPzagWEAIQHQ",9
"com.supercell.reef.lootwood2",2,"TID_ACHIEVEMENT_LOOT_WOOD_TITLE","TID_ACHIEVEMENT_LOOT_WOOD","loot",40000000,"Resource2",30,,,"CgkI3vmPzagWEAIQHg",13
,,,,,,,,,,,
"com.supercell.reef.lootstone0",0,"TID_ACHIEVEMENT_LOOT_STONE_TITLE","TID_ACHIEVEMENT_LOOT_STONE","loot",20000,"Resource3",10,,,"CgkI3vmPzagWEAIQHw",5
"com.supercell.reef.lootstone1",1,"TID_ACHIEVEMENT_LOOT_STONE_TITLE","TID_ACHIEVEMENT_LOOT_STONE","loot",1000000,"Resource3",20,,,"CgkI3vmPzagWEAIQIA",9
"com.supercell.reef.lootstone2",2,"TID_ACHIEVEMENT_LOOT_STONE_TITLE","TID_ACHIEVEMENT_LOOT_STONE","loot",40000000,"Resource3",30,,,"CgkI3vmPzagWEAIQIQ",13
,,,,,,,,,,,
"com.supercell.reef.lootmetal0",0,"TID_ACHIEVEMENT_LOOT_METAL_TITLE","TID_ACHIEVEMENT_LOOT_METAL","loot",20000,"Resource4",10,,,"CgkI3vmPzagWEAIQIg",5
"com.supercell.reef.lootmetal1",1,"TID_ACHIEVEMENT_LOOT_METAL_TITLE","TID_ACHIEVEMENT_LOOT_METAL","loot",1000000,"Resource4",20,,,"CgkI3vmPzagWEAIQIw",9
"com.supercell.reef.lootmetal2",2,"TID_ACHIEVEMENT_LOOT_METAL_TITLE","TID_ACHIEVEMENT_LOOT_METAL","loot",40000000,"Resource4",30,,,"CgkI3vmPzagWEAIQJA",13
,,,,,,,,,,,
"com.supercell.reef.winwithoutlosses0",0,"TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES_TITLE","TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES","win_without_losses",1,10,20,,,"CgkI3vmPzagWEAIQJQ",9
"com.supercell.reef.winwithoutlosses1",1,"TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES_TITLE","TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES","win_without_losses",1,25,30,,,"CgkI3vmPzagWEAIQJg",13
