"Name","Type","SWF","ExportName"
"String","String","String","String"
"Background1","Background","sc/ui.sc","badge_bg_1"
"Background2","Background","sc/ui.sc","badge_bg_2"
"Background3","Background","sc/ui.sc","badge_bg_3"
"Background4","Background","sc/ui.sc","badge_bg_4"
"Background5","Background","sc/ui.sc","badge_bg_5"
"Background6","Background","sc/ui.sc","badge_bg_6"
"Background7","Background","sc/ui.sc","badge_bg_7"
"Background8","Background","sc/ui.sc","badge_bg_8"
"Background9","Background","sc/ui.sc","badge_bg_9"
"Background10","Background","sc/ui.sc","badge_bg_10"
"Background11","Background","sc/ui.sc","badge_bg_11"
"Background12","Background","sc/ui.sc","badge_bg_12"
"Background13","Background","sc/ui.sc","badge_bg_13"
"Background14","Background","sc/ui.sc","badge_bg_14"
"Background15","Background","sc/ui.sc","badge_bg_15"
"Pattern1","Middle","sc/ui.sc","badge_mid_1"
"Pattern2","Middle","sc/ui.sc","badge_mid_2"
"Pattern3","Middle","sc/ui.sc","badge_mid_3"
"Pattern4","Middle","sc/ui.sc","badge_mid_4"
"Pattern5","Middle","sc/ui.sc","badge_mid_5"
"Pattern6","Middle","sc/ui.sc","badge_mid_6"
"Pattern7","Middle","sc/ui.sc","badge_mid_7"
"Pattern8","Middle","sc/ui.sc","badge_mid_8"
"Pattern9","Middle","sc/ui.sc","badge_mid_9"
"Pattern10","Middle","sc/ui.sc","badge_mid_10"
"Pattern11","Middle","sc/ui.sc","badge_mid_11"
"Pattern12","Middle","sc/ui.sc","badge_mid_12"
"Pattern13","Middle","sc/ui.sc","badge_mid_13"
"Pattern14","Middle","sc/ui.sc","badge_mid_14"
"Symbol1","Foreground","sc/ui.sc","badge_fg_1"
"Symbol2","Foreground","sc/ui.sc","badge_fg_2"
"Symbol3","Foreground","sc/ui.sc","badge_fg_3"
"Symbol4","Foreground","sc/ui.sc","badge_fg_4"
"Symbol5","Foreground","sc/ui.sc","badge_fg_5"
"Symbol6","Foreground","sc/ui.sc","badge_fg_6"
"Symbol7","Foreground","sc/ui.sc","badge_fg_7"
"Symbol8","Foreground","sc/ui.sc","badge_fg_8"
"Symbol9","Foreground","sc/ui.sc","badge_fg_9"
"Symbol10","Foreground","sc/ui.sc","badge_fg_10"
"Symbol11","Foreground","sc/ui.sc","badge_fg_11"
"Symbol12","Foreground","sc/ui.sc","badge_fg_12"
"Symbol13","Foreground","sc/ui.sc","badge_fg_13"
"Symbol14","Foreground","sc/ui.sc","badge_fg_14"
"Symbol15","Foreground","sc/ui.sc","badge_fg_15"
"Symbol16","Foreground","sc/ui.sc","badge_fg_16"
