"Name","DefenseValue","BuildingClass","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildCost","TownHallLevel","MaxStoredResource","UnlockProtoAtLevel","PrototypeCost","HousingSpace","ProducesResource","ResourcePerHour","ResourceMax","UnitProduction","UpgradesUnits","Hitpoints","RegenTime","AttackRange","AttackRate","Damage","MinAttackRange","DamageRadius","AttackSpread","BoostTimeMs","SpeedBoost","ArmorBoost","DamageBoost","CombatSetupTimeMs","CombatTeardownTimeMs","CombatTeardownDelayMs","ProtectedOutsideCombat","ExportNameSetup","SetupEffect","TurretAngleSetup","ExportNameTeardown","TeardownEffect","TurretAngleTeardown","ExportNameProtected","AmplifierRange","AmplifierDamage","HQShieldPercentage","LaserDistance","CreatesArtifacts","ArtifactType","ArtifactCapacity","PrototypeCapacity","ArtifactStorageCapacity","DeepseaDepth","StartingEnergy","EnergyGain","CanNotMove","ExplorableRegions","ReloadTime","ShotsBeforeReload","ResourceProtectionPercent","DamageOverFiveSeconds","XpGain","StunTimeMS","TID","InfoTID","SubtitleTID","SWF","ExportName","ExportNameTop","ExportNameNpc","ExportNameConstruction","BarrelType","ModelName","TextureName","EnemyTextureName","MeshName","ShadowModelName","ShadowMeshName","ShadowTextureName","Width","Height","Passable","ExportNameBuildAnim","DestroyEffect","ShatterEffect","AttackEffect","AttackEffect2","AttackEffect3","TurretX","HitEffect","HitEffect2","Projectile","ExportNameDamaged","ExportNameBase","ExportNameBaseIce","ExportNameBaseFire","ExportNameBaseCoop","ExportNameBaseCrab","PickUpEffect","PlacingEffect","DefenderCharacter","DefenderCount","DefenderZ","MissEffect","VillagerProbability","BuildingReadyEffect","ProjSkewing","ProjYScaling","ProjXOffset","RandomFrame","PrisonerCharacter","PrisonerCount","PrisonerLevel","ExportNameDestruct","DestructDelayMs","DestructRadius","DestructDamage","DestructSpeedBoost","DestructDamageBoost","DestructBoostDurationMs","DestructEffect","SpawnCharacter","Invisible","TroopPresets","AntiAirAttacks","TauntRange","Push","PanicDurationMs","AttackMovingOnly","IsHeroBoat"
"String","int","String","int","int","int","int","String","int","String","int","String","int","String","int","int","int","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","boolean","String","String","int","String","String","int","String","int","int","int","int","boolean","int","int","int","int","int","int","int","boolean","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int","boolean","String","String","String","String","String","String","Int","String","String","String","String","String","String","String","String","String","String","String","String","int","int","String","int","String","int","int","int","boolean","String","int","int","String","int","int","int","int","int","int","String","String","boolean","int","int","int","int","int","boolean","boolean"
"HQ",,"Town Hall",0,0,1,0,"50,0,0",,"0,3000,2000,0,0",,,,,,,,,10000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"TID_BUILDING_PALACE","TID_PALACE_INFO","TID_PALACE_SUBTITLE","sc/in-game.sc","townhall_lvl1",,"headquarters_enemy_lvl1","gen_construction_4",,"model/piers.sbm:7","model/piers.pvr","model/piers.pvr","pier_lvl1Mesh","model/pier_foams.sbm:7","foams01","model/pier_shadows.pvr",5,5,,"gen_construction_5","Empire HQ Destroyed",,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base","Building Pickup","Building Placing",,,,,10,"Building Ready",15,90,-100,,,,,,,,,,,,,,,,,,,,,
,,,0,0,5,0,"600,0,0",,"0,3000,2000,0,0",,,,,,,,,11000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,"townhall_lvl2",,"headquarters_enemy_lvl2",,,,"model/piers.pvr","model/piers.pvr","pier_lvl1Mesh","model/pier_foams.sbm:7","foams01","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,1,0,0,"1900,0,0",,"0,3000,2000,0,0",,,,,,,,,12000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,"townhall_lvl3",,"headquarters_enemy_lvl3",,,,"model/piers.pvr","model/piers.pvr","pier_lvl1Mesh","model/pier_foams.sbm:7","foams01","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,2,0,0,"5900,0,0",,"0,3000,2000,0,0",,,,,,,,,14000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,"townhall_lvl4",,"headquarters_enemy_lvl4",,,,"model/piers.pvr","model/piers.pvr","pier_lvl2Mesh","model/pier_foams.sbm:7","foams02","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,5,0,0,"13000,0,0",,"0,3000,2000,0,0",,,,,,,,,16000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,"townhall_lvl5",,"headquarters_enemy_lvl5",,,,"model/piers.pvr","model/piers.pvr","pier_lvl2Mesh","model/pier_foams.sbm:7","foams02","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,6,0,0,"25000,0,0",,"0,3000,2000,2000,0",,,,,,,,,18000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,"townhall_lvl6",,"headquarters_enemy_lvl6",,,,"model/piers.pvr","model/piers.pvr","pier_lvl3Mesh","model/pier_foams.sbm:7","foams03","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,7,0,0,"33000,5800,0",,"0,3000,2000,2000,0",,,,,,,,,20000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,"townhall_lvl7",,"headquarters_enemy_lvl7",,,,"model/piers.pvr","model/piers.pvr","pier_lvl3Mesh","model/pier_foams.sbm:7","foams03","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,8,0,0,"49000,9800,0",,"0,3000,2000,2000,0",,,,,,,,,23000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,"townhall_lvl7",,"headquarters_enemy_lvl7",,,,"model/piers.pvr","model/piers.pvr","pier_lvl3Mesh","model/pier_foams.sbm:7","foams03","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,10,0,0,"81000,17800,0",,"0,3000,2000,2000,2000",,,,,,,,,26000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,"townhall_lvl7",,"headquarters_enemy_lvl7",,,,"model/piers.pvr","model/piers.pvr","pier_lvl4Mesh","model/pier_foams.sbm:7","foams04","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,12,0,0,"126000,30000,8000",,"0,3000,2000,2000,2000",,,,,,,,,29000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,"townhall_lvl7",,"headquarters_enemy_lvl7",,,,"model/piers.pvr","model/piers.pvr","pier_lvl4Mesh","model/pier_foams.sbm:7","foams04","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
,,,0,14,0,0,"197000,50000,16000",,"0,3000,2000,2000,2000",,,,,,,,,33000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,"townhall_lvl11",,"headquarters_enemy_lvl11",,,,"model/piers.pvr","model/piers.pvr","pier_lvl4Mesh","model/pier_foams.sbm:7","foams04","model/pier_shadows.pvr",,,,,,,,,,,,,,"gen_destroyed_5_C","main_building_base","main_building_base_ice","main_building_base","main_building_base","main_building_base",,,,,,,,"Building Ready",,,,,,,,,,,,,,,,,,,,,,,,
