"Name","HousingSpace","UnlockTownHallLevel","UpgradeHouseLevel","Speed","Hitpoints","TrainingTime","TrainingCost","UpgradeTimeH","UpgradeCost","MaxAttackRange","AttackRange","AttackRate","ReloadTime","ShotsBeforeReload","LaserDistance","Damage","LifeLeech","AttackSpread","AttackDistanceOffsetPercent","DamageOverFiveSeconds","DamageRadius","FriendlyFire","BoostTimeMs","SpeedBoost","ArmorBoost","DamageBoost","Energy","IsNpc","CanAttackWhileWalking","TurnTowardsTarget","XpGain","TID","InfoTID","SubtitleTID","FlavorTID","SWF","SpeedTID","AttackRangeTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","Projectile","DeployEffect","AttackEffect","AttackEffect2","AttackEffect3","HitEffect","HitEffect2","DisembarkEffect","DieEffect","Animation","AnimationEnemy","MissEffect","Footstep","MoveLoopSound","PatrolRadius","CombatSetupTimeMs","CombatTeardownTimeMs","CombatTeardownDelayMs","Flying","Hero","SizeClass"
"String","int","int","int","int","int","int","String","int","String","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","int","int","boolean","boolean","boolean","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int","int","int","boolean","String","int"
"Rifleman",1,1,1,220,140,60,20,2,9500,,470,1000,,,,30,,0,,,,,,,,,0,,,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_assault_troop","sc/tutorial.sc","unit_assault_troop","Machine Gun Ammo","Troop Deploy Assault Troop","Assault Troop Attack","Attack Small Ground Flash",,"Assault Troop Hit",,"Assault Troop Disembark","Assault Troop Die","Assault Troop","Assault Troop BG",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,,1
,,,1,,150,,50,3,19500,,,,,,,32,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,,160,,100,6,42000,,,,,,,35,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,172,,150,8,83000,,,,,,,38,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,184,,200,12,140000,,,,,,,41,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,196,,250,17,236000,,,,,,,44,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,210,,300,22,370000,,,,,,,48,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,225,,350,24,540000,,,,,,,52,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,241,,400,25,630000,,,,,,,56,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,257,,450,28,710000,,,,,,,61,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,275,,500,33,970000,,,,,,,66,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,295,,600,36,1320000,,,,,,,71,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
