"Name","-"
"String","int"
"Patrick Almgren",
"Mauritz Bart",
"Dennis Belfrage",
"Johannes Cole",
"Niko Derome",
"Anders Ehrenborg",
"Visa Forsten",
"Jon Franzas",
"Timur Haussila",
"Jess Hollmeier",
"Hrvoje Horbec",
"Daniel Iosca",
"Eino Joas",
"Tomi Joki-Korpela",
"Olli Juutilainen",
"Sami Kalliokoski",
"Matti Kemppainen",
"Terje Koskinen",
"Mikko Lehtonen",
"Ilkka Leino",
"Ryan Lighton",
"Janne Lindholm",
"Jonne Loikkanen",
"Jussi Nurmi",
"Taneli Oksama",
"Jari Paananen",
"Christopher Peake",
"Janne Peltola",
"Asko Puurula",
"Martin Schjøler",
"Jarno Seppänen",
"Timothy Smith",
"Antti Summala",
"Touko Tahkokallio",
"Antti Takala",
"Sami Timonen",
"Antti Varila",
"Veli Vainio",
"Kustaa Vuori",
"_",
