"Name","Sound","Volume","MinPitch","MaxPitch","ParticleEmitter","CameraShake","AttachToParent","IsoLayer","Targeted","IgnoreTargetedScaling","StartOffset","UseFlashOffset","IsLaser","PlayDuringFastForward","StatusEffectTarget","StatusEffectTargetClass","StatusEffectType","UnitState","StatusEffectPriority","StatusEffectOverride","TriggerOnStatusRefresh","StatusEffectTriggerRateMs","StatusEffectChance","ColorEffectType","ColorEffectLengthMs","Color1Add","Color2Add","Color1Mul","Color2Mul","ColorEffectPhase","ColorEffectSpeed","ShakeEffectLengthMs","ShakeStrengthX","ShakeStrengthY","ShakeSpeedX","ShakeSpeedY"
"String","String","int","int","int","String","int","boolean","String","boolean","boolean","int","boolean","boolean","boolean","String","int","String","String","int","boolean","boolean","int","int","String","int","String","String","String","String","int","int","int","int","int","int","int"
"HammermanStatueDestroyed","sfx/building_destroyed_01.wav",70,85,95,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_gold_crumble_head",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_gold_crumble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_gold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_wood_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerCoreCrabDestroyed","sfx/building_destroyed_01.wav",70,85,95,"SmokePuffHuge",80,,"objects",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_multiple_small_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke_dispersing_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_spark1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_greenglass_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_greenglass_powercore_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"light_beam_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore smoke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
