"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray"
"String","int","boolean","string","int","String"
"SPEED_UP_DIAMOND_COST_1_MIN",1,,,,
"SPEED_UP_DIAMOND_COST_1_HOUR",20,,,,
"SPEED_UP_DIAMOND_COST_24_HOURS",200,,,,
"SPEED_UP_DIAMOND_COST_1_WEEK",600,,,,
"STARTING_DIAMONDS",50,,,,
"STARTING_RESOURCES",,,"0,1600,400,0,0",,
"RESOURCE_DIAMOND_COST_100",1,,,,
"RESOURCE_DIAMOND_COST_1000",6,,,,
"RESOURCE_DIAMOND_COST_10000",36,,,,
"RESOURCE_DIAMOND_COST_100000",216,,,,
"RESOURCE_DIAMOND_COST_1000000",1296,,,,
"RESOURCE_DIAMOND_COST_10000000",7776,,,,
"APP_RATE_XP_LEVEL",7,,,,
"ATTACK_LENGTH_SEC",240,,,,
"ATTACK_PREPARATION_LENGTH_SEC",40,,,,
"FEEDBACK_EMAIL",,,"boombeach.feedback@supercell.net",,
"FEEDBACK_EMAIL_ANDROID",,,"boombeach.android@supercell.net",,
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,
"OVERLAY_ENABLED",,,,,
"HASOFFERS_ENABLED",,"TRUE",,,
"RESOURCE_ICON_LIMIT",10,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,
"HASOFFERS_URL",,,"http://",,
"GAMECENTER_REAUTHORIZE",,,,,
"BILLING_PACK_NAMES_FROM_CSV",,,,,
"FAQ_URL",,,"http://webcontent.supercell.net/bb_faq",,
"FORUMS_URL",,,"http://forum.supercell.net/forumdisplay.php/6-Boom-Beach",,
"WORKER_FOR_ZERO_BUILD_TIME",,"TRUE",,,
"GAME_FACEBOOK_URL",,,"http://www.facebook.com/BoomBeach",,
"TRAIN_CANCEL_MULTIPLIER",100,,,,
"BUILD_CANCEL_MULTIPLIER",50,,,,
"NO_MONEY_COLOR_RED",242,,,,
"NO_MONEY_COLOR_GREEN",109,,,,
"NO_MONEY_COLOR_BLUE",61,,,,
"PAYING_USER_EMAIL_ID",249,,,,
"APPLY_REPLAY_COMPATIBILITY_IF_CONTENT_VERSION",0,,,,
"MIN_COMPATIBLE_CONTENT_VERSION_FOR_REPLAY",0,,,,
"LOW_GFX_DEVICES",,,,,"iPhone3"
,,,,,"iPhone4"
,,,,,"iPad2"
,,,,,"iPod"
"SEND_EVENTS_TO_HASOFFERS",,"TRUE",,,
"SPEED_UP_CONFIRMATION_ENABLED",,"TRUE",,,
"DISABLE_ANIMATOR_RESET",,,,,
"HIDE_GAME_WORLD_IN_FULL_SCREEN_MENUS",,"TRUE",,,
"LANDING_SHIP_MINIMUM_DISTANCE_TO_EACH_OTHER",700,,,,
"ARTIFACT_DROP_CHANCE_BUILDING",20,,,,
"ARTIFACT_DROP_CHANCE_TOWNHALL",250,,,,
"CAMERA_MIN_FOV",4,,,,
"CAMERA_MAX_FOV",22,,,,
"CAMERA_DISTANCE",100,,,,
"CAMERA_FOV",10,,,,
"CAMERA_MIN_DISTANCE",50,,,,
"CAMERA_MAX_DISTANCE",150,,,,
"CAMERA_ISOMETRIC_FACTOR",68,,,,
"CAMERA_MIN_DISTANCE_SKEW_FACTOR",400,,,,
"CAMERA_MAX_DISTANCE_SKEW_FACTOR",75,,,,
"BUILDING_SKEWING",-10,,,,
"BUILDING_Y_SCALING",0,,,,
"DIAMOND_COST_MULTIPLIER_TRAIN_TROOPS",100,,,,
"DIAMOND_COST_MULTIPLIER_UPGRADE_BUILDINGS",100,,,,
"DIAMOND_COST_MULTIPLIER_DEEPSEA",100,,,,
"DIAMOND_COST_MULTIPLIER_CREATE_ARTIFACTS",100,,,,
"DIAMOND_COST_MULTIPLIER_UPGRADE_UNITS",100,,,,
"DIAMOND_COST_MULTIPLIER_REPAIR_HERO",100,,,,
"HERO_REPAIR_TIME_SECONDS",86400,,,,
"MAP_TREASURE_SPAWN_TIME_MIN",151,,,,
"RESEARCH_CANCEL_MULTIPLIER",50,,,,
"OUTPOST_COLLECT_INTERVAL_SECS",600,,,,
"HOME_BASE_LEVEL_FILE",,,"layout/playerbase.level",,
"NPC_MATCHMAKING_RANDOM",12,,,,
"NPC_WIN_SKILL_INCREASE",1,,,,
"NPC_LOOSE_SKILL_DECREASE",0,,,,
"NPC_EXPLORE_SKILL_INCREASE",3,,,,
"TOWN_HALL_DAMAGE_FROM_OTHER_BUILDINGS_PERCENT",70,,,,
"TOWN_HALL_MAX_DAMAGE_FROM_ONE_BUILDING_PERCENT",20,,,,
"NPC_SKILL_START_VALUE",0,,,,
"INVASION_TIME_STEP_MINUTES",19,,,,
"INVASION_CONSTANT",32,,,,
"INVASION_CONSTANT_2",5,,,,
"TROOP_WALKING_VOLUME",30,,,,
"TROOP_WALKING_MIN_PITCH",98,,,,
"TROOP_WALKING_MAX_PITCH",102,,,,
"HERO_WALKING_VOLUME",45,,,,
"HERO_WALKING_MIN_PITCH",75,,,,
"HERO_WALKING_MAX_PITCH",80,,,,
"SPEED_UP_COST_DIVISOR",16,,,,
"RESOURCE_BUYING_COST_DIVISOR_1",2,,,,
"RESOURCE_BUYING_COST_DIVISOR_2",150,,,,
"RESOURCE_BUYING_COIN_MULTIPLIER",50,,,,
"BIG_RESOURCE_BUYING_COST_DIVISOR_1",4,,,,
"BIG_RESOURCE_BUYING_COST_DIVISOR_2",30,,,,
"PVP_MATCHMAKE_CANCEL_CONSTANT",10000,,,,
"VILLAGER_WALKING_VOLUME",100,,,,
"VILLAGER_WALKING_MIN_PITCH",98,,,,
"VILLAGER_WALKING_MAX_PITCH",102,,,,
"SHADER_CONFIGURATION",,,,,"iPhone3 #define SIMPLE"
,,,,,"iPhone4 #define MEDIUM"
,,,,,"iPhone5 #define MEDIUM"
,,,,,"iPhone6 #define MEDIUM"
,,,,,"iPod #define MEDIUM"
,,,,,"iPad2 #define MEDIUM"
,,,,,"iPad3,1 #define MEDIUM"
,,,,,"iPad3,2 #define MEDIUM"
,,,,,"iPad3,3 #define MEDIUM"
,,,,,"iPad3,4 #define MEDIUM"
,,,,,"iPad3,5 #define MEDIUM"
,,,,,"iPad3,6 #define MEDIUM"
,,,,,"iPad4 #define MEDIUM"
"SHADER_CONFIGURATION_DEFAULT",,,"#define MEDIUM",,
"IN_APP_RETRY_LIMIT",4,,,,
"NPC_EXTRA_VP_MAX",200,,,,
"NPC_EXTRA_VP_CHANCE",20,,,,
"INVASION_PVP_NPC_CONSTANT",100,,,,
"PERCENT_XP_NEEDED_TO_UPGRADE_HQ",60,,,,
"HQ_LEVEL_FOR_XP_REQUIREMENT",4,,,,
"OUTPOST_UPGRADE_MIN_DEFENSE_VALUE_PERCENT_INCREASE",5,,,,
"NPC_RANDOM_LOOT_INCREASE_MAX",20,,,,
"NPC_RANDOM_LOOT_FOR_ONE_RESOURCE_DIVISOR",50,,,,
"HELPSHIFT_ENABLED",,"TRUE",,,
"DEVICE_LINK_CODE_LENGTH",12,,,,
"DEVICE_LINK_CODE_VALID_SECONDS",120,,,,
"ANDROID_HIGH_MEMORY_LIMIT",820,,,,
"DEVICE_LINK_ENABLED",,"TRUE",,,
"REQUIRED_TOWN_HALL_LEVEL_FOR_INBOX",0,,,,
"REQUIRED_TOWN_HALL_LEVEL_FOR_ALLIANCES",5,,,,
"HARD_BIND_TOWN_HALL_LEVEL",4,,,,
"GOOGLE_SERVICE_ACHIEVEMENTS",,"TRUE",,,
"GOOGLE_SERVICE_REAUTHORIZE",,,,,
"MIPMAPS_IN_WATER_NORMALS",,"TRUE",,,
"MIPMAPS_IN_MAP_WATER_NORMALS",,"TRUE",,,
"LOW_GFX_DEVICES_ANDROID",,,,,"sm-t210"
,,,,,"MediaPad 10 FHD"
"SHADER_CONFIGURATION_ANDROID",,,,,"Sm-t210 #define SIMPLE"
"MAJOR_LIMIT",20000,,,,
"SUPER_LIMIT",100000,,,,
"INVASION_MAX_HOURS",14,,,,
"SC_MIPMAPS",,"TRUE",,,
"MAP_DEEPSEA_SPAWN_TIME_MIN",557,,,,
"SHOW_KEYBOARD_AGAIN_IF_INVALID_NAME",,"TRUE",,,
"HELPSHIFT_ENABLED_ANDROID",,"TRUE",,,
"SAVE_ACCOUNT_POPUP_ENABLED",,"TRUE",,,
"SAVE_ACCOUNT_POPUP_AFTER_FIRST_PURCHASE",,"TRUE",,,
"SAVE_ACCOUNT_POPUP_AFTER_HQ_LEVEL",3,,,,
"SAVE_ACCOUNT_POPUP_SHOW_AFTER_EACH_HQ",,"TRUE",,,
"SHADER_BUTTON_IN_SETTINGS",,,,,
"SHADER_BUTTON_IN_SETTINGS_ANDROID",,"TRUE",,,
"SETTINGS_SHADER_HIGH",,,"#define MEDIUM",,
"SETTINGS_SHADER_LOW",,,"#define SIMPLE",,
"DEVICE_LINK_ENABLED_ANDROID",,"TRUE",,,
"DISABLE_HELPSHIFT_CONTACT_US_FROM_NON_PAYING",,"TRUE",,,
"DEEPSEA_TIME_PARAMETER_1",360000,,,,
"DEEPSEA_TIME_PARAMETER_2",2080,,,,
"DEEPSEA_PRICE_PARAMETER_1",50,,,,
"DEEPSEA_PRICE_PARAMETER_2",0,,,,
"SEND_EVENTS_TO_FB",,"TRUE",,,
"SAVE_ACCOUNT_POPUP_CHARACTER_SC",,,"sc/tutorial.sc",,
"SAVE_ACCOUNT_POPUP_CHARACTER_EXPORT_NAME",,,"chararacter_enemy_general_happy",,
"DAILY_REWARD_DEPTH_SCORE_MULT",30,,,,
"DAILY_REWARD_DEPTH_SUBTRACT",15,,,,
"DAILY_REWARD_LEVEL_DIVISOR",12,,,,
"WATER_COLOR_SHORE_LIGHT",12647408,,,,
"WATER_COLOR_SHORE_DARK",503459,,,,
"WATER_COLOR_SEA_LIGHT",3448780,,,,
"WATER_COLOR_SEA_DARK",404808,,,,
"WATER_COLOR_SHORE_LIGHT_ICE",7516849,,,,
"WATER_COLOR_SHORE_DARK_ICE",4684928,,,,
"WATER_COLOR_SEA_LIGHT_ICE",3688784,,,,
"WATER_COLOR_SEA_DARK_ICE",1186846,,,,
"WATER_COLOR_SHORE_LIGHT_COOP",24431240,,,,
"WATER_COLOR_SHORE_DARK_COOP",20022854,,,,
"WATER_COLOR_SEA_LIGHT_COOP",19692678,,,,
"WATER_COLOR_SEA_DARK_COOP",597808,,,,
"CRAB_ISLAND_DISABLED_GROUND_COLOR_MULT",9015947,,,,
"CRAB_ISLAND_DISABLED_GROUND_LIGHT_FACTOR",65,,,,
"AUTOMATIC_GOOGLE_LOGIN_FIRST_TIME",,"TRUE",,,
"RELEASE_LOADING_SCREEN_BEFORE_GAME_MODE_ENTER",,"FALSE",,,
"LOW_GFX_DEVICES_STARTS_WITH",,,,,
"LOW_GFX_DEVICES_STARTS_WITH_ANDROID",,,,,"im-"
"KUNLUN_SPLASH_MESSAGE",,,"著作权人：SUPERCELL OY 出版单位：北京昆仑在线网络科技有限公司\n文网游进字[2014]0105号 新广出审[2014]1174号 出版物号：ISBN 978-7-89988-112-5\n抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。",,
"KUNLUN_SWITCH_ACCOUNT",,,,,
"TREE_GROW_BACK_INTERVAL_HOURS",13,,,,
"TREE_GROW_BACK_CHANCE",40,,,,
"TREE_GROW_BACK_MAX_TREES",60,,,,
"LIVE_REPLAY_UPDATE_FREQUENCY_SECONDS",2,,,,
"LIVE_REPLAY_ENABLED",,"TRUE",,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_PER_FRAME",120,,,,
"LIVE_REPLAY_PRESIMULATE_MAX_SUBTICKS_TOTAL",14400,,,,
"LIVE_REPLAY_SPEEDUP_TO_CATCHUP_TO_LIVE_FEED",,"FALSE",,,
"WATER_COLOR_SHORE_LIGHT_FIRE",12645603,,,,
"WATER_COLOR_SHORE_DARK_FIRE",765064,,,,
"WATER_COLOR_SEA_LIGHT_FIRE",2782392,,,,
"WATER_COLOR_SEA_DARK_FIRE",5060187,,,,
"INTEL_CHANCE_PVP",50,,,,
"INTEL_CHANCE_NPC",25,,,,
"ALLIANCE_SCORE_LIMIT",,,,0,
,,,,100,
,,,,200,
,,,,300,
,,,,400,
,,,,500,
,,,,600,
,,,,700,
,,,,800,
,,,,900,
,,,,1000,
,,,,1100,
,,,,1200,
"SEND_GC_ACHIEVEMENT_0_PROGRESS",,"FALSE",,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,
"SEND_GC_ACHIEVEMENT_PROGRESS_ONCE",,"TRUE",,,
"FIRST_DR_TERROR_BOOST_MULTIPLIER",60,,,,
"SECOND_DR_TERROR_BOOST_MULTIPLIER",90,,,,
"NEW_PLAYER_LIMIT",3,,,,
"CONNECT_IOS_TO_KUNLUN",,"TRUE",,,
"PVP_LOOT_SPECIAL_CONSTANT",150,,,,
"PROTOTYPE_TIME_HOURS",168,,,,
"PROTO_PART_DROP_CHANCE_BUILDING",0,,,,
"PROTO_PART_DROP_CHANCE_TOWNHALL",80,,,,
"NAME_CHANGE_DIAMOND_COST",0,,,,
"NAME_CHANGE_MAX_COUNT",1,,,,
"USE_OPTIMIZED_PATHFINDING",,"TRUE",,,
"TERMS_OF_SERVICE_URL",,,"http://supercell.com/terms-of-service",,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"TRUE",,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,
"NPC_MAX_MATCHMAKING_SKILL",3100,,,,
"USE_HELPSHIFT_SDK_LANGUAGE",,"TRUE",,,
"ENABLE_SC_CACHING",,"TRUE",,,
"ENABLE_SC_CACHE_LOADING",,"TRUE",,,
"SC_CACHE_FREE_SPACE_LIMIT",200,,,,
"SC_CACHE_FREE_SPACE_LIMIT_ANDROID",400,,,,
"SC_CACHE_USE_MODULO",,,,,
"GOOGLE_PLAY_DEVELOPER_PAYLOAD",,"TRUE",,,
"ALLIANCE_ROLE_COLOR_MEMBER",16777215,,,,
"ALLIANCE_ROLE_COLOR_OFFICER",13626362,,,,
"ALLIANCE_ROLE_COLOR_CO_LEADER",14154673,,,,
"ALLIANCE_ROLE_COLOR_LEADER",14154673,,,,
"RENDER_CABLES",,"TRUE",,,
"RED_CAMPAIGN_ENABLED",,"FALSE",,,
"RED_CAMPAIGN_SOLD_OUT",,"FALSE",,,
"MEGABASE_UNLOCK_LEVEL",7,,,,
"DEEPSEA_PROTO_PARAMETER",75,,,,
"DEEPSEA_PROTO_PERCENTAGE",30,,,,
"CAMERA_SHAKE",30,,,,
"PERCENT_XP_NEEDED_TO_UPGRADE_HQ21_PLUS",80,,,,
"POSTING_ENABLED",,"TRUE",,,
"TASK_FORCE_MISSION_PROTO_PERCENTAGE",2,,,,
"MEGABASE_DESTURCTION_DECIMALS",1,,,,
"MEGABASE_PATH_FINDING_LOOKUP",,"TRUE",,,
"DAILY_MISSION_VP_COUNT",5,,,,
"DAILY_MISSION_COOLDOWN",20,,,,
"PRACTICE_ATTACKS_ENABLED",,"FALSE",,,
"FINISH_DEFERRED_TRANSACTION_IN_HOURS",24,,,,
"RESET_PENDING_TRANSACTION_WHEN_FINISHING_DEFERRED_PURCHASE",,"TRUE",,,
"AB_TESTING_ENABLED",,"TRUE",,,
"BOOMBOX_ENABLED",,"TRUE",,,
"IOS_10_GAME_CENTER_HELPSHIFT_ARTICLE_ID",3906,,,,
"POSTING_REDIRECTION_URL",,,"https://1681.tlnk.io/serve?action=click&publisher_id=341554&site_id=32112&site_id_android=47844&sub_publisher=Boom%20Beach&sub1={sub1}&invoke_url={invoke_url}",,
"TERMS_OF_SERVICE_KOREA_URL",,,"http://supercell.com/en/terms-of-service/ko/",,
"USE_DEEP_LINKING",,"TRUE",,,
"SHARED_DEEPLINK_URL",,,"https://link.boombeach.com?url={url}",,
"GACHA_TICKET_COST",3,,,,
"GACHA_FREE_ROLLS_PER_VISIT",1,,,,
"DEFERRED_FILE_DOWNLOAD_ENABLED",,"TRUE",,,
"DEFERRED_FILE_DOWNLOAD_ENABLED_LOW_GFX",,"TRUE",,,
"UNIQUE_NPC_SCORE",5,,,,
"MAKE_SUPPLIES_COST_INITIAL",500000,,,,
"MAKE_SUPPLIES_COST_INCREMENT",500000,,,,
"MAKE_SUPPLIES_GAIN",100,,,,
"FAQ_SECTORS_INDEX",,,4805,,
