"Name","TID","InfoTID","FlavorTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","ActiveAbility","HeroLevel","UpgradeTimeH","UpgradeTimeM","UpgradeCost","Radius","DurationMS","TargetBuildingClass","HealPerSecond","ChargeSpeedBoost","ChargeStatusEffect","ChargeDuration","EffectBuildingSelected","DamageBoost","StunTimeMS","Spell","SpellSecondary","AttackDamage","AttackDamageSecondary","AttackRange","AttackRate","AttackSpread","DamageRadius","FriendlyFire","AttackEffect","Projectile","HitEffect","Energy","EnergyIncrease","AttackLength"
"String","String","String","String","String","String","String","String","boolean","int","int","int","String","int","int","String","int","int","String","int","String","int","int","String","String","int","int","int","int","int","int","boolean","String","String","String","int","int","int"
"Mechanic","TID_ABILITY_MECHANIC","TID_STATBAR_HINT_ABILITY_CRITTER_PASSIVE_DESCRIPTION",,,,,,,,,,,,,,,,,,,,,"HeroMechanic",,,,,5500,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HackPad","TID_ABILITY_HACKPAD","TID_STATBAR_HINT_ABILITY_CAPTURE_DESCRIPTION","TID_ABILITY_HACKPAD_FLAVOR","sc/ui.sc","icon_heroability_buildingtakeover","sc/ui.sc","icon_heroability_buildingtakeover","true",,,,,,,"Defense",,,"hack",,"Flare building",100,4000,,,,,1130,200,,,,"Mechnomancer Skill Hacking","MechroHackingRay",,8,7,1100
,,,,,,,,,3,8,,8,,8000,,,,,15000,,100,,,,,,,,,,,,,,,,
,,,,,,,,,6,16,,16,,8000,,,,,15000,,125,,,,,,,,,,,,,,,,
,,,,,,,,,9,32,,32,,8000,,,,,15000,,150,,,,,,,,,,,,,,,,
,,,,,,,,,11,64,,64,,8000,,,,,15000,,175,,,,,,,,,,,,,,,,
,,,,,,,,,13,,,,,8000,,,,,15000,,200,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DemoCharge","TID_ABILITY_DEMOCHARGE","TID_STATBAR_HINT_ABILITY_DEMO_DESCRIPTION","TID_ABILITY_DEMOCHARGE_FLAVOR","sc/ui.sc","icon_heroability_buildingsabotage","sc/ui.sc","icon_heroability_buildingsabotage","true",,,,,,,"Defense",,,"democharge",1000,"Flare building",,,,,,,,200,,2000,,"MechroDemoThrow","MechroDemoCharge","Democharge Explosion",6,4,1100
,,,,,,,,,2,8,,8,,,,,,,,,,,,,5800,3400,,,,,,,,,,,
,,,,,,,,,5,16,,16,,,,,,,,,,,,,7800,4400,,,,,,,,,,,
,,,,,,,,,8,32,,32,,,,,,,,,,,,,9800,5400,,,,,,,,,,,
,,,,,,,,,10,64,,64,,,,,,,,,,,,,11800,6400,,,,,,,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,13800,7400,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overloader","TID_ABILITY_OVERLOADER","TID_STATBAR_HINT_ABILITY_CRITTER_ACTIVE_DESCRIPTION","TID_ABILITY_OVERLOADER_FLAVOR","sc/ui.sc","icon_heroability_critterswarm","sc/ui.sc","icon_heroability_critterswarm","true",,,,,,,,,,,,,,,"HeroMechanicSwarm",,,,,0,,,,,,,8,7,600
,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,32,,32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9,64,,64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grenades","TID_ABILITY_GRENADES","TID_STATBAR_HINT_ABILITY_GRENADE_PASSIVE_DESCRIPTION",,,,,,,,,,,,,,,,,,,,,,,320,,1130,0,200,190,"TRUE","Hero Sgt Grenade","SargeGrenade","Reef Mortar Hit",,,1000
,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,560,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,760,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,890,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1040,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1130,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1220,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1320,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1550,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1670,,,,,,,,,,,,
"Boost","TID_ABILITY_BOOST","TID_STATBAR_HINT_ABILITY_DAMAGE_AURA_DESCRIPTION","TID_ABILITY_BOOST_FLAVOR","sc/ui.sc","icon_heroability_damageaura","sc/ui.sc","icon_heroability_damageaura","true",,,,,,,,,,,,,,,"HeroSpeedDamage",,,,,,,,,,,,6,12,1000
,,,,,,,,,3,8,,8,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,16,,16,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,32,,32,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,14,64,,64,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Damageresistance","TID_ABILITY_DAMAGE_RESISTANCE","TID_STATBAR_HINT_ABILITY_ARMOR_AURA_DESCRIPTION","TID_ABILITY_DAMAGE_RESISTANCE_FLAVOR","sc/ui.sc","icon_heroability_armoraura","sc/ui.sc","icon_heroability_armoraura","true",,,,,,,,,,,,,,,"HeroDamageResistance",,,,,,,,,,,,6,12,1000
,,,,,,,,,2,8,,8,,6000,,,,,,,,,,,,,,,,,,,,,,,
