"TID","Signature","Chain","Location","Weight","Style","Decoration"
"String","String","String","String","int","String","String"
"TID_LETTER_1","TID_LETTER_SIGNATURE_DON",,"gearheart",7,,
"TID_LETTER_2","TID_LETTER_SIGNATURE_DON",,"gearheart",7,,
"TID_LETTER_3","TID_LETTER_SIGNATURE_DON",,"gearheart",7,,
"TID_LETTER_4","TID_LETTER_SIGNATURE_DON",,"gearheart",7,,
"TID_LETTER_5","TID_LETTER_SIGNATURE_DON",,"gearheart",4,,
"TID_LETTER_6","TID_LETTER_SIGNATURE_QUART",,"drt",5,,
"TID_LETTER_7","TID_LETTER_SIGNATURE_QUART",,"drt",5,,
"TID_LETTER_8","TID_LETTER_SIGNATURE_HOGAN",,"drt",1,,
"TID_LETTER_9","TID_LETTER_SIGNATURE_UNCLE",,,1,,
"TID_LETTER_10","TID_LETTER_SIGNATURE_UNCLE",,,1,,
"TID_LETTER_11","TID_LETTER_SIGNATURE_UNCLE",,,1,,
"TID_LETTER_1_CHAIN_1","TID_LETTER_SIGNATURE_WARR1","chain1","drt",0,,
"TID_LETTER_2_CHAIN_1","TID_LETTER_SIGNATURE_WARR2","chain1","drt",0,,
"TID_LETTER_3_CHAIN_1","TID_LETTER_SIGNATURE_WARR2","chain1","drt",0,,
"TID_LETTER_1_CHAIN_2","TID_LETTER_SIGNATURE_BERM1","chain2",,3,,
"TID_LETTER_2_CHAIN_2","TID_LETTER_SIGNATURE_BERM1","chain2",,3,,
"TID_LETTER_3_CHAIN_2","TID_LETTER_SIGNATURE_BERM1","chain2",,3,,
"TID_LETTER_4_CHAIN_2","TID_LETTER_SIGNATURE_BERM2","chain2",,3,,
"TID_LETTER_1_CHAIN_3","TID_LETTER_SIGNATURE_JC","chain3","drt",1,,
"TID_LETTER_2_CHAIN_3","TID_LETTER_SIGNATURE_JC","chain3","drt",1,,
"TID_LETTER_1_CHAIN_4","TID_LETTER_SIGNATURE_CHRONICLER","chain4",,10,,
"TID_LETTER_2_CHAIN_4","TID_LETTER_SIGNATURE_CHRONICLER","chain4",,10,,
"TID_LETTER_3_CHAIN_4","TID_LETTER_SIGNATURE_CHRONICLER","chain4",,10,,
