"Name","IncomePerHour","BoatCapacity","ProtectedVillages"
"String","int","int","int"
1,0,500,0
,20,760,1
,40,960,2
,60,1160,3
,84,1400,4
,105,1610,5
,126,1880,6
,154,2100,6
,176,2400,7
,207,2630,8
,230,2960,9
,253,3310,9
,288,3560,10
,312,3940,11
,350,4200,11
,375,4610,12
,416,4880,13
,442,5320,14
,486,5600,14
,513,6070,15
,540,6560,16
,588,6860,17
,616,7380,17
,667,7690,18
,696,8240,19
,750,8560,19
,780,9140,20
,837,9740,21
,868,10080,22
,928,10710,22
,960,11060,23
,1023,11720,24
,1056,12400,25
,1122,12770,25
,1156,13480,26
,1225,13860,27
,1260,14600,28
,1332,15360,28
,1368,15760,29
,1443,16550,30
,1480,16960,31
,1558,17780,31
,1596,18620,32
,1677,19050,33
,1716,19920,34
,1800,20810,34
,1840,21260,35
,1927,22180,36
,1968,22640,37
,2058,23590,37
,2100,24560,38
,2193,25040,39
,2236,26040,40
,2332,26530,40
,2376,27560,41
,2475,28610,42
,2520,29120,43
,2622,30200,43
,2668,31300,44
,2773,31830,45
,2820,32960,46
,2928,33500,47
,2976,34660,47
,3087,35840,48
,3136,36400,49
,3250,37610,50
,3300,38840,50
,3417,39420,51
,3468,40680,52
,3588,41960,53
,3640,42560,54
,3763,43870,54
,3816,44480,55
,3942,45820,56
,3996,47180,57
,4125,47810,57
,4180,49200,58
,4312,50610,59
,4446,51260,60
,4503,52700,61
,4640,54160,61
,4698,54830,62
,4838,56320,63
,4897,57830,64
,5040,58520,65
,5100,60060,65
,5246,60760,66
,5307,62330,67
,5456,63920,68
,5518,64640,69
,5670,66260,69
,5733,67900,70
,5888,68640,71
,5952,70310,72
,6110,72000,73
,6270,72760,73
,6336,74480,74
,6499,76220,75
,6566,77000,76
,6732,78770,77
,6800,80560,78
,6969,81360,78
,7038,83180,79
,7210,85020,80
,7280,85840,81
,7455,87710,82
,7526,89600,82
,7704,90440,83
,7884,92360,84
,7957,94300,85
,8140,95160,86
,8214,97130,87
,8400,98000,87
,8475,100000,88
,8664,102020,89
,8740,102910,90
,8932,104960,91
,9009,107030,92
,9204,107940,92
,9401,110040,93
,9480,112160,94
,9680,113090,95
,9760,115240,96
,9963,117410,97
,10044,118360,97
,10250,120560,98
,10332,122780,99
,10541,123750,100
,10624,126000,101
,10836,128270,102
,11050,129260,103
,11135,131560,103
,11352,133880,104
,11438,134890,105
,11658,137240,106
,11745,139610,107
,11968,140640,108
,12056,143040,109
,12282,145460,109
,12371,146510,110
,12600,148960,111
,12831,151430,112
,12922,152500,113
,13156,155000,114
,13248,157520,115
,13485,160060,115
,13578,161160,116
,13818,163730,117
,13912,166320,118
,14155,167440,119
,14400,170060,120
,14496,172700,121
,14744,173840,122
,14841,176510,122
,15092,179200,123
,15190,180360,124
,15444,183080,125
,15543,185820,126
,15800,187000,127
,16059,189770,128
,16160,192560,129
,16422,193760,129
,16524,196580,130
,16789,199420,131
,16892,200640,132
,17160,203510,133
,17430,206400,134
,17535,207640,135
,17808,210560,136
,17914,213500,137
,18190,214760,138
,18297,217730,138
,18576,220720,139
,18684,223730,140
,18966,225020,141
,19250,228060,142
,19360,231120,143
,19647,232430,144
,19758,235520,145
,20048,238630,146
,20160,239960,147
,20453,243100,148
,20748,246260,149
,20862,247610,150
,21160,250800,151
,21275,254010,152
,21576,255380,153
,21692,258620,154
,21996,261880,155
,22113,263270,156
,22420,266560,157
,22662,268980,158
,22905,271410,159
,23149,273850,160
,23395,276310,161
,23642,278780,162
,23890,281260,163
,24139,283750,164
,24389,286250,165
,24641,288770,166
,24894,291300,167
,25148,293840,168
,25403,296390,169
,25659,298950,170
,25917,301530,171
,26176,304120,172
,26436,306720,173
,26697,309330,174
,26959,311950,175
,27223,314590,176
,27488,317240,177
,27754,319900,178
,28021,322570,179
,28289,325250,180
,28559,327950,181
,28830,330660,182
,29102,333380,183
,29375,336110,184
,29650,338860,185
,29926,341620,186
,30203,344390,187
,30481,347170,188
,30760,349960,189
,31041,352770,190
,31323,355590,191
,31606,358420,192
,31890,361260,193
,32175,364110,194
,32462,366980,195
,32750,369860,196
,33039,372750,197
,33329,375650,198
,33620,378560,199
,33913,381490,200
,34207,384430,201
,34502,387380,202
,34798,390340,203
,35096,393320,204
,35395,396310,205
,35695,399310,206
,35996,402320,207
,36298,405340,208
,36602,408380,209
,36907,411430,210
,37213,414490,211
,37520,417560,212
,37828,420640,213
,38138,423740,214
,38449,426850,215
,38761,429970,216
,39074,433100,217
,39389,436250,218
,39705,439410,219
,40022,442580,220
,40340,445760,221
,40659,448950,222
,40980,452160,223
,41302,455380,224
,41625,458610,225
,41949,461850,226
,42274,465100,227
,42601,468370,228
,42929,471650,229
,43258,474940,230
,43588,478240,231
,43920,481560,232
,44253,484890,233
,44587,488230,234
,44922,491580,235
,45258,494940,236
,45596,498320,237
,45935,501710,238
,46275,505110,239
,46616,508520,240
,46959,511950,241
,47303,515390,242
,47648,518840,243
,47994,522300,244
,48341,525770,245
,48690,529260,246
,49040,532760,247
,49391,536270,248
,49743,539790,249
,50097,543330,250
,50452,546880,251
,50808,550440,252
,51165,554010,253
,51523,557590,254
,51883,561190,255
,52244,564800,256
,52606,568420,257
,52969,572050,258
,53333,575690,259
,53699,579350,260
,54066,583020,261
,54434,586700,262
,54803,590390,263
,55174,594100,264
,55546,597820,265
,55919,601550,266
,56293,605290,267
,56668,609040,268
,57045,612810,269
,57423,616590,270
,57802,620380,271
,58182,624180,272
,58564,628000,273
,58947,631830,274
,59331,635670,275
,59716,639520,276
,60102,643380,277
,60490,647260,278
,60879,651150,279
,61269,655050,280
,61660,658960,281
,62053,662890,282
,62447,666830,283
,62842,670780,284
,63238,674740,285
,63636,678720,286
,64035,682710,287
,64435,686710,288
,64836,690720,289
,65238,694740,290
,65642,698780,291
,66047,702830,292
,66453,706890,293
,66860,710960,294
,67269,715050,295
,67679,719150,296
,68090,723260,297
,68502,727380,298
,68915,731510,299
,69330,735660,300
,69746,739820,301
,70163,743990,302
