"Name","Dependencies","Deprecated","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","TutorialText","TutorialStep","Darken","TutorialTextBox","SpeechBubble","AbilityName","CustomIconExportName","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","TriggerAtTownHallLevel","TriggerAtNodeTypeFound","TriggerAtRegionIndexExplored","TriggerAtRegionIndexLiberated","TriggerAtNodeIndexLiberated","TriggerAtHeroUnlocked","TriggerAtResourceGained","InitialTutorial","TriggerAtEventSpawn","TriggerAtEventWin","MegabaseState"
"String","String","boolean","String","int","int","String","String","int","int","String","int","boolean","String","String","String","String","boolean","String","String","String","int","String","int","int","int","String","String","boolean","String","String","int"
"change your name",,"true",,,,,,2500,,"TID_TUTORIAL_WELCOME_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/urgent_welcome_01.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_WELCOME_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"good choice",,,,,,,,2500,,"TID_TUTORIAL_WELCOME_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/urgent_welcome_01.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_WELCOME_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"step guard tower","good choice",,"Guard Tower",1,1,,,2000,,"TID_TUTORIAL_GUARD_TOWER_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_GUARD_TOWER_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"step2 defend","step guard tower",,,,,"tutorial1",,1000,,"TID_TUTORIAL_GUARD_TOWER_3",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_DEFEND_1",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_DEFEND_2",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/nasty_talk_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_DEFEND_WATCH",1,"true","tutorial_friendly_male","bubble_with_button_left",,,"false","TID_TUTORIAL_DEFEND_BUTTON",,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"step3 defend","step2 defend",,,,,,,700,,"TID_TUTORIAL_DEFEND_3",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/general_lost_01.mp3","sfx/nasty_talk_01.wav",,,,-1,,,,"true",,,
"train troops1","step3 defend",,,,,,,,5,"TID_TUTORIAL_PREPARE_WAR1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/urgent_welcome_01.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_PREPARE_WAR2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_TRAIN_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"step new boat","train troops1",,"Boat",1,2,,,800,,"TID_TUTORIAL_LANDING_BOAT_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"train troops2","step new boat",,,,,,,,10,"TID_TUTORIAL_TRAIN_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"step3 first attack","train troops2",,,,,,"tutorial1",,,"TID_TUTORIAL_ATTACK_NPC_1",,"true","tutorial_troop_assault","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"tutorial end","step3 first attack",,,,,,,1500,,"TID_TUTORIAL_TUTORIAL_END_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
,,,,,,,,,,"TID_TUTORIAL_TUTORIAL_END_1_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,"true",,,
"outpost","tutorial end",,,,,,,300,,"TID_TUTORIAL_OUTPOST_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,"npc_outpost",,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_OUTPOST_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"player base","tutorial end",,,,,,,300,,"TID_TUTORIAL_PLAYER_BASE_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,"player_base",,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_PLAYER_BASE_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"player outpost","tutorial end",,,,,,,,,"TID_TUTORIAL_PLAYER_OUTPOST_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,"player_outpost",,-1,,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_PLAYER_OUTPOST_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"first mystery fort found","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_1",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,23,-1,,,,,,,
"first mystery fort destroyed","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_1_A",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,23,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_1_B",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"heavy troop unlocked","tutorial end",,,,,,,500,,"TID_TUTORIAL_INTRO_HEAVY_1",,"true","tutorial_troop_heavy","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",2,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INTRO_HEAVY_2",,"true","tutorial_troop_heavy","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"bazooka troop unlocked","tutorial end",,,,,,,500,,"TID_TUTORIAL_INTRO_BAZOOKA",,"true","tutorial_troop_bazooka","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",5,,,-1,,,,,,,
"warrior troop unlocked","tutorial end",,,,,,,500,,"TID_TUTORIAL_INTRO_WARRIOR",,"true","tutorial_troop_warrior","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",8,,,-1,,,,,,,
"tank troop unlocked","tutorial end",,,,,,,500,,"TID_TUTORIAL_INTRO_TANK",,"true","tutorial_troop_tank","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",11,,,-1,,,,,,,
"map room","tutorial end",,,,,,,1000,,"TID_TUTORIAL_MAP_ROOM_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,"tutorial end",,,,,,,,,"TID_TUTORIAL_MAP_ROOM_2",,"true","tutorial_friendly_male","bubble_ability_left","Map Room",,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"FocusFire unlock","tutorial end",,,,,,,,,"TID_TUTORIAL_INTRO_FOCUS_FIRE_1",,"true","tutorial_friendly_male","bubble_ability_left","Flare",,"false",,,"sfx/tutor_no_talk_woop_01.wav",3,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INTRO_FOCUS_FIRE_2",,"true","tutorial_friendly_male","bubble_no_button_left","Flare",,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"HealingWave unlock","tutorial end",,,,,,,,,"TID_TUTORIAL_INTRO_HEALING_WAVE_1",,"true","tutorial_friendly_male","bubble_ability_left","Medkit",,"false",,,"sfx/tutor_no_talk_woop_01.wav",4,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INTRO_HEALING_WAVE_2",,"true","tutorial_friendly_male","bubble_no_button_left","Medkit",,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"Barrage unlock","tutorial end",,,,,,,,,"TID_TUTORIAL_INTRO_AIRSTRIKE_1",,"true","tutorial_friendly_male","bubble_ability_left","Airstrike",,"false",,,"sfx/tutor_no_talk_woop_01.wav",10,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INTRO_AIRSTRIKE_2",,"true","tutorial_friendly_male","bubble_no_button_left","Airstrike",,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"Stun unlock","tutorial end",,,,,,,,,"TID_TUTORIAL_INTRO_STUN",,"true","tutorial_friendly_male","bubble_ability_left","Stun",,"false",,,"sfx/tutor_no_talk_woop_01.wav",7,,,-1,,,,,,,
"liberation","tutorial end",,,,,,,500,,"TID_TUTORIAL_LIBERATION",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,0,1,,,,,,
"artifact","tutorial end",,,,,,,500,,"TID_TUTORIAL_ARTIFACT",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_ARTIFACT_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"resource ship","tutorial end",,,,,,,500,,"TID_TUTORIAL_RESOUCE_SHIP",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_RESOUCE_SHIP_2",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"invasion","tutorial end",,,,,,,500,,"TID_TUTORIAL_INVASION",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INVASION_2",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"base attacked","tutorial end",,,,,,,500,,"TID_TUTORIAL_BASE_ATTACKED",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/battle_lost_talk_01.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_BASE_ATTACKED_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"second boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_2",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,33,-1,,,,,,,
"second boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_2_A",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,33,1,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_2_B",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"third boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_3",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,48,-1,,,,,,,
"third boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_3_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,48,0,,,,,,
,,,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_3_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_3_C",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"fourth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_4",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,58,-1,,,,,,,
"fourth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_4_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,58,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_4_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"fifth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_5",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,76,-1,,,,,,,
"fifth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_5_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,76,0,,,,,,
