"Name","TID","LevelFile","BaseLevelFile","Loot","ExpLevel","MatchmakingSkill","DefenseValue","IsOutpost","OutpostRes","OutpostProduction","UnitType","UnitCount","CommonArtifactPiecesFromTownHall","RareArtifactPiecesFromTownHall","EpicArtifactPiecesFromTownHall","IsEvent","IsCoop","IsGearheartEvent","IsMercenaryCamp","LevelAuthorName"
"String","String","String","String","String","int","int","int","boolean","int","int","String","int","int","int","int","boolean","boolean","boolean","boolean","String"
"tutorial1","TID_TUTORIAL1","level/tutorial/tutorial1.json","layout/small_a.level","0,500,400,20,5",1,1,28,"false",,,"AI Units",4,,,,,,,,
"tutorial2","TID_TUTORIAL2","level/tutorial/tutorial2.json","layout/small_b.level","0,500,400,20,5",1,8,32,"false",,,"AI Units",4,,,,,,,,
"tutorial3","TID_TUTORIAL3","level/tutorial/tutorial3.json","layout/mainland_a.level","0,500,400,20,5",1,1,28,"false",,,"AI Units",4,,,,,,,,
"tutorial4","TID_TUTORIAL4","level/tutorial/tutorial4.json","layout/mainland_b.level","0,720,700,30,5",4,64,74,"false",,,"AI Units",4,,,,,,,,
"tutorial5","TID_TUTORIAL5","level/tutorial/tutorial5.json","layout/small_a.level","0,640,600,30,5",3,52,64,"false",,,"AI Units",4,,,,,,,,
"tutorial6","TID_TUTORIAL6","level/tutorial/tutorial6.json","layout/small_b.level","0,500,400,20,5",1,14,36,"false",,,"AI Units",4,,,,,,,,
"tutorial7","TID_TUTORIAL7","level/tutorial/tutorial7.json","layout/mainland_a.level","0,1100,900,40,10",6,106,112,"false",,,"AI Units",4,,,,,,,,
"tutorial8","TID_TUTORIAL8","level/tutorial/tutorial8.json","layout/small_b.level","0,640,600,30,5",3,51,63,"false",,,"AI Units",4,,,,,,,,
"tutorial9","TID_TUTORIAL9","level/tutorial/tutorial9.json","layout/small_a.level","0,640,600,30,5",3,60,70,"false",,,"AI Units",4,,,,,,,,
"tutorial10","TID_TUTORIAL10","level/tutorial/tutorial10.json","layout/mainland_a.level","0,720,700,30,5",4,67,76,"false",,,"AI Units",4,,,,,,,,
"tutorial11","TID_TUTORIAL11","level/tutorial/tutorial11.json","layout/mainland_b.level","0,720,700,30,5",4,64,74,"false",,,"AI Units",4,,,,,,,,
"tutorial12","TID_TUTORIAL12","level/tutorial/tutorial12.json","layout/med_a.level","0,720,700,30,5",4,76,84,"false",,,"AI Units",4,,,,,,,,
"tutorial13","TID_TUTORIAL13","level/tutorial/tutorial13.json","layout/small_a.level","0,500,400,20,5",1,11,34,"false",,,"AI Units",4,,,,,,,,
"tutorial14","TID_TUTORIAL14","level/tutorial/tutorial14.json","layout/small_b.level","0,1100,900,40,10",6,85,92,"false",,,"AI Units",4,,,,,,,,
"tutorial15","TID_TUTORIAL15","level/tutorial/tutorial15.json","layout/mainland_a.level","0,1100,900,40,10",6,107,113,"false",,,"AI Units",4,,,,,,,,
"tutorial16","TID_TUTORIAL16","level/tutorial/tutorial16.json","layout/mainland_b.level","0,1100,900,40,10",6,99,105,"false",,,"AI Units",4,,,,,,,,
"tutorial17","TID_TUTORIAL17","level/tutorial/tutorial17.json","layout/small_a.level","0,640,600,30,5",3,57,68,"false",,,"AI Units",4,,,,,,,,
"mainland_a_00","TID_MAINLAND_A_00","level/base/mainland_a_00.json","layout/mainland_a.level","0,500,400,20,5",1,8,32,"false",,,,,,,,,,,,
"mainland_a_01","TID_MAINLAND_A_01","level/base/mainland_a_01.json","layout/mainland_a.level","0,500,400,20,5",1,1,28,"false",,,,,,,,,,,,
"mainland_a_02","TID_MAINLAND_A_02","level/base/mainland_a_02.json","layout/mainland_a.level","0,640,600,30,5",3,34,50,"false",,,,,,,,,,,,
"mainland_a_03","TID_MAINLAND_A_03","level/base/mainland_a_03.json","layout/mainland_a.level","0,1100,900,40,10",6,105,111,"false",,,,,,,,,,,,
"mainland_a_04","TID_MAINLAND_A_04","level/base/mainland_a_04.json","layout/mainland_a.level","0,1600,1200,60,20",8,148,156,"false",,,,,,,,,,,,
"mainland_a_05","TID_MAINLAND_A_05","level/base/mainland_a_05.json","layout/mainland_a.level","0,1100,900,40,10",6,105,111,"false",,,,,,,,,,,,
"mainland_a_06","TID_MAINLAND_A_06","level/base/mainland_a_06.json","layout/mainland_a.level","0,1100,900,40,10",6,103,109,"false",,,,,,,,,,,,
"mainland_a_07","TID_MAINLAND_A_07","level/base/mainland_a_07.json","layout/mainland_a.level","0,1100,900,40,10",6,114,120,"false",,,,,,,,,,,,
"mainland_a_08","TID_MAINLAND_A_08","level/base/mainland_a_08.json","layout/mainland_a.level","0,1100,900,40,10",6,120,126,"false",,,,,,,,,,,,
"mainland_a_09","TID_MAINLAND_A_09","level/base/mainland_a_09.json","layout/mainland_a.level","0,1300,1000,50,10",7,126,132,"false",,,,,,,,,,,,
"mainland_a_1","TID_MAINLAND_A_1","level/base/mainland_a_1.json","layout/mainland_a.level","0,640,600,30,5",3,62,72,"false",,,,,,,,,,,,
"mainland_a_2","TID_MAINLAND_A_2","level/base/mainland_a_2.json","layout/mainland_a.level","0,640,600,30,5",3,60,70,"false",,,,,,,,,,,,
"mainland_a_3","TID_MAINLAND_A_3","level/base/mainland_a_3.json","layout/mainland_a.level","0,1100,900,40,10",6,85,92,"false",,,,,,,,,,,,
"mainland_a_4","TID_MAINLAND_A_4","level/base/mainland_a_4.json","layout/mainland_a.level","0,640,600,30,5",3,60,70,"false",,,,,,,,,,,,
"mainland_a_5","TID_MAINLAND_A_5","level/base/mainland_a_5.json","layout/mainland_a.level","0,1900,1500,80,30",9,193,208,"false",,,,,,,,,,,,
"mainland_a_6","TID_MAINLAND_A_6","level/base/mainland_a_6.json","layout/mainland_a.level","0,1900,1500,80,30",9,161,170,"false",,,,,,,,,,,,
"mainland_a_7","TID_MAINLAND_A_7","level/base/mainland_a_7.json","layout/mainland_a.level","0,2900,2500,150,60",12,252,284,"false",,,,,,,,,,,,
"mainland_a_8","TID_MAINLAND_A_8","level/base/mainland_a_8.json","layout/mainland_a.level","0,1900,1500,80,30",9,156,165,"false",,,,,,,,,,,,
"mainland_a_9","TID_MAINLAND_A_9","level/base/mainland_a_9.json","layout/mainland_a.level","0,1900,1500,80,30",9,159,168,"false",,,,,,,,,,,,
"mainland_a_10","TID_MAINLAND_A_10","level/base/mainland_a_10.json","layout/mainland_a.level","0,1900,1500,80,30",9,177,189,"false",,,,,,,,,,,,
"mainland_a_11","TID_MAINLAND_A_11","level/base/mainland_a_11.json","layout/mainland_a.level","0,1900,1500,80,30",9,155,163,"false",,,,,,,,,,,,
"mainland_a_12","TID_MAINLAND_A_12","level/base/mainland_a_12.json","layout/mainland_a.level","0,2900,2500,150,60",12,251,282,"false",,,,,,,,,,,,
"mainland_a_13","TID_MAINLAND_A_13","level/base/mainland_a_13.json","layout/mainland_a.level","0,1300,1000,50,10",7,128,134,"false",,,,,,,,,,,,
"mainland_a_14","TID_MAINLAND_A_14","level/base/mainland_a_14.json","layout/mainland_a.level","0,2200,2000,110,40",10,210,229,"false",,,,,,,,,,,,
"mainland_a_15","TID_MAINLAND_A_15","level/base/mainland_a_15.json","layout/mainland_a.level","0,4300,3900,250,110",15,323,385,"false",,,,,,,,,,,,
"mainland_a_16","TID_MAINLAND_A_16","level/base/mainland_a_16.json","layout/mainland_a.level","0,720,700,30,5",4,72,81,"false",,,,,,,,,,,,
"mainland_a_17","TID_MAINLAND_A_17","level/base/mainland_a_17.json","layout/mainland_a.level","0,500,400,20,5",1,20,40,"false",,,,,,,,,,,,
"mainland_a_18","TID_MAINLAND_A_18","level/base/mainland_a_18.json","layout/mainland_a.level","0,4800,4300,280,120",16,347,422,"false",,,,,,,,,,,,
"mainland_a_19","TID_MAINLAND_A_19","level/base/mainland_a_19.json","layout/mainland_a.level","0,1100,900,40,10",6,122,128,"false",,,,,,,,,,,,
"mainland_a_20","TID_MAINLAND_A_20","level/base/mainland_a_20.json","layout/mainland_a.level","0,2900,2500,150,60",12,253,285,"false",,,,,,,,,,,,
"mainland_a_21","TID_MAINLAND_A_21","level/base/mainland_a_21.json","layout/mainland_a.level","0,1900,1500,80,30",9,167,177,"false",,,,,,,,,,,,
