"Name","SWF","ExportName","ExportNameEnemy","ParticleEmitter","Speed","StartHeight","StartOffset","IsBallistic","DisplayShadow","SpawnProjectile","SpawnCount","SpawnRangeMin","SpawnRangeMax","SpawnRandomAngleOffset","SpawnSpread","RopeShoot","RopePull","PullExportName"
"String","String","String","String","String","int","int","int","boolean","boolean","String","int","int","int","int","int","String","String","String"
"boomcannon_projectile","sc/in-game.sc","boomcannon_projectile","boomcannon_projectile","boom_cannon_trail",3500,100,1400,"false","true",,,,,,,,,
"boomcannon_projectile2","sc/in-game.sc","boomcannon_projectile2","boomcannon_projectile2","boom_cannon_trail",3500,270,1400,"false","true",,,,,,,,,
"Cannonball","sc/in-game.sc","cannon_ammo","cannon_ammo","cannon_trail",3500,150,1000,"false","true",,,,,,,,,
"flamethrower_projectile","sc/in-game.sc","Flamethrower_ammo","Flamethrower_ammo",,850,0,300,,,,,,,,,,,
"Mortar Ammo","sc/in-game.sc","mortar_ammo","mortar_ammo","mortar_trail",500,200,20,"true","true",,,,,,,,,
"ArtilleryAmmo","sc/in-game.sc","artillery_ammo","artillery_ammo","Bazooka trail",2500,200,20,"true","true",,,,,,,,,
"HealAmmo","sc/in-game.sc","heal_ammo","heal_ammo",,4000,200,,,"true",,,,,,,,,
"HealerAmmo","sc/in-game.sc","healer_ammo","healer_ammo",,1400,75,,,,,,,,,,,,
"HealerAmmo_old","sc/in-game.sc","healer_ammo","healer_ammo",,700,75,,"true","true",,,,,,,,,
"FocusFireAmmo","sc/in-game.sc","flare_projectile","flare_projectile",,4000,200,20,"true","true",,,,,,,,,
"StunAmmo","sc/in-game.sc","stun_ammo","stun_ammo",,4000,200,20,"true","true",,,,,,,,,
"Missile Ammo","sc/in-game.sc","missile_ammo","missile_ammo","Barrage_trail",2100,250,500,"true","true",,,,,,,,,
"Rifle Ammo","sc/in-game.sc","rifle_unit_ammo1","rifle_unit_ammo1",,1600,50,60,"true",,,,,,,,,,
"Machine Nest Gun Ammo","sc/in-game.sc","machine_gun_ammo","machine_gun_ammo",,2400,50,300,,,,,,,,,,,
"Machine Nest Gun Ammo 2","sc/in-game.sc","machine_gun_ammo","machine_gun_ammo",,2400,150,400,,,,,,,,,,,
"Machine Gun Ammo","sc/in-game.sc","machine_gun_ammo","machine_gun_ammo",,2400,50,60,,,,,,,,,,,
"Machine Gun Ammo 2","sc/in-game.sc","machine_gun_ammo_2","machine_gun_ammo_2",,2400,50,60,,,,,,,,,,,
