"Name","TID","IconSWF","IconExportName","VP","Diamond","Gold","Wood","Stone","Iron","CommonPiece","RarePiece","Intel","Ticket"
"String","String","String","String","Int","Int","Int","Int","Int","Int","Int","Int","Int","int"
"R1","TID_RANK_1","sc/ui.sc","player_rank_private_01",0,1,700,320,140,70,1,0,1,1
"R2","TID_RANK_1","sc/ui.sc","player_rank_private_02",10,2,1700,770,360,190,1,0,1,1
"R3","TID_RANK_1","sc/ui.sc","player_rank_private_03",20,2,3000,1400,660,390,2,0,1,1
"R4","TID_RANK_4","sc/ui.sc","player_rank_corporal_01",40,3,5600,2500,1300,780,2,0,1,1
"R5","TID_RANK_4","sc/ui.sc","player_rank_corporal_02",60,3,8800,4000,2100,1400,3,0,1,1
"R6","TID_RANK_4","sc/ui.sc","player_rank_corporal_03",80,3,12000,5400,3000,2000,3,0,1,1
"R7","TID_RANK_7","sc/ui.sc","player_rank_sergeant_01",100,4,17000,7700,4400,3100,4,0,1,1
"R8","TID_RANK_7","sc/ui.sc","player_rank_sergeant_02",120,4,22000,9900,5900,4400,4,0,1,1
"R9","TID_RANK_7","sc/ui.sc","player_rank_sergeant_03",140,4,27000,12000,7600,5700,5,0,1,1
"R10","TID_RANK_8","sc/ui.sc","player_rank_cadet_01",170,5,36000,16000,10000,8300,5,0,2,1
"R11","TID_RANK_8","sc/ui.sc","player_rank_cadet_02",200,5,45000,20000,14000,11000,6,0,2,1
"R12","TID_RANK_8","sc/ui.sc","player_rank_cadet_03",230,5,57000,26000,18000,14000,6,0,2,1
"R13","TID_RANK_10","sc/ui.sc","player_rank_lieutenant_01",260,6,70000,32000,22000,19000,0,1,2,1
"R14","TID_RANK_10","sc/ui.sc","player_rank_lieutenant_02",290,6,84000,38000,28000,24000,0,1,2,1
"R15","TID_RANK_10","sc/ui.sc","player_rank_lieutenant_03",320,6,100000,45000,34000,30000,0,2,2,1
"R16","TID_RANK_13","sc/ui.sc","player_rank_captain_01",350,7,120000,54000,42000,37000,0,2,2,1
"R17","TID_RANK_13","sc/ui.sc","player_rank_captain_02",380,7,140000,63000,50000,45000,0,3,2,1
"R18","TID_RANK_13","sc/ui.sc","player_rank_captain_03",410,7,170000,77000,63000,58000,0,3,2,1
"R19","TID_RANK_16","sc/ui.sc","player_rank_major_01",450,8,200000,90000,76000,70000,0,4,3,1
"R20","TID_RANK_16","sc/ui.sc","player_rank_major_02",490,8,240000,110000,94000,89000,0,4,3,1
"R21","TID_RANK_16","sc/ui.sc","player_rank_major_03",530,8,280000,130000,110000,110000,0,5,3,1
"R22","TID_RANK_19","sc/ui.sc","player_rank_colonel_01",600,9,340000,150000,140000,130000,0,5,3,1
"R23","TID_RANK_19","sc/ui.sc","player_rank_colonel_02",670,9,420000,190000,180000,170000,0,6,3,1
"R24","TID_RANK_19","sc/ui.sc","player_rank_colonel_03",740,9,500000,230000,220000,210000,0,6,3,1
"R25","TID_RANK_20","sc/ui.sc","player_rank_brigadier_01",820,10,610000,270000,270000,270000,0,7,3,1
"R26","TID_RANK_20","sc/ui.sc","player_rank_brigadier_02",900,10,720000,320000,320000,320000,0,7,3,1
"R27","TID_RANK_20","sc/ui.sc","player_rank_brigadier_03",1000,10,850000,400000,400000,400000,0,8,3,1
"R28","TID_RANK_22","sc/ui.sc","player_rank_general_01",1100,11,900000,420000,420000,420000,0,8,4,1
"R29","TID_RANK_22","sc/ui.sc","player_rank_general_02",1200,11,950000,440000,440000,440000,0,8,4,1
"R30","TID_RANK_22","sc/ui.sc","player_rank_general_03",1300,11,1000000,460000,460000,460000,0,9,4,1
"R31","TID_RANK_25","sc/ui.sc","player_rank_marshal_01",1400,12,1050000,480000,480000,480000,0,9,4,1
"R32","TID_RANK_25","sc/ui.sc","player_rank_marshal_02",1500,12,1100000,500000,500000,500000,0,9,4,1
"R33","TID_RANK_25","sc/ui.sc","player_rank_marshal_03",1600,12,1150000,510000,510000,510000,0,10,4,1
"R34","TID_RANK_34","sc/ui.sc","player_rank_legend_01",1725,13,1150000,520000,520000,520000,0,10,4,1
"R35","TID_RANK_34","sc/ui.sc","player_rank_legend_02",1850,13,1230000,530000,530000,530000,0,10,4,1
"R36","TID_RANK_34","sc/ui.sc","player_rank_legend_03",2000,13,1250000,550000,550000,550000,0,11,5,1
