"z","TID","RequiredMapRoomLevel","ExplorationOrder","ExplorationCost","ExplorationTimeSeconds","Nodes","RequiredBaseLevelFile","LevelFile","AreaExportName","TreasureResource","TreasureCount","ScoreCount","ArtifactType","BossTeaserExportName","DeepseaDepth"
"String","String","int","int","int","int","String","String","String","String","String","int","int","int","String","int"
"r0","TID_NPC_BASE",0,0,0,0,"home",,,"a1",,,,1,,
,,,,,,"npc_base","layout/small_a.level","level/tutorial/tutorial1.json","a2",,,,1,,
,,,,,,"npc_base","layout/small_b.level","level/tutorial/tutorial2.json","a3",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level","level/tutorial/tutorial3.json","a4",,,,1,,
,,,,,,"treasure",,,"a1","Diamonds",5,1,1,,
,,,,,,"defence_event",,,"a1",,,,1,,
,,,,,,"sector_hq",,,"a4",,,,,,
"r1","TID_NPC_BASE",0,1,270,3,"treasure",,,"a1","Diamonds",23,1,1,,
"r2","TID_NPC_BASE",0,2,310,3,"npc_base","layout/mainland_b.level","level/tutorial/tutorial4.json","a3",,,,1,,
"r3","TID_NPC_BASE",0,3,360,3,"npc_base","layout/small_a.level","level/tutorial/tutorial5.json","a1",,,,1,,
"r4","TID_NPC_BASE",1,4,800,3,"npc_base","layout/small_b.level","level/tutorial/tutorial6.json","a4",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level","level/tutorial/tutorial7.json","a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",7,1,1,,
"r5","TID_NPC_BASE",1,5,460,3,"npc_base","layout/small_b.level","level/tutorial/tutorial8.json","a2",,,,1,,
"r6","TID_NPC_BASE",1,6,1000,3,"npc_base","layout/small_a.level","level/tutorial/tutorial9.json","a2",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level","level/tutorial/tutorial10.json","a2",,,,1,,
,,,,,,"npc_base","layout/mainland_b.level","level/tutorial/tutorial11.json","a2",,,,1,,
"r7","TID_NPC_BASE",1,7,600,3,"npc_base","layout/med_a.level","level/tutorial/tutorial12.json","a4",,,,1,,
"r8","TID_NPC_BASE",1,8,900,3,"npc_base","layout/small_a.level","level/tutorial/tutorial13.json","a1",,,,1,,
,,,,,,"treasure",,,"a1","Diamonds",8,1,1,,
"r9","TID_NPC_BASE",2,9,1900,3,"npc_base","layout/small_b.level","level/tutorial/tutorial14.json","a3",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level","level/tutorial/tutorial15.json","a3",,,,1,,
"r10","TID_NPC_BASE",2,10,2800,3,"npc_base","layout/mainland_b.level","level/tutorial/tutorial16.json","a1",,,,1,,
,,,,,,"npc_base","layout/small_a.level","level/tutorial/tutorial17.json","a1",,,,1,,
,,,,,,"treasure",,,"a1","Diamonds",4,1,1,,
,,,,,,"megabase_event",,,"a1",,,,1,,
"r11","TID_NPC_BASE",2,11,2200,3,"player_base","layout/playerbase.level",,"a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",7,1,1,,
"r12","TID_NPC_BASE",2,12,2400,3,"npc_base","layout/med_a.level",,"a2",,,,1,,
,,,,,,"npc_base","layout/small_b.level",,"a2",,,,1,,
"r13","TID_NPC_BASE",2,13,1600,3,"player_base","layout/playerbase.level",,"a4",,,,1,,
"r14","TID_NPC_BASE",2,14,1700,3,"npc_base","layout/mainland_b.level",,"a1",,,,1,,
"r15","TID_NPC_BASE",3,15,5200,3,"npc_outpost","layout/small_a.level","level/outpost/wood_1.json","a1",,,,1,"teaser_outpost",
,,,,,,"treasure",,,"a1","Diamonds",11,1,1,,
"r16","TID_NPC_BASE",3,16,7000,3,"npc_base","layout/mainland_a.level",,"a3",,,,1,,
,,,,,,"npc_base","layout/small_b.level",,"a3",,,,1,,
,,,,,,"treasure",,,"a3","Diamonds",13,1,1,,
"r17","TID_NPC_BASE",3,17,9000,3,"player_base","layout/playerbase.level",,"a1",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level",,"a1",,,,1,,
,,,,,,"player_base","layout/playerbase.level",,"a1",,,,1,,
,,,,,,"npc_base","layout/small_a.level",,"a1",,,,1,,
"r18","TID_NPC_BASE",3,18,3600,3,"npc_base","layout/med_a.level",,"a3",,,,1,,
"r19","TID_NPC_BASE",3,19,7000,3,"player_base","layout/playerbase.level",,"a4",,,,1,,
,,,,,,"npc_base","layout/mainland_b.level",,"a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",5,1,1,,
"r20","TID_NPC_BASE",3,20,5400,3,"npc_base","layout/med_a.level",,"a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",4,1,1,,
"r21","TID_NPC_BASE",4,21,15000,3,"player_base","layout/playerbase.level",,"a2",,,,1,,
,,,,,,"npc_base","layout/small_a.level",,"a2",,,,1,,
,,,,,,"npc_outpost","layout/mainland_a.level","level/outpost/wood_2.json","a2",,,,1,"teaser_outpost",
,,,,,,"treasure",,,"a2","Diamonds",6,1,1,,
"r22","TID_NPC_BASE",4,22,6400,3,"npc_base","layout/small_a.level",,"a4",,,,1,,
"r23","TID_NPC_BASE",4,23,6400,3,"unique_npc_drt","layout/small_b.level","level/bossfight/boss1.json","a1",,,,1,"teaser_terror",
"r24","TID_NPC_BASE",4,24,13000,3,"npc_base","layout/small_b.level",,"a3",,,,3,,
,,,,,,"player_base","layout/playerbase.level",,"a3",,,,3,,
,,,,,,"treasure",,,"a3","Diamonds",3,1,3,,
"r25","TID_NPC_BASE",4,25,6500,3,"player_base","layout/playerbase.level",,"a3",,,,3,,
"r26","TID_NPC_BASE",4,26,13000,3,"npc_base","layout/mainland_b.level",,"a2",,,,1,,
,,,,,,"player_base","layout/playerbase.level",,"a2",,,,1,,
,,,,,,"treasure",,,"a2","Diamonds",21,1,1,,
"r27","TID_NPC_BASE",5,27,9000,3,"player_outpost","layout/small_a.level","level/outpost/wood_1.json","a1",,,,3,"teaser_outpost",
"r28","TID_NPC_BASE",5,28,14000,3,"npc_base","layout/mainland_b.level",,"a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",7,1,1,,
,,,,,,"deepsea",,,"a4",,,,1,,70
"r29","TID_NPC_BASE",5,29,9000,3,"player_base","layout/playerbase.level",,"a1",,,,3,,
"r30","TID_NPC_BASE",5,30,9000,3,"npc_base","layout/med_a.level",,"a4",,,,3,,
"r31","TID_NPC_BASE",5,31,9000,3,"player_base","layout/playerbase.level",,"a2",,,,3,,
"r32","TID_NPC_BASE",5,32,10000,3,"player_outpost","layout/mainland_a.level","level/outpost/wood_2.json","a4",,,,1,"teaser_outpost",
"r33","TID_NPC_BASE",5,33,14000,3,"npc_base","layout/med_a.level",,"a1",,,,3,,
,,,,,,"unique_npc_drt","layout/enemybase.level","level/bossfight/boss2.json","a1",,,,3,"teaser_terror",
"r34","TID_NPC_BASE",5,34,14000,3,"player_base","layout/playerbase.level",,"a1",,,,3,,
,,,,,,"treasure",,,"a1","Diamonds",4,1,3,,
"r35","TID_NPC_BASE",6,35,28000,3,"npc_base","layout/mainland_b.level",,"a4",,,,3,,
,,,,,,"player_base","layout/playerbase.level",,"a4",,,,3,,
"r36","TID_NPC_BASE",6,36,19000,3,"npc_outpost","layout/mainland_b.level","level/outpost/stone_1.json","a3",,,,1,"teaser_outpost",
"r37","TID_NPC_BASE",6,37,37000,3,"npc_base","layout/med_a.level",,"a4",,,,1,,
,,,,,,"player_base","layout/playerbase.level",,"a4",,,,1,,
,,,,,,"treasure",,,"a4","Diamonds",6,1,1,,
,,,,,,"sector_base",,,"a4",,,,,,
"r38","TID_NPC_BASE",6,38,19000,3,"npc_base","layout/small_b.level",,"a4",,,,1,,
"r39","TID_NPC_BASE",6,39,28000,3,"player_base","layout/playerbase.level",,"a1",,,,3,,
,,,,,,"npc_base","layout/med_a.level",,"a1",,,,3,,
"r40","TID_NPC_BASE",6,40,19000,3,"player_base","layout/playerbase.level",,"a2",,,,3,,
"r41","TID_NPC_BASE",6,41,38000,3,"player_base","layout/playerbase.level",,"a2",,,,1,,
,,,,,,"npc_base","layout/mainland_a.level",,"a2",,,,1,,
,,,,,,"treasure",,,"a2","Diamonds",8,1,1,,
"r42","TID_NPC_BASE",7,42,51000,3,"player_outpost","layout/mainland_b.level","level/outpost/stone_1.json","a2",,,,3,"teaser_outpost",
