"Name","TID","SubtitleTID","CategoryTID","SWF","CollectEffect","IconExportName","ResourceIconExportName","GroupIconExportName","StealEffect","BaseResource","HeroResource","ArtifactType","ArtifactTier","PrototypePart","PremiumCurrency","HudInstanceName","CapFullTID","TextRed","TextGreen","TextBlue","SoundEffect"
"String","String","String","String","String","String","String","String","String","String","boolean","boolean","int","int","int","Boolean","String","String","int","int","int","String"
"Diamonds","TID_DIAMONDS","TID_DIAMONDS_SUBTITLE","TID_COMMON_RESOURCE","sc/ui.sc","Collect Diamonds","icon_diamond","icon_diamond_small",,"Collect Diamonds",,,,,,"true","diamond_bar",,0,255,92,"sfx/gem_ding_01.wav"
"Resource1","TID_GOLD","TID_GOLD_SUBTITLE","TID_COMMON_RESOURCE","sc/ui.sc","Collect Gold","icon_gold","icon_gold_small",,"Steal Gold","true",,,,,,"gold_bar","TID_RESOURCE_CAP_FULL_GOLD",255,236,128,"sfx/gold_ding_01.wav"
"Resource2","TID_WOOD","TID_WOOD_SUBTITLE","TID_COMMON_RESOURCE","sc/ui.sc","Collect Wood","icon_wood","icon_wood_small",,"Steal Wood","true",,,,,,"wood_bar","TID_RESOURCE_CAP_FULL_WOOD",255,195,128,"sfx/wood_ding_01.wav"
"Resource3","TID_STONE","TID_STONE_SUBTITLE","TID_COMMON_RESOURCE","sc/ui.sc","Collect Stone","icon_stone","icon_stone_small",,"Steal Stone","true",,,,,,"stone_bar","TID_RESOURCE_CAP_FULL_STONE",255,209,166,"sfx/rock_ding_01.wav"
"Resource4","TID_METAL","TID_METAL_SUBTITLE","TID_COMMON_RESOURCE","sc/ui.sc","Collect Metal","icon_metal","icon_metal_small",,"Steal Metal","true",,,,,,"metal_bar","TID_RESOURCE_CAP_FULL_METAL",224,213,217,"sfx/metal_ding_01.wav"
"CommonPiece","TID_COMMON_PIECE","TID_COMMON_PIECE_SUBTITLE","TID_ARTIFACT_CATEGORY_LIFE","sc/ui.sc","Collect Common Artifact","icon_artifact_common","icon_artifact_common","icon_artifact_group_common","Collect Common Artifact",,,1,1,,,,,,,,
"RarePiece","TID_RARE_PIECE","TID_RARE_PIECE_SUBTITLE","TID_ARTIFACT_CATEGORY_LIFE","sc/ui.sc","Collect Rare Artifact","icon_artifact_rare","icon_artifact_rare","icon_artifact_group_rare","Collect Rare Artifact",,,1,2,,,,,,,,
"EpicPiece","TID_EPIC_PIECE","TID_EPIC_PIECE_SUBTITLE","TID_ARTIFACT_CATEGORY_LIFE","sc/ui.sc","Collect Epic Artifact","icon_artifact_epic","icon_artifact_epic","icon_artifact_group_epic","Collect Epic Artifact",,,1,3,,,,,,,,
"CommonPieceIce","TID_COMMON_PIECE_ICE","TID_COMMON_PIECE_SUBTITLE_ICE","TID_ARTIFACT_CATEGORY_ICE","sc/ui.sc","Collect Common Artifact Ice","icon_artifact_common_ice","icon_artifact_common_ice","icon_artifact_group_common","Collect Common Artifact Ice",,,2,1,,,,,,,,
"RarePieceIce","TID_RARE_PIECE_ICE","TID_RARE_PIECE_SUBTITLE_ICE","TID_ARTIFACT_CATEGORY_ICE","sc/ui.sc","Collect Rare Artifact Ice","icon_artifact_rare_ice","icon_artifact_rare_ice","icon_artifact_group_rare","Collect Rare Artifact Ice",,,2,2,,,,,,,,
"EpicPieceIce","TID_EPIC_PIECE_ICE","TID_EPIC_PIECE_SUBTITLE_ICE","TID_ARTIFACT_CATEGORY_ICE","sc/ui.sc","Collect Epic Artifact Ice","icon_artifact_epic_ice","icon_artifact_epic_ice","icon_artifact_group_epic","Collect Epic Artifact Ice",,,2,3,,,,,,,,
"CommonPieceFire","TID_COMMON_PIECE_FIRE","TID_COMMON_PIECE_SUBTITLE_FIRE","TID_ARTIFACT_CATEGORY_FIRE","sc/ui.sc","Collect Common Artifact Fire","icon_artifact_common_fire","icon_artifact_common_fire","icon_artifact_group_common","Collect Common Artifact Fire",,,3,1,,,,,,,,
