"Name","TID","AreaMesh","GlowMesh","BorderMesh","AreaTexture","AreaTexture2","GlowTexture","BorderTexture","BaseRegionIndex","BaseNodeIndex","Regions","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildCost","RewardResourcePercent","RewardArtifactPieces","MaxStoredSupplies","SectorOverlayOpacity","SectorOverlayMultiplierRed","SectorOverlayMultiplierGreen","SectorOverlayMultiplierBlue"
"String","String","String","String","String","String","String","String","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
"Sector1","TID_SECTOR_1_NAME","sector_01","sector_01_glow","sector_01_border","model/sector_stripe_01.png","model/area_gradient_01.png","model/sector_gradient_01.png","model/sector_border_01.png",64,3,8,0,0,0,0,0,20,1,100,128,113,244,237
,,,,,,,,,,,14,,,30,,100,40,1,200,,,,
,,,,,,,,,,,17,,2,,,300,60,2,400,,,,
,,,,,,,,,,,23,,4,,,600,80,2,600,,,,
,,,,,,,,,,,34,,8,,,900,100,3,800,,,,
,,,,,,,,,,,39,,,,,,,,,,,,
,,,,,,,,,,,45,,,,,,,,,,,,
,,,,,,,,,,,60,,,,,,,,,,,,
,,,,,,,,,,,61,,,,,,,,,,,,
,,,,,,,,,,,64,,,,,,,,,,,,
,,,,,,,,,,,70,,,,,,,,,,,,
,,,,,,,,,,,75,,,,,,,,,,,,
,,,,,,,,,,,81,,,,,,,,,,,,
,,,,,,,,,,,88,,,,,,,,,,,,
,,,,,,,,,,,95,,,,,,,,,,,,
,,,,,,,,,,,98,,,,,,,,,,,,
,,,,,,,,,,,109,,,,,,,,,,,,
,,,,,,,,,,,122,,,,,,,,,,,,
,,,,,,,,,,,128,,,,,,,,,,,,
,,,,,,,,,,,133,,,,,,,,,,,,
,,,,,,,,,,,137,,,,,,,,,,,,
,,,,,,,,,,,138,,,,,,,,,,,,
,,,,,,,,,,,145,,,,,,,,,,,,
,,,,,,,,,,,147,,,,,,,,,,,,
,,,,,,,,,,,148,,,,,,,,,,,,
"Sector2","TID_SECTOR_2_NAME","sector_02","sector_02_glow","sector_02_border","model/sector_stripe_02.png","model/area_gradient_02.png","model/sector_gradient_02.png","model/sector_border_01.png",68,2,3,0,0,0,0,0,20,1,100,128,201,117,255
,,,,,,,,,,,10,,,30,,100,40,1,200,,,,
,,,,,,,,,,,26,,2,,,300,60,2,400,,,,
,,,,,,,,,,,27,,4,,,600,80,2,600,,,,
,,,,,,,,,,,33,,8,,,900,100,3,800,,,,
,,,,,,,,,,,40,,,,,,,,,,,,
,,,,,,,,,,,41,,,,,,,,,,,,
,,,,,,,,,,,46,,,,,,,,,,,,
,,,,,,,,,,,49,,,,,,,,,,,,
,,,,,,,,,,,65,,,,,,,,,,,,
,,,,,,,,,,,68,,,,,,,,,,,,
,,,,,,,,,,,73,,,,,,,,,,,,
,,,,,,,,,,,74,,,,,,,,,,,,
,,,,,,,,,,,77,,,,,,,,,,,,
,,,,,,,,,,,79,,,,,,,,,,,,
,,,,,,,,,,,96,,,,,,,,,,,,
,,,,,,,,,,,102,,,,,,,,,,,,
,,,,,,,,,,,103,,,,,,,,,,,,
,,,,,,,,,,,108,,,,,,,,,,,,
,,,,,,,,,,,111,,,,,,,,,,,,
,,,,,,,,,,,113,,,,,,,,,,,,
,,,,,,,,,,,123,,,,,,,,,,,,
,,,,,,,,,,,135,,,,,,,,,,,,
,,,,,,,,,,,136,,,,,,,,,,,,
,,,,,,,,,,,140,,,,,,,,,,,,
,,,,,,,,,,,142,,,,,,,,,,,,
,,,,,,,,,,,149,,,,,,,,,,,,
"Sector3","TID_SECTOR_3_NAME","sector_03","sector_03_glow","sector_03_border","model/sector_stripe_03.png","model/area_gradient_03.png","model/sector_gradient_03.png","model/sector_border_01.png",56,4,5,0,0,0,0,0,20,1,100,128,242,91,91
,,,,,,,,,,,6,,,30,,100,40,1,200,,,,
,,,,,,,,,,,12,,2,,,300,60,2,400,,,,
,,,,,,,,,,,21,,4,,,600,80,2,600,,,,
,,,,,,,,,,,31,,8,,,900,100,3,800,,,,
,,,,,,,,,,,42,,,,,,,,,,,,
,,,,,,,,,,,43,,,,,,,,,,,,
,,,,,,,,,,,55,,,,,,,,,,,,
,,,,,,,,,,,56,,,,,,,,,,,,
,,,,,,,,,,,58,,,,,,,,,,,,
,,,,,,,,,,,63,,,,,,,,,,,,
,,,,,,,,,,,67,,,,,,,,,,,,
,,,,,,,,,,,90,,,,,,,,,,,,
,,,,,,,,,,,94,,,,,,,,,,,,
,,,,,,,,,,,97,,,,,,,,,,,,
,,,,,,,,,,,105,,,,,,,,,,,,
,,,,,,,,,,,112,,,,,,,,,,,,
,,,,,,,,,,,116,,,,,,,,,,,,
,,,,,,,,,,,120,,,,,,,,,,,,
