"Name","IsHeroAbility","UnlockTownHallLevel","UpgradeHouseLevel","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeCost","BoostTimeMS","SpeedBoost","ArmorBoost","DamageBoost","Damage","Shield","Radius","RadiusAgainstTroops","NumberOfHits","RandomRadius","TimeBetweenHitsMS","RandomRadiusAffectsOnlyGfx","IsStun","IsFocusFire","IsSmoke","DecoyCount","ProjectileForAllHits","Energy","EnergyIncrease","SpawnCharacter","SpawnCount","SpawnLimit","SpawnLifetime","ResurrectHousingSpace","ResurrectProjectile","ResurrectProjectileHitEffect","XpGain","TID","InfoTID","SubtitleTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2","ChargingEffect","HitEffect","Projectile","HitEffectBuildingSelected","HitEffectBuildingSelected2","DurationTID"
"String","boolean","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","boolean","boolean","int","boolean","int","int","String","int","int","int","int","String","String","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String"
"Artillery",,1,1,0,0,0,2,10400,0,0,,,700,,49,150,1,0,1,"FALSE",,,,,"TRUE",3,2,,,,,,,,14,"TID_ARTILLERY","TID_ARTILLERY_INFO","TID_ARTILLERY_SUBTITLE","sc/ui.sc","icon_ability_artillery","sc/ui.sc","icon_ability_artillery","Weapon Deploy",,,,"Artillery Hit","ArtilleryAmmo",,,
,,,1,,,,3,20900,0,0,,,777,,49,150,1,0,1,,,,,,,,,,,,,,,,17,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,2,,,,5,44000,0,0,,,862,,49,150,1,0,1,,,,,,,,,,,,,,,,24,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,3,,,,7,88000,0,0,,,957,,49,150,1,0,1,,,,,,,,,,,,,,,,28,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,4,,,,11,150000,0,0,,,1063,,49,150,1,0,1,,,,,,,,,,,,,,,,34,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,5,,,,15,252000,0,0,,,1180,,49,150,1,0,1,,,,,,,,,,,,,,,,40,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,6,,,,19,400000,0,0,,,1309,,49,150,1,0,1,,,,,,,,,,,,,,,,45,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,7,,,,22,580000,0,0,,,1453,,49,150,1,0,1,,,,,,,,,,,,,,,,48,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,8,,,,22,680000,0,0,,,1613,,49,150,1,0,1,,,,,,,,,,,,,,,,48,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,9,,,,24,760000,0,0,,,1791,,49,150,1,0,1,,,,,,,,,,,,,,,,51,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,10,,,,28,1030000,0,0,,,1988,,49,150,1,0,1,,,,,,,,,,,,,,,,57,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,11,,,,33,1410000,0,0,,,2206,,49,150,1,0,1,,,,,,,,,,,,,,,,62,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,12,,,,33,1600000,0,0,,,2449,,49,150,1,0,1,,,,,,,,,,,,,,,,62,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,13,,,,42,1920000,0,0,,,2718,,49,150,1,0,1,,,,,,,,,,,,,,,,70,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,14,,,,46,2640000,0,0,,,3017,,49,150,1,0,1,,,,,,,,,,,,,,,,73,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,15,,,,46,3040000,0,0,,,3349,,49,150,1,0,1,,,,,,,,,,,,,,,,73,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,16,,,,51,3400000,0,0,,,3718,,49,150,1,0,1,,,,,,,,,,,,,,,,77,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,17,,,,53,4000000,0,0,,,4127,,49,150,1,0,1,,,,,,,,,,,,,,,,79,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,18,,,,56,4700000,0,0,,,4580,,49,150,1,0,1,,,,,,,,,,,,,,,,81,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,19,,,,57,5400000,0,0,,,5084,,49,150,1,0,1,,,,,,,,,,,,,,,,83,,,,,"icon_ability_artillery",,,,,,,,,,,
