"Name","TID","Disabled","ExistsApple","ExistsAndroid","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","isOfferPackage","OfferedByCalendar"
"String","String","boolean","boolean","boolean","int","int","String","String","String","String","int","boolean","int","boolean","int","String","boolean","boolean"
"com.supercell.magic.package1","TID_DIAMOND_PACK_1",,"TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,9661,"GD2016112815090911099008",,
"com.supercell.magic.package2","TID_DIAMOND_PACK_2",,"TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,9662,"GD2016112815163311338921",,
"com.supercell.magic.package3","TID_DIAMOND_PACK_3",,"TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,9663,"GD2016112815450811085368",,
"com.supercell.magic.package4","TID_DIAMOND_PACK_4",,"TRUE","TRUE",6500,4999,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,32800,,9664,"GD2016112815473711373751",,
"com.supercell.magic.package5","TID_DIAMOND_PACK_5",,"TRUE","TRUE",14000,9999,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,64800,,9665,"GD2016112815533711372742",,
"com.supercell.magic.package0","TID_DIAMOND_PACK_RED","TRUE","FALSE","FALSE",500,499,"sc/shop.sc","icon_gem_red","shop_item_diamond_pack_red","special_offer_item_gem_1",0,"true",3000,,,,,"true"
"com.supercell.magic.package7","TID_DIAMOND_PACK_6",,"TRUE","TRUE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,95472,"GD2016112815063311332757",,
"com.supercell.magic.th1","TID_DIAMOND_PACK_1","TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,95473,"GD2017010414245601562725","true",
"com.supercell.magic.th2","TID_DIAMOND_PACK_2","TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,95474,"GD2017010414271901198484","true",
"com.supercell.magic.th3","TID_DIAMOND_PACK_3","TRUE","TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,95475,"GD2017010414303301335949","true",
"com.supercell.magic.th7","TID_DIAMOND_PACK_6","TRUE","TRUE","TRUE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,95476,"GD2017010414314501451990","true",
"com.supercell.magic.builder1","TID_DIAMOND_PACK_1","TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,95477,"GD2016112815022111214192","true",
"com.supercell.magic.builder2","TID_DIAMOND_PACK_2","TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,95478,"GD2016112815035311537171","true",
"com.supercell.magic.builder3","TID_DIAMOND_PACK_3","TRUE","TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,95479,"GD2016112815051411147253","true",
"com.supercell.magic.update1","TID_DIAMOND_PACK_1","TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,95480,"GD2017010414330701078705","true",
"com.supercell.magic.update2","TID_DIAMOND_PACK_2","TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,95481,"GD2016112815545011503616","true",
"com.supercell.magic.update3","TID_DIAMOND_PACK_3","TRUE","TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,95482,"GD2017010414353801381525","true",
"com.supercell.magic.resource7","TID_DIAMOND_PACK_6","TRUE","TRUE","TRUE",80,99,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,600,,95483,"GD2016112815575311539622","true",
"com.supercell.magic.resource1","TID_DIAMOND_PACK_1","TRUE","TRUE","TRUE",500,499,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,3000,,101458,"GD2017010414394901494939","true",
"com.supercell.magic.resource2","TID_DIAMOND_PACK_2","TRUE","TRUE","TRUE",1200,999,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,6800,,101459,"GD2017010414423601366817","true",
"com.supercell.magic.resource3","TID_DIAMOND_PACK_3","TRUE","TRUE","TRUE",2500,1999,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,12800,,101460,"GD2017010414513001307092","true",
"com.supercell.magic.resource4","TID_DIAMOND_PACK_4","TRUE","TRUE","TRUE",6500,4999,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,32800,,101461,"GD2017010415135601569410","true",
