"Name","-"
"String","int"
"Markus Aalto",
"Marika Appel",
"Cosmin Baltaretu",
"Dennis Belfrage",
"Jonas Collaros",
"Niko Derome",
"James Ellis",
"Visa Forsten",
"Jon Franzas",
"Tommi Hakala",
"Pauli Kaila",
"Rene Kivioja",
"Rauli Laatikainen",
"Mikko Lehtonen",
"Lassi Leppinen",
"Jani Lintunen",
"Lasse Louhento",
"Lauri Manninen",
"Ana Martins",
"Arto Mikkola",
"Marcus Ng",
"Taneli Oksama",
"Andreas Papathanasis",
"Diego Ruiz Pomares",
"Riku Rikala",
"Martin Schjøler",
"Petri Styrman",
"Ville Suur-Uski",
"Tommi Suvinen",
"Antti Takala",
"Jouni Utriainen",
"Veli Vainio",
"Tristan Williams",
"Kustaa Vuori",
"_",
"Gabriele Aimone",
"Jonatas Chagas",
"Erlend Christoffersen",
"Sean Cornejo",
"Hannu Halonen",
"Greg Harper",
"Jari Hokkanen",
"Mikko Hokkanen",
"Jessica Hollmeier",
"Daniel Iosca",
"Shen Jin",
"Robert Kamphuis",
"Mikko Kodisoja",
"Kristian Kurki",
"Miki Kuusi",
"Manuel Langegger",
"Christina Lee",
"Ville Leino",
"Laura Macdonald",
"Jumpei Oki",
"Ilkka Paananen",
"Douglas Portugal",
"Carole Riault",
"Stephen Rosenshein",
"Oscar Subirats",
"Antti Summala",
"Wilhelm Tigerstedt",
"Ryan Wener",
"Sami Yliharju",
"Jessica Yuan",
"Zhao Zeng",
