"Name","ID","Enabled","EnabledIOS","EnabledAndroid","EnabledKunlun","EnabledTencent","EnabledLowEnd","EnabledHighEnd","Type","ShowAsNew","TID","InfoTID","ButtonTID","ActionType","ActionParameter1","ActionParameter2","NativeAndroidURL","IncludedLanguages","ExcludedLanguages","IncludedCountries","ExcludedCountries","IncludedLoginCountries","ExcludedLoginCountries","CenterText","LoadResources","LoadInLowEnd","ItemSWF","ItemExportName","IconSWF","IconExportName","IconFrame","AnimateIcon","CenterIcon","MinTownHall","MaxTownHall","MinLevel","MaxLevel","MaxDiamonds","ClickToDismiss","NotifyAlways","NotifyMinLevel","AvatarIdModulo","ModuloMin","ModuloMax","Collapsed","MinOS","MaxOS","ButtonTID2","Action2Type","Action2Parameter1","Action2Parameter2","NotBound"
"String","int","Boolean","Boolean","Boolean","Boolean","Boolean","Boolean","Boolean","String","Boolean","String","String","String","String","String","String","String","String","String","String","String","String","String","Boolean","Boolean","Boolean","String","String","String","String","Int","Boolean","Boolean","int","int","int","int","int","Boolean","Boolean","int","int","int","int","Boolean","String","String","String","String","String","String","Boolean"
"Clashcom",20,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_CLASH_COM","TID_NEWS_BUTTON_GO","OpenWeb","http://www.clashofclans.com",,,,,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","forums_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"ClashMerch",21,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"Check out the Supercell Shop","TID_NEWS_BUTTON_GO","OpenWeb","https://shop.supercell.com/",,,"EN",,,,"US",,"TRUE","FALSE","FALSE","sc/ui.sc","merch_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAR",15,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"Clash-A-Rama! The Series: Season 1","TID_NEWS_BUTTON_GO","OpenWeb","https://www.youtube.com/playlist?list=PLGhzmQmduiLdZqEQ9KIdGnBt3auHIfGWf",,,"EN",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","clash-a-rama_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Facebook",1,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","OpenWeb","http://www.facebook.com/447775968580065",,,,"KR",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"JP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"CNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FacebookKR",2,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","OpenWeb","http://www.facebook.com/520353058081714",,,"KR",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"FacebookJP",3,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","OpenWeb","http://www.facebook.com/441860209254166",,,"JP",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"FacebookCNT",3,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_FACEBOOK","TID_NEWS_BUTTON_GO","OpenWeb","https://www.facebook.com/ClashofClansTW",,,"CNT",,,,,,"TRUE","FALSE","FALSE","sc/ui.sc","fb_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
"Twitter",4,"TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","more","FALSE",,"TID_MORE_TWITTER","TID_NEWS_BUTTON_GO","OpenWeb","twitter://user?screen_name=ClashofClans","https://twitter.com/ClashofClans",,,"JP",,,,,"TRUE","FALSE","FALSE","sc/ui.sc","twitter_link",,,0,"FALSE","FALSE",,,0,,0,"FALSE",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"CN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
