"Name","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","TownHallLevel2","Width","Height","Icon","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Village2Housing","HousingSpace","HousingSpaceAlt","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnits","ProducesUnitsOfType","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","CanNotSellLast","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","WallBlockX","WallBlockY","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID"
"String","String","String","String","String","String","String","String","String","String","String","int","int","int","int","String","int","int","int","int","int","String","String","String","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","String","int","int","int","int","boolean","int","int","boolean","int","int","int","boolean","int","int","int","int","int","int","int","int","String","int","boolean","String","String","String","String","int","String","String","String","String","String","int","int","int","String","boolean","boolean","boolean","boolean","boolean","int","String","int","int","int","int","boolean","String","String","String","String","String","boolean","String","int","int","int","int","Boolean","int","Boolean","String","String","int","String","String","boolean","boolean","boolean","String","Boolean","int","int","int","int","int","String","String","String","String","int","boolean","int","int","String","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","String","int","String","String","int","int","int","int","int","int","String","int","int","String","boolean","int","int","int","int","int","int","int","String","int","boolean","int","String","String","int","int","int","int","int","int","int","String","String","int","int","boolean","int","String","int","String","int","int","String"
"Troop Housing","TID_BUILDING_HOUSING","TID_HOUSING_INFO","Army",,,"sc/buildings.sc","fireplace_lvl1",,"fireplace_const",,,,5,,"Elixir",250,1,1,5,5,,"fireplace_upg",,,,,,,,,,,,,,,,20,,,,,,,,,,,250,15,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,"gen_destructed_state5",2,2,,"fireplace_lvl1_base",,,,,,,,,,,,,,,,"Troop Housing Pickup","Troop Housing Placing","true",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl2",,,,,1,0,,,2500,2,2,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl2_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl3",,,,,3,0,,,10000,3,3,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl3_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl4",,,,,8,0,,,100000,4,4,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl4_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl5",,,,1,0,0,,,250000,5,5,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl5_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl6",,,,3,0,0,,,750000,6,6,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl6_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl7",,,,5,0,0,,,2250000,9,9,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"fireplace_lvl8",,,,10,0,0,,,6750000,10,10,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl7_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Town Hall","TID_BUILDING_TOWN_HALL","TID_TOWN_HALL_INFO","Town Hall","Resource",,"sc/buildings.sc","town_hall_lvl1","goblin_townhall_lvl1","town_hall_const",,,,0,10,"Gold",0,,,4,4,,"town_hall_upg",,1000,1000,,,,,,,,,,"TRUE",,,,,,,,,,,,,,450,20,,,,,,,,,,,,,,"Town Hall Destroyed",,,,,,,,,"town_hall_broken",3,3,,"townhall_base",,,,,,,,,,,,,,,,"Town Hall Pickup","Town Hall Placing","true",,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl2",,,,,,0,10,,1000,,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,1600,21,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl3",,,,,3,0,0,,4000,,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,1850,22,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl4",,,,1,0,0,,,25000,,,,,,,,50000,50000,,,,,,,,,,,,,,,,,,,,,,,,2100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl5",,,,2,0,0,,,150000,,,,,,,,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,2400,24,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl6",,,,4,0,0,,,750000,,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,2800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"town_hall_lvl7",,,,6,0,0,,,1200000,,,,,,,,500000,500000,2500,,,,,,,,20,,,,,,,,,,,,,,,3300,26,,,,,,,,,,,,,,,,,,,,,,,,,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
