"Name","TID","InfoTID","SWF","ExportName","ExportNameBase","ClearTimeSeconds","Width","Height","Passable","ClearResource","ClearCost","LootResource","LootCount","ClearEffect","PickUpEffect","RespawnWeight","IsTombstone","TombGroup","LootMultiplierForVersion2","AppearancePeriodHours","MinRespawnTimeHours","SpawnObstacle","SpawnRadius","SpawnIntervalSeconds","SpawnCount","MaxSpawned","MaxLifetimeSpawns","LootDefensePercentage","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","VillageType","Village2RespawnCount","VariationCount","TallGrass","TallGrassSpawnPoint","LootHighlightPercentage","HighlightExportName",,
"String","String","String","String","String","String","int","int","int","boolean","String","int","String","int","String","String","int","boolean","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","boolean","int","int","int","boolean","boolean","int","String",,
"Pine Tree","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_pinetree_1","pine_tree2_base",10,2,2,"false","Elixir",2000,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Large Stone","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_large_stone","large_stone2_base",15,3,3,"false","Gold",20000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Stone 1","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_a","small_stone_a_base",10,2,2,"false","Gold",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Stone 2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_b","small_stone_a_base",10,2,2,"false","Gold",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Square Bush","TID_OBSTACLE_BUSH","TID_OBSTACLE_BUSH","sc/buildings.sc","env_square_bush_a","square_bush_a_base",10,2,2,"false","Elixir",250,"Diamonds",1,,"Bush Pickup",20,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Square Tree","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_square_tree_a","square_tree_a_base",15,3,3,"false","Elixir",7500,"Diamonds",1,,"Tree Pickup",5,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Tree Trunk 1","TID_OBSTACLE_TRUNK","TID_OBSTACLE_TRUNK","sc/buildings.sc","env_treetrunk_a","tree_trunk_a_base",10,2,2,"false","Elixir",1000,"Diamonds",1,,"Tree Pickup",10,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Tree Trunk 2","TID_OBSTACLE_TRUNK","TID_OBSTACLE_TRUNK","sc/buildings.sc","env_treetrunk_b","tree_trunk_a_base",10,2,2,"false","Elixir",1000,"Diamonds",1,,"Tree Pickup",10,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Mushrooms","TID_OBSTACLE_MUSHROOM","TID_OBSTACLE_MUSHROOM","sc/buildings.sc","env_mushrooms","mushrooms_base",10,2,2,"false","Elixir",100,"Diamonds",1,,"Flower Pickup",10,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"TombStone","TID_OBSTACLE_TOMBSTONE","TID_OBSTACLE_TOMBSTONE","sc/buildings.sc","tombstone",,0,1,1,"true","Gold",0,"Elixir",20,"Clear Tombstone","Stone Pickup",0,"true",0,1,,,,,,,,,,,,,,,,,,,,,,,,,
