"Name","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","TrainingResource","TrainingCost","DonateCost","HousingSpace","TrainingTime","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","JumpHousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","UnitOfType","TroopsOnly","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","BoostDefenders","HeroDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","InvulnerabilityTime","MaxUnitsHit","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs"
"String","String","String","boolean","int","int","String","int","int","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","int","String","String","String","boolean","int","String","int","int","int","boolean","String","String","int","boolean","int","int","int","int","int","int","int","boolean","int","boolean","boolean","boolean","int","int","String","boolean","int","int","String","int","int","int","int","int","int","boolean","boolean","int","int"
"LighningStorm","TID_LIGHTNING_STORM","TID_LIGHTNING_STORM_INFO",,1,1,"Elixir",15000,20,2,360,800,1000,1100,24,"Elixir",200000,0,0,0,,,,,50,,,,,,200,6,250,400,"sc/ui.sc","icon_spell_lightning","icon_spell_lightning","Lightning predeploy","Lightning area",,,"Lightning Spell","Lightning Spell Hit","FALSE",,,,60,1,,"TID_PREFERRED_TARGET_ANY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,16500,,,,,,,48,,500000,0,0,0,,,,,55,,,,,,200,6,250,400,,"icon_spell_lightning2",,,,,,,,,,,,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,18000,,,,,,,72,,1000000,0,0,0,,,,,60,,,,,,200,6,250,400,,"icon_spell_lightning3",,,,,,,,,,,,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,,20000,,,,,,,96,,2000000,0,0,0,,,,,65,,,,,,200,6,250,400,,"icon_spell_lightning4",,,,,,,,,,,,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,22000,,,,,,,240,,6000000,0,0,0,,,,,75,,,,,,200,6,250,400,,"icon_spell_lightning5",,,,,,,,,,,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,24000,,,,,,,336,,8000000,0,0,0,,,,,85,,,,,,200,6,250,400,,"icon_spell_lightning6",,,,,,,,,,,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,26000,,,,,,,,,,0,0,0,,,,,95,,,,,,200,6,250,400,,"icon_spell_lightning6",,,,,,,,,,,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HealingWave","TID_HEALING_WAVE","TID_HEALING_WAVE_INFO",,2,2,"Elixir",15000,20,2,360,800,300,400,24,"Elixir",300000,0,0,0,,,,,-15,,,,,,500,40,200,300,"sc/ui.sc","icon_spell_healing","icon_spell_healing","Heal predeploy","Heal area",,"Heal area top",,"Heal spell","TRUE",,,,230,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,16500,,,,,,,48,,600000,0,0,0,,,,,-20,,,,,,500,40,200,300,,"icon_spell_healing2",,,,,,,,,,,,215,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,,18000,,,,,,,72,,1200000,0,0,0,,,,,-25,,,,,,500,40,200,300,,"icon_spell_healing3",,,,,,,,,,,,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,,19000,,,,,,,120,,2000000,0,0,0,,,,,-30,,,,,,500,40,200,300,,"icon_spell_healing4",,,,,,,,,,,,190,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,21000,,,,,,,168,,4000000,0,0,0,,,,,-35,,,,,,500,40,200,300,,"icon_spell_healing5",,,,,,,,,,,,180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,23000,,,,,,,240,,6000000,0,0,0,,,,,-40,,,,,,500,40,200,300,,"icon_spell_healing6",,,,,,,,,,,,170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,25000,,,,,,,,,,0,0,0,,,,,-45,,,,,,500,40,200,300,,"icon_spell_healing7",,,,,,,,,,,,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
