"Language","CommunityButtonTID","CommunityButtonLink","CommunityButtonLinkAndroid","CommunityButtonFailbackLink","CommunityButtonIcon","MoreButtonTID","MoreButtonLink","MoreButtonHelpshiftID","MoreButtonIcon"
"String","String","String","String","String","String","String","String","String","String"
"CH","TID_ABOUT_WEIBO","http://e.weibo.com/hayday365",,,"community_icon_weibo","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.com/en/terms-of-service",1777,"icon_settings_forums"
,"TID_SETTINGS_YOUKU","http://i.youku.com/hayday",,,"community_icon_youku","TID_ABOUT_PRIVACY_POLICY","http://supercell.com/en/privacy-policy",1776,"icon_settings_forums"
,"TID_FAQ_FORUMS_BUTTON","https://forum.supercell.com/forumdisplay.php/5-Hay-Day",,,"community_icon_forums","TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,,,,,,"TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,,,,,,,,,
"JP","TID_ABOUT_FACEBOOK","fb://page/?id=731310233587439","fb://facewebmodal/f?href=http://www.facebook.com/haydayjapanofficial","https://www.facebook.com/731310233587439","logo_facebook","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_TWITTER","https://twitter.com/haydayjp",,,"community_icon_twitter","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.co.jp/terms-of-service.html",1777,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_PRIVACY_POLICY","http://supercell.co.jp/privacy-policy.html",1776,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDayJapan",,,"community_icon_youtube","TID_ABOUT_FSA","http://supercell.co.jp/act-on-settlement.html",2229,"icon_settings_forums"
,"TID_FAQ_APPBANK_BUTTON","http://www.appbank.net/2013/10/21/iphone-application/687048.php",,,"community_icon_appbank","TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",,"icon_settings_forums"
,,,,,,"TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,,,,,,,,,
"KR","TID_ABOUT_FACEBOOK","fb://page/?id=740785835952327","fb://facewebmodal/f?href=http://www.facebook.com/HayDayKorea","https://www.facebook.com/740785835952327","logo_facebook","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_TERMS_OF_SERVICE","http://hayday.co.kr/legal.php#2",1777,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDay",,,"community_icon_youtube","TID_ABOUT_PRIVACY_POLICY","http://hayday.co.kr/legal.php#3",1776,"icon_settings_forums"
,,,,,,"TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,,,,,,"TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,,,,,,,,,
