Name,Level,TID,DescriptionTID,Action,ActionCount,ActionData,MinutesLimit,Exp,DiamondReward,DecoReward,CustomReward,CustomRewardTooltipTID,Points,FbPoints,IconExportName,Priority,FbObjectImageName,AndroidID
String,int,String,String,String,int,String,int,int,int,String,String,String,int,int,String,int,String,String
com.supercell.soil.dreamfarm0,,TID_ACHIEVEMENT_PRETTY_FARMER,TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,DecosWorth,100,,,30,1,,,,1,1,achievement_icon_generic,16,DreamFarm_1,CgkIndvy4_keEAIQBA
com.supercell.soil.dreamfarm1,1,TID_ACHIEVEMENT_PRETTY_FARMER,TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,DecosWorth,2500,,,220,2,,,,2,2,achievement_icon_generic,16,DreamFarm_2,CgkIndvy4_keEAIQBQ
com.supercell.soil.dreamfarm2,2,TID_ACHIEVEMENT_PRETTY_FARMER,TID_ACHIEVEMENT_PRETTY_FARMER_DESCRIPTION,DecosWorth,50000,,,1650,3,,,,3,3,achievement_icon_generic,16,DreamFarm_3,CgkIndvy4_keEAIQBg
,,,,,,,,,,,,,,,,,,
com.supercell.soil.beepbeep0,,TID_ACHIEVEMENT_COMMUNITY_PROVIDER,TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,CarOrders,20,,,20,1,,,,1,1,achievement_icon_generic,1,BeepBeeb_1,CgkIndvy4_keEAIQBw
com.supercell.soil.beepbeep1,1,TID_ACHIEVEMENT_COMMUNITY_PROVIDER,TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,CarOrders,500,,,160,2,,,,2,2,achievement_icon_generic,1,BeepBeeb_2,CgkIndvy4_keEAIQCA
com.supercell.soil.beepbeep2,2,TID_ACHIEVEMENT_COMMUNITY_PROVIDER,TID_ACHIEVEMENT_COMMUNITY_PROVIDER_DESCRIPTION,CarOrders,2000,,,1230,3,,,,3,3,achievement_icon_generic,1,BeepBeeb_3,CgkIndvy4_keEAIQCQ
,,,,,,,,,,,,,,,,,,
com.supercell.soil.chaching0,,TID_ACHIEVEMENT_LOCAL_SELLER,TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,RoadsideShopSalesWorth,200,,,25,1,,,,1,1,achievement_icon_generic,3,Cha-Ching_1,CgkIndvy4_keEAIQCg
com.supercell.soil.chaching1,1,TID_ACHIEVEMENT_LOCAL_SELLER,TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,RoadsideShopSalesWorth,5000,,,180,2,,,,2,2,achievement_icon_generic,3,Cha-Ching_2,CgkIndvy4_keEAIQCw
com.supercell.soil.chaching2,2,TID_ACHIEVEMENT_LOCAL_SELLER,TID_ACHIEVEMENT_LOCAL_SELLER_DESCRIPTION,RoadsideShopSalesWorth,25000,,,1440,3,,,,3,3,achievement_icon_generic,3,Cha-Ching_3,CgkIndvy4_keEAIQDA
,,,,,,,,,,,,,,,,,,
com.supercell.soil.patronage0,,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,PeopleOrders,8,,,25,1,,,,1,1,achievement_icon_generic,2,Patronage_1,CgkIndvy4_keEAIQDQ
com.supercell.soil.patronage1,1,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,PeopleOrders,200,,,210,2,,,,2,2,achievement_icon_generic,2,Patronage_2,CgkIndvy4_keEAIQDg
com.supercell.soil.patronage2,2,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER,TID_ACHIEVEMENT_NEIGHBORHOOD_HELPER_DESCRIPTION,PeopleOrders,2500,,,1720,3,,,,3,3,achievement_icon_generic,2,Patronage_3,CgkIndvy4_keEAIQDw
,,,,,,,,,,,,,,,,,,
com.supercell.soil.hyperharvester0,,TID_ACHIEVEMENT_TURBO_HARVEST,TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,TurboHarvest,50,,10,60,1,,,,1,1,achievement_icon_generic,10,HyperHarvester_1,CgkIndvy4_keEAIQEA
com.supercell.soil.hyperharvester1,1,TID_ACHIEVEMENT_TURBO_HARVEST,TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,TurboHarvest,200,,20,120,2,,,,2,2,achievement_icon_generic,10,HyperHarvester_2,CgkIndvy4_keEAIQEQ
com.supercell.soil.hyperharvester2,2,TID_ACHIEVEMENT_TURBO_HARVEST,TID_ACHIEVEMENT_TURBO_HARVEST_DESCRIPTION,TurboHarvest,200,,10,360,3,,,,3,3,achievement_icon_generic,10,HyperHarvester_3,CgkIndvy4_keEAIQEg
,,,,,,,,,,,,,,,,,,
com.supercell.soil.turbotrucker0,,TID_ACHIEVEMENT_TURBO_CAR_ORDERS,TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,TurboCarOrders,10,,30,80,1,,,,1,1,achievement_icon_generic,11,TurboTrucker_1,CgkIndvy4_keEAIQEw
com.supercell.soil.turbotrucker1,1,TID_ACHIEVEMENT_TURBO_CAR_ORDERS,TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,TurboCarOrders,20,,30,220,2,,,,2,2,achievement_icon_generic,11,TurboTrucker_2,CgkIndvy4_keEAIQFA
com.supercell.soil.turbotrucker2,2,TID_ACHIEVEMENT_TURBO_CAR_ORDERS,TID_ACHIEVEMENT_TURBO_CAR_ORDERS_DESCRIPTION,TurboCarOrders,30,,30,460,3,,,,3,3,achievement_icon_generic,11,TurboTrucker_3,CgkIndvy4_keEAIQFQ
,,,,,,,,,,,,,,,,,,
com.supercell.soil.hyperherder0,,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,TurboCollectAnimalGoods,30,,45,100,1,,,,1,1,achievement_icon_generic,12,HyperHerder_1,CgkIndvy4_keEAIQFg
com.supercell.soil.hyperherder1,1,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,TurboCollectAnimalGoods,60,,45,250,2,,,,2,2,achievement_icon_generic,12,HyperHerder_2,CgkIndvy4_keEAIQFw
com.supercell.soil.hyperherder2,2,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS,TID_ACHIEVEMENT_TURBO_COLLECT_ANIMAL_GOODS_DESCRIPTION,TurboCollectAnimalGoods,60,,30,500,3,,,,3,3,achievement_icon_generic,12,HyperHerder_3,CgkIndvy4_keEAIQGA
,,,,,,,,,,,,,,,,,,
com.supercell.soil.farmtycoon0,,TID_ACHIEVEMENT_BONANZA,TID_ACHIEVEMENT_BONANZA_DESCRIPTION,BuildBuildings,10,,,100,1,,,,1,1,achievement_icon_generic,15,FarmTychoon_1,CgkIndvy4_keEAIQGQ
,,,,,,,,,,,,,,,,,,
com.supercell.soil.citizenkane0,,TID_ACHIEVEMENT_CITIZEN_KANE,TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,PlaceNewspaperAd,5,,,25,1,,,,1,1,achievement_icon_generic,14,CitizenKane_1,CgkIndvy4_keEAIQHA
com.supercell.soil.citizenkane1,1,TID_ACHIEVEMENT_CITIZEN_KANE,TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,PlaceNewspaperAd,100,,,120,2,,,,2,2,achievement_icon_generic,14,CitizenKane_2,CgkIndvy4_keEAIQHQ
com.supercell.soil.citizenkane2,2,TID_ACHIEVEMENT_CITIZEN_KANE,TID_ACHIEVEMENT_CITIZEN_KANE_DESCRIPTION,PlaceNewspaperAd,2000,,,430,3,,,,3,3,achievement_icon_generic,14,CitizenKane_3,CgkIndvy4_keEAIQHg
,,,,,,,,,,,,,,,,,,
com.supercell.soil.egghead0,,TID_ACHIEVEMENT_EGGHEAD,TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,CollectAnimalProduct,12,Egg,,20,1,,,,1,1,achievement_icon_generic,5,Egghead_1,CgkIndvy4_keEAIQHw
com.supercell.soil.egghead1,1,TID_ACHIEVEMENT_EGGHEAD,TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,CollectAnimalProduct,600,Egg,,140,2,,,,2,2,achievement_icon_generic,5,Egghead_2,CgkIndvy4_keEAIQIA
com.supercell.soil.egghead2,2,TID_ACHIEVEMENT_EGGHEAD,TID_ACHIEVEMENT_EGGHEAD_DESCRIPTION,CollectAnimalProduct,3600,Egg,,470,3,,,,3,3,achievement_icon_generic,5,Egghead_3,CgkIndvy4_keEAIQIQ
,,,,,,,,,,,,,,,,,,
com.supercell.soil.gotmilk0,,TID_ACHIEVEMENT_GOT_MILK,TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,CollectAnimalProduct,6,Milk,,30,1,,,,1,1,achievement_icon_generic,6,GotMilk_1,CgkIndvy4_keEAIQIg
com.supercell.soil.gotmilk1,1,TID_ACHIEVEMENT_GOT_MILK,TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,CollectAnimalProduct,500,Milk,,230,2,,,,2,2,achievement_icon_generic,6,GotMilk_2,CgkIndvy4_keEAIQIw
com.supercell.soil.gotmilk2,2,TID_ACHIEVEMENT_GOT_MILK,TID_ACHIEVEMENT_GOT_MILK_DESCRIPTION,CollectAnimalProduct,2150,Milk,,1160,3,,,,3,3,achievement_icon_generic,6,GotMilk_3,CgkIndvy4_keEAIQJA
,,,,,,,,,,,,,,,,,,
com.supercell.soil.baconator0,,TID_ACHIEVEMENT_BACONATOR,TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,CollectAnimalProduct,10,Bacon,,75,1,,,,1,1,achievement_icon_generic,7,Baconator_1,CgkIndvy4_keEAIQJQ
com.supercell.soil.baconator1,1,TID_ACHIEVEMENT_BACONATOR,TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,CollectAnimalProduct,200,Bacon,,260,2,,,,2,2,achievement_icon_generic,7,Baconator_2,CgkIndvy4_keEAIQJg
com.supercell.soil.baconator2,2,TID_ACHIEVEMENT_BACONATOR,TID_ACHIEVEMENT_BACONATOR_DESCRIPTION,CollectAnimalProduct,1500,Bacon,,1050,3,,,,3,3,achievement_icon_generic,7,Baconator_3,CgkIndvy4_keEAIQJw
,,,,,,,,,,,,,,,,,,
com.supercell.soil.sheepshearer0,,TID_ACHIEVEMENT_SHEEP_SHEARER,TID_ACHIEVEMENT_SHEEP_SHEARER_DESCRIPTION,CollectAnimalProduct,20,Wool,,150,1,,,,1,1,achievement_icon_generic,8,SheepShearer_1,CgkIndvy4_keEAIQKA
