"Name","FileName","ExportName","TimeMin","TimeSec","TileWidth","TileHeight","Piece","PieceTileX","PieceTileY","PieceMirrored","ShopIconExportName","Animal","Capacity","Price","CollectIconExportName","TID","MaxHabitatsColumnName","BuySound","RandomSounds","TapSound","ShopDescriptionTID"
"String","String","String","int","int","int","int","String","int","int","boolean","String","String","int","int","String","String","String","String","String","String","String"
"ChickenHabitat","sc/buildings_new.sc","pasture_chicken",,,3,3,"Chicken_Coop_01",,,,"shop_icon_chickencoop","Chicken",6,5,"tool_collect_eggs","TID_CHICKEN_HABITAT","MaxChickenHabitats","Buy","RandomChicken","MenuBleep","TID_CHICKEN_HABITAT_SHOP_DESCRIPTION"
,,,,,,,"Chicken_Trough_01",,1,,,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Back",,2,,,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Back",,,"true",,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Back",1,,"true",,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Back",2,,"true",,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",3,,,,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",3,1,,,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",3,2,,,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",,3,"true",,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",1,3,"true",,,,,,,,,,,
,,,,,,,"Fence_Chicken01_Front",2,3,"true",,,,,,,,,,,
"CowHabitat","sc/buildings_new.sc","pasture_cow",,,4,4,"Fence_Cow01",,,,"shop_icon_cowpasture","Cow",5,20,"tool_collect_milk","TID_COW_HABITAT","MaxCowHabitats","Buy","RandomCow","MenuBleep","TID_COW_HABITAT_SHOP_DESCRIPTION"
,,,,,,,"Cow_Trough_01",,1,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",,2,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",,3,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",,,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",1,,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",2,,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",3,,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",4,,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",4,1,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",4,2,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",4,3,,,,,,,,,,,,
,,,,,,,"Fence_Cow01",,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",1,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",2,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Cow01",3,4,"true",,,,,,,,,,,
