Name,ExportName,FileName,TileWidth,TileHeight,TapSound,MinStayTimeRandomAddMinutes,MaxStayTimeRandomAddMinutes,MaxSharedCrates,MaxSharedExtraNeighborhoodCrates,BlackLists
String,String,String,int,int,String,int,int,int,int,String
Boat,riverboat_01,sc/buildings_new.sc,2,4,MenuBleep,0,5,3,1,"Brown_Sugar,White Sugar,Syrup,Caramel Apple,Toffee,Chocolate,Lollipop,Jelly Beans,Cookie,Potato Bread,Pancakes"
,,,,,,,,,,"Espreso,Latte,Mocha,Raspberry Mocha,Hot Chocolate,BananaLatte"
,,,,,,,,,,"Popcorn,Butter Popcorn,Chili Popcorn,Chocolate Popcorn,Honey Popcorn"
,,,,,,,,,,"Cream,Butter,Cheese,Goat Cheese"
,,,,,,,,,,"ClocheHat,TopHat,SunHat"
,,,,,,,,,,"Green Tea,Milk Tea,Honey Tea,Lemon Tea,Orange Tea,Ice Tea"
,,,,,,,,,,"Apple Jam,Raspberry Jam,Blackberry Jam,Cherry Jam,Strawberry Jam,Marmelade,Peach Jam,Grape Jam"
,,,,,,,,,,"Bread,Corn Bread,Cookie,Raspberry Muffin,Blackberry Muffin,Pizza,Spicy Pizza,Potato Bread,Frutti di Mare Pizza,BananaBread"
,,,,,,,,,,"Pancakes,Bacon and Eggs,Hamburger,Fishburger,Roasted Tomatoes,Baked Potato,Fish and Chips,Lobster Skewer,Grilled Onion,BananaPancakes"
,,,,,,,,,,"Carrot Cake,Birthday Cake,Berry Cake,Cheese Cake,Strawberry Cake,Chocolate Cake,Potato Feta Cake,Honey Apple Cake,Lemon Cake,Fruitcake"
,,,,,,,,,,"Strawberry Candle,Raspberry Candle,Lemon Candle"
,,,,,,,,,,"Lobster Meat,Duck Down,Frutti di Mare Pizza,Lobster Skewer,Lobster Pasta,SeafoodSalad,LobsterSushi,Pillow,Blanket,TopHat,SunHat"
,,,,,,,,,,"Honey,Beeswax,Honey Tea,Honey Popcorn,Honey Apple Cake,Honey Toast,Honeycomb"
,,,,,,,,,,"Hot Dog,Tofu Dog,Corn Dog,Onion Dog"
,,,,,,,,,,"Vanilla Ice Cream,Cherry Popsicle,Strawberry Ice Cream,Chocolate Ice Cream,Orange Sorbet,Peach Ice Cream,BananaSplit"
,,,,,,,,,,"Carrot Juice,Apple Juice,Berry Juice,Tomato Juice,Cherry Juice,Orange Juice,Grape Juice"
,,,,,,,,,,"Sweater,Blue Woolly Hat,Blue Sweater,Cotton Fabrics,Red Scarf"
,,,,,,,,,,"Raw Pasta,Rice Noodles"
,,,,,,,,,,"Gnocchi,Lobster Pasta,Lasagna"
,,,,,,,,,,"Carrot Pie,Pumpkin Pie,Bacon Pie,Fish Pie,Apple Pie,Feta Pie,Casserole,Shepherds Pie,Lemon Pie,Peach Tart"
,,,,,,,,,,"GreekSalad,BaconSalad,SeafoodSalad,Pasta Salad,Fruit Salad,Summer Salad"
,,,,,,,,,,"VeggieBagel,BLTToast,EggSandwich,Honey Toast,Goat Cheese Toast"
,,,,,,,,,,"SoySauce,OliveOil,Mayonaise,Lemon Curd,Tomato Sauce,Salsa"
,,,,,,,,,,"BerrySmoothie,GreenSmoothie,YogurtSmoothie,MixedSmoothie"
,,,,,,,,,,"Lobster Soup,Tomato Soup,Fish Soup,Noodle Soup,Pumpkin Soup,Onion Soup,PotatoSoup"
,,,,,,,,,,"SushiRoll,LobsterSushi,EggRoll,SoySauce"
,,,,,,,,,,"Taco,Fish Taco,Quesadilla,Nachos"
,,,,,,,,,,"Lemon,Lemon Tea,Lemon Curd,Lemon Candle,Pasta Salad,Lemon Pie"
,,,,,,,,,,"Orange,Orange Tea,Marmelade,Orange Sorbet,Orange Juice,MixedSmoothie"
,,,,,,,,,,"Peach,Ice Tea,Peach Ice Cream,Peach Jam,Peach Tart,MixedSmoothie"
