Name,FileName,ExportName,ToolIconExportName,BoosterType,BoosterTarget,BoosterPercentage,BoosterDurationSeconds,UnlockLevel,BoosterStars,TID,BoosterValueTID,DescriptionTID,BoosterEffectExportName,BoosterTapEffectExportName,SpinWheelPrize,FreeBooster
String,String,String,String,String,String,int,int,int,int,String,String,String,String,String,Boolean,Boolean
FasterBoats_lv1,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,20,64800,35,1,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,TRUE,
FasterBoats_lv2,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,25,64800,35,2,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,TRUE,
FasterBoats_lv3,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,25,86400,35,3,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,TRUE,
FasterBoats_lv4,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,35,86400,35,4,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,
FasterBoats_lv5,sc/hud.sc,booster_item01,icon_booster_fasterboat,FasterBoat,,50,129600,35,5,TID_BOOSTER_FASTER_BOAT,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BOAT,happy_character,happy_character,,
FasterCrops1_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,10,7200,35,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Sugarcane,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,
FasterCrops1_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,20,7200,35,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Sugarcane,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,
FasterCrops1_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,20,10800,35,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Sugarcane,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,
FasterCrops1_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,40,10800,35,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Sugarcane,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,
FasterCrops1_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Soybean,50,14400,35,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Sugarcane,,,,,,,,,,,
,,,,,Indigo,,,,,,,,,,,
FasterCrops2_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,10,18000,35,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Chili,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,
FasterCrops2_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,20,18000,35,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Chili,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,
FasterCrops2_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,30,25200,35,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Chili,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,
FasterCrops2_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,40,25200,35,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Chili,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,
FasterCrops2_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Pumpkin,50,36000,35,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Chili,,,,,,,,,,,
,,,,,Cotton,,,,,,,,,,,
FasterCrops3_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,10,36000,35,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Strawberry,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,
FasterCrops3_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,20,36000,35,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Strawberry,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,
FasterCrops3_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,30,43200,35,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Strawberry,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,
FasterCrops3_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,40,43200,35,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Strawberry,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,
FasterCrops3_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Tomato,50,50400,35,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Strawberry,,,,,,,,,,,
,,,,,Potato,,,,,,,,,,,
FasterCrops4_lv1,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,10,21600,58,1,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Rice,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,
FasterCrops4_lv2,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,20,21600,58,2,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Rice,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,
FasterCrops4_lv3,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,30,28800,58,3,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,TRUE,
,,,,,Rice,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,
FasterCrops4_lv4,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,40,28800,58,4,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Rice,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,
FasterCrops4_lv5,sc/hud.sc,booster_item01,icon_booster_fastercrops,FasterCrops,Onion,50,36000,58,5,TID_BOOSTER_FASTER_CROPS,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_CROPS,happy_character,happy_character,,
,,,,,Rice,,,,,,,,,,,
,,,,,Lettuce,,,,,,,,,,,
FasterTrees_lv1,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,10,86400,35,1,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,TRUE,
FasterTrees_lv2,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,20,86400,35,2,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,TRUE,
FasterTrees_lv3,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,30,86400,35,3,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,TRUE,
