Name,Rewards,RewardAmounts,Probabilities
String,String,int,int
RewardSet1,Axe,3,10
,Saw,3,10
,Dynamite,3,10
,Demolition Charge,3,10
,Shovel,2,10
,Bolt,1,10
,Plank,1,10
,Duct Tape,1,10
,Land Deed,1,10
,Mallet,1,10
,Marker Stake,1,10
,Voucher1,2,10
,Voucher2,2,10
RewardSet2,Axe,4,10
,Saw,4,10
,Dynamite,4,10
,Demolition Charge,4,10
,Shovel,3,10
,Pickaxe,3,10
,Nail,2,10
,Screw,2,10
,Wood Panel,2,10
,Voucher1,3,10
,Voucher2,3,10
RewardSet3,Axe,5,45
,Saw,5,45
,Shovel,4,45
,Pickaxe,4,45
,Bolt,3,45
,Plank,3,45
,Duct Tape,3,45
,Land Deed,3,45
,Mallet,3,45
,Marker Stake,3,45
,Voucher3,3,45
,Voucher4,3,45
,FasterBoats_lv1,1,2
,FasterCrops1_lv1,1,2
,FasterCrops2_lv1,1,2
,FasterCrops3_lv1,1,2
,FasterCrops4_lv1,1,2
,FasterTom_lv1,1,2
,FasterBuildings1_lv1,1,2
,FasterBuildings2_lv1,1,2
,FasterBuildings3_lv1,1,2
,FasterBuildings4_lv1,1,2
,FasterTrees_lv1,1,2
,FasterBushes_lv1,1,2
,FreeTom_lv1,1,2
,FreeRose_lv1,1,2
,FreeErnest_lv1,1,2
,EasierBoats_lv1,1,2
RewardSet4,Axe,6,50
,Shovel,5,50
,Pickaxe,5,50
,Nail,4,50
,Screw,4,50
,Wood Panel,4,50
,Land Deed,4,50
,Mallet,4,50
,Marker Stake,4,50
,Voucher3,4,50
,Voucher4,4,50
,FasterBoats_lv2,1,2
,FasterCrops1_lv2,1,2
,FasterCrops2_lv2,1,2
,FasterCrops3_lv2,1,2
,FasterCrops4_lv2,1,2
,FasterTom_lv2,1,2
,FasterBuildings1_lv2,1,2
,FasterBuildings2_lv2,1,2
,FasterBuildings3_lv2,1,2
,FasterBuildings4_lv2,1,2
,FasterTrees_lv2,1,2
,FasterBushes_lv2,1,2
,FreeTom_lv2,1,2
,FreeRose_lv2,1,2
,FreeErnest_lv2,1,2
,EasierBoats_lv2,1,2
RewardSet5,Axe,7,80
,Pickaxe,6,80
,Bolt,5,80
,Plank,5,80
,Duct Tape,5,80
,Voucher3,5,80
,Voucher4,5,80
,FasterBoats_lv3,1,2
,FasterCrops1_lv3,1,2
,FasterCrops2_lv3,1,2
,FasterCrops3_lv3,1,2
,FasterCrops4_lv3,1,2
,FasterTom_lv3,1,2
,FasterBuildings1_lv3,1,2
,FasterBuildings2_lv3,1,2
,FasterBuildings3_lv3,1,2
,FasterBuildings4_lv3,1,2
,FasterTrees_lv3,1,2
,FasterBushes_lv3,1,2
,FreeTom_lv3,1,2
,FreeRose_lv3,1,2
,FreeErnest_lv3,1,2
,EasierBoats_lv3,1,2
RewardSetHalloween1,Axe,10,10
RewardSetHalloween2,HalloweenTombstone,1,20
,Shovel,5,10
RewardSetHalloween3,HalloweenCauldron,1,20
,Saw,5,10
RewardSetHalloween4,HalloweenDeadTree,1,60
,Axe,10,10
,Shovel,10,10
,Saw,10,10
RewardSetHalloween5,HalloweenBirdhouse,1,10
RewardSetChristmas1,Gifts,1,20
,HolidayFlower,1,20
RewardSetChristmas2,ChristmasLantern,1,20
,CandyPole,1,20
