Name,StartDate,StartHour,EndDate,EndHour,EventType,EventIcon,EventPhoto,GoalType,GoalThresholds,ThresholdRewardSets,ThresholdRewardAlwaysShow,GlobalGoal,GlobalReward,GlobalRewardAmount,GlobalRewardThresholdIndex,EventFish,EventParam1,EventParam2,EventParam3,Title,IntroTitle,Text,Notification,GlobalRewardTitle,GlobalRewardText,FileName,ExportName,AltText,SuccessTitle,SuccessText,SuccessFluff,FailTitle,FailText,FailFluff,SuccessFileName,SuccessExportName,FailFileName,FailExportName
String,String,int,String,int,String,String,String,String,int,String,boolean,int,String,int,int,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
Event_001_CarOrders,2013-7-3,,2013-7-16,,CarOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_carorders,,,,,,,,,,,
Event_002_Boats,2013-7-19,,2013-7-23,,BoatOrderBonus,,,,,,,,,,,,,200,200,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_boatorders,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,,,,,,,,,,
Event_003_Crops,2013-7-26,,2013-7-30,,CropInSeason,,,,,,,,,,,,Carrot,50,,TID_CALENDAR_EVENT_CROP_IN_SEASON_TITLE,TID_CALENDAR_EVENT_CROP_IN_SEASON_TITLE,TID_CALENDAR_EVENT_CROP_IN_SEASON_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_crops,,,,,,,,,,,
Event_004_Visitors,2013-8-2,,2013-8-6,,VisitorOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_visitors,,,,,,,,,,,
Event_005_Boats,2013-8-9,,2013-8-13,,BoatOrderBonus,,,,,,,,,,,,,200,200,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_boatorders,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,,,,,,,,,,
Event_006_Newspaper,2013-8-16,,2013-8-20,,NewsExtra,,,,,,,,,,,,20,50,,TID_CALENDAR_EVENT_NEWS_EXTRA_TITLE,TID_CALENDAR_EVENT_NEWS_EXTRA_TITLE,TID_CALENDAR_EVENT_NEWS_EXTRA_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_newspaper,,,,,,,,,,,
Event_007_CarOrders,2013-8-23,,2013-8-27,,CarOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_carorders,,,,,,,,,,,
Event_008_Boats,2013-8-30,,2013-9-3,,BoatOrderBonus,,,,,,,,,,,,,200,200,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_boatorders,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,,,,,,,,,,
Event_009_Visitors,2013-9-6,,2013-9-10,,VisitorOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_visitors,,,,,,,,,,,
Event_010_Boats,2013-9-13,,2013-9-16,,BoatOrderBonus,,,,,,,,,,,,,200,200,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_boatorders,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,,,,,,,,,,
Event_011_Newspaper,2013-9-20,,2013-9-23,,NewsExtra,,,,,,,,,,,,20,50,,TID_CALENDAR_EVENT_NEWS_EXTRA_TITLE,TID_CALENDAR_EVENT_NEWS_EXTRA_TITLE,TID_CALENDAR_EVENT_NEWS_EXTRA_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_newspaper,,,,,,,,,,,
Event_012_CarOrders,2013-9-27,,2013-9-30,,CarOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_CAR_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_carorders,,,,,,,,,,,
Event_013_Visitors,2013-10-4,,2013-10-7,,VisitorOrderBonus,,,,,,,,,,,,,200,,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_PEOPLE_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_visitors,,,,,,,,,,,
Event_014_Boats,2013-10-11,,2013-10-14,,BoatOrderBonus,,,,,,,,,,,,,200,200,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TITLE,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_TEXT,TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION,,,sc/hud.sc,poster_boatorders,TID_CALENDAR_EVENT_BOAT_ORDER_BONUS_ALT_TEXT,,,,,,,,,,
Event_015_Adv_ItemDump_BaconEggs,2013-10-16,,2013-10-21,,ItemDumping,event_icon_crate,,Bacon and Eggs,27,RewardSet1,,175000000,FreeDiamonds,5,2,,,,,TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,TID_ADVANCED_EVENT_TITLE_GENERIC_ITEM_DUMPING,TID_ADVANCED_EVENT_TEXT_GENERIC_ITEM_DUMPING_BACONEGGS,TID_ADVANCED_EVENT_NOTIFICATION_GENERIC,TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_GENERIC,TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,sc/hud.sc,advanced_event_poster_products,,TID_ADVANCED_EVENT_SUCCESS_TITLE_GENERIC,TID_ADVANCED_EVENT_SUCCESS_TEXT_GENERIC,TID_ADVANCED_EVENT_SUCCESS_FLUFF_GENERIC,TID_ADVANCED_EVENT_FAIL_TITLE_GENERIC,TID_ADVANCED_EVENT_FAIL_TEXT_GENERIC,TID_ADVANCED_EVENT_FAIL_FLUFF_GENERIC,,,,
,,,,,,,,,52,RewardSet2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77,RewardSet3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,103,RewardSet4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,142,RewardSet5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event_016_Adv_ItemDump_Halloween,2013-10-26,,2013-11-1,,ItemDumping,event_icon_crate,,Pumpkin Pie,6,RewardSetHalloween1,,47000000,FreeDiamonds,5,1,,,,,TID_ADVANCED_EVENT_TITLE_HALLOWEEN,TID_ADVANCED_EVENT_TITLE_HALLOWEEN,TID_ADVANCED_EVENT_TEXT_HALLOWEEN,TID_ADVANCED_EVENT_NOTIFICATION_HALLOWEEN,TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_HEADER_HALLOWEEN,TID_MASSGIFT_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,sc/hud.sc,advanced_event_poster_pumpkin,,TID_ADVANCED_EVENT_SUCCESS_TITLE_HALLOWEEN,TID_ADVANCED_EVENT_SUCCESS_TEXT_HALLOWEEN,TID_ADVANCED_EVENT_SUCCESS_FLUFF_GENERIC,TID_ADVANCED_EVENT_FAIL_TITLE_HALLOWEEN,TID_ADVANCED_EVENT_FAIL_TEXT_HALLOWEEN,TID_ADVANCED_EVENT_FAIL_FLUFF_GENERIC,,,,
,,,,,,,,,14,RewardSetHalloween2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,27,RewardSetHalloween3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,48,RewardSetHalloween4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77,RewardSetHalloween5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
