Name,Gifts,TimeLimited,IntervalHours,CooldownExpiredHours,CooldownPurchasedHours,SpeedUpDiamondPrice
String,String,boolean,int,int,int,int
slot1,SmallPresent,,,,,
slot2,MediumPresent,,,,,
slot3,BigPresent,,,,,
slot4,ToolsPackage1,true,48,8,24,1
,ToolsPackage2,,48,8,24,
,ToolsPackage3,,48,8,24,
,ToolsPackage4,,48,8,24,
,SmallDecoPack1,,168,8,24,
,SmallDecoPack1_1,,168,8,24,
,SmallDecoPack2,,168,8,24,
,SmallDecoPack2_1,,168,8,24,
,BigDecoPack1,,192,8,24,
,BigDecoPack1_1,,192,8,24,
,BigDecoPack2,,192,8,24,
,BigDecoPack2_1,,192,8,24,
,TownPackage1,,72,8,24,
,TownPackage2,,72,8,24,
,TownPackage3,,72,8,24,
,TownPackage4,,72,8,24,
,SmallBoosterPack,,72,8,24,
,MediumBoosterPack,,72,8,24,
