Name,ShopIconExportName,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,FenceBelowExportName,FenceRightExportName,FenceCornerExportName,TileWidth,TileHeight,Price,DiamondPrice,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,TapSound,CanBuy,SpinWheelPrize,BuyExp,Passable,Theme,TagSpecial,TagNature,TagDeco,TagSanctuary,HideFromLevelUpScreen,SanctuaryAnimal
String,String,int,int,int,String,String,String,String,String,int,int,int,int,int,int,String,String,String,String,Boolean,Boolean,int,Boolean,String,Boolean,Boolean,Boolean,Boolean,Boolean,String
Fence,shop_icon_picketfence,11,0,,sc/decos.sc,fence_01_pole,fence_01,fence_01_mirrored,fence_01_corner,1,1,5,,2,1,TID_FENCE_01_DESCRIPTION,TID_FENCE_01,Buy,TapDecorationGeneric,true,,1,,,,,,,,
Stone Wall,shop_icon_stonewall,13,0,,sc/decos.sc,fence_02_pole,fence_02,fence_02_mirrored,fence_02_corner,1,1,60,,10,1,TID_FENCE_02_DESCRIPTION,TID_FENCE_02,Buy,TapDecorationGeneric,true,,6,,,,,,,,
Stone Path,shop_icon_stonepath,11,0,,sc/decos.sc,fence_03_pole,fence_03,fence_03_mirrored,fence_03_corner,1,1,25,,5,1,TID_FENCE_03_DESCRIPTION,TID_FENCE_03,Buy,TapDecorationGeneric,true,,3,true,,,,,,,
Hedge,shop_icon_hedgewall,20,0,,sc/decos.sc,fence_04_pole,fence_04,fence_04_mirrored,fence_04_corner,1,1,10,,3,1,TID_FENCE_04_DESCRIPTION,TID_FENCE_04,Buy,TapDecorationGeneric,true,,1,,,,,,,,
Flower Hedge,shop_icon_hedgeflower,25,0,,sc/decos.sc,fence_05_pole,fence_05,fence_05_mirrored,fence_05_corner,1,1,35,,5,1,TID_FENCE_05_DESCRIPTION,TID_FENCE_05,Buy,TapDecorationGeneric,true,,4,,,,,,,,
Brick Fence,shop_icon_brickwall,30,0,,sc/decos.sc,fence_06_pole,fence_06,fence_06_mirrored,fence_06_corner,1,1,90,,15,1,TID_FENCE_06_DESCRIPTION,TID_FENCE_06,Buy,TapDecorationGeneric,true,,9,,,,,,,,
GoldenWall,shop_icon_goldenwall,33,0,,sc/decos.sc,fence_07_pole,fence_07,fence_07_mirrored,fence_07_corner,1,1,10000,,500,1,TID_FENCE_07_DESCRIPTION,TID_FENCE_07,Buy,TapDecorationGeneric,true,,50,,,,,,,,
CemetaryFence,shop_icon_cemetaryfence,1,0,,sc/decos.sc,fence_cemetary_pole,fence_cemetary,fence_cemetary_mirrored,fence_cemetary_corner,1,1,,5,0,1,TID_DECO_HALLOWEEN_FENCE_08_DESC,TID_DECO_HALLOWEEN_FENCE_08,Buy,TapDecorationGeneric,true,,15,,Halloween2015,TRUE,,,,,
ChristmasFence,shop_icon_christmas_fence,1,0,,sc/decos.sc,fence_christmas_pole,fence_christmas,fence_christmas_mirrored,fence_christmas_corner,1,1,,5,0,1,TID_DECO_CHRISTMAS_FENCE_09_DESC,TID_DECO_CHRISTMAS_FENCE_09,Buy,TapDecorationGeneric,true,,15,,Christmas2016,TRUE,,,,,
Sand Path,shop_icon_wornoutpath,23,0,,sc/decos.sc,fence_11_pole,fence_11,fence_11_mirrored,fence_11_corner,1,1,20,,2,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_11,Buy,TapDecorationGeneric,true,,2,true,,,,,,,
Gravel Path,shop_icon_gravelpath,41,0,,sc/decos.sc,fence_09_pole,fence_09,fence_09_mirrored,fence_09_corner,1,1,40,,5,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_09,Buy,TapDecorationGeneric,true,,3,true,,,,,,,
Cobblestone Path,shop_icon_cobblestonepath,46,0,,sc/decos.sc,fence_10_pole,fence_10,fence_10_mirrored,fence_10_corner,1,1,60,,5,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_10,Buy,TapDecorationGeneric,true,,4,true,,,,,,,
Golden Path,shop_icon_stonepath_gold,50,0,,sc/decos.sc,fence_03_pole_gold,fence_03_gold,fence_03_mirrored_gold,fence_03_corner_gold,1,1,5000,,250,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_08,Buy,TapDecorationGeneric,true,,20,true,,,,,,,
RoseFenceWhite,shop_icon_roses_white,19,0,,sc/decos.sc,fence_roses_white_pole,fence_roses_white,fence_roses_white_mirrored,fence_roses_white_corner,1,1,200,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_ROSES_WHITE,Buy,TapDecorationGeneric,true,,5,,,,TRUE,,,,
RoseFenceYellow,shop_icon_roses_yellow,40,0,,sc/decos.sc,fence_roses_yellow_pole,fence_roses_yellow,fence_roses_yellow_mirrored,fence_roses_yellow_corner,1,1,200,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_ROSES_YELLOW,Buy,TapDecorationGeneric,true,,5,,,,TRUE,,,,
RoseFenceOrange,shop_icon_roses_orange,44,0,,sc/decos.sc,fence_roses_orange_pole,fence_roses_orange,fence_roses_orange_mirrored,fence_roses_orange_corner,1,1,200,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_ROSES_ORANGE,Buy,TapDecorationGeneric,true,,5,,,,TRUE,,,,
RoseFencePink,shop_icon_roses_pink,48,0,,sc/decos.sc,fence_roses_pink_pole,fence_roses_pink,fence_roses_pink_mirrored,fence_roses_pink_corner,1,1,200,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_ROSES_PINK,Buy,TapDecorationGeneric,true,,5,,,,TRUE,,,,
RoseFenceRed,shop_icon_roses_red,53,0,,sc/decos.sc,fence_roses_red_pole,fence_roses_red,fence_roses_red_mirrored,fence_roses_red_corner,1,1,200,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_FENCE_ROSES_RED,Buy,TapDecorationGeneric,true,,5,,,,TRUE,,,,
TownRoad01,shop_icon_townroad01,34,0,,sc/decos.sc,road_01_pole,Road_01,road_01_mirrored,road_01_corner,1,1,100,,10,1,TID_DECO_GENERIC_DESCRIPTION,TID_TOWN_ROAD_01,Buy,TapDecorationGeneric,true,,5,true,,,,,,,
