League,MemberCount,Threshold1,Threshold2,Threshold3,Threshold4,Threshold5,Threshold6,Threshold7,Threshold8,Threshold9
String,String,int,int,int,int,int,int,int,int,int
League1,1,350,650,1050,1950,3650,,,,
,2,400,800,1300,2300,4100,,,,
,3,450,950,1550,2650,4550,,,,
,4,500,1100,1800,3000,5000,,,,
,5,550,1250,2050,3350,5450,,,,
,6,600,1400,2300,3700,5900,,,,
,7,650,1550,2550,4050,6350,,,,
,8,700,1700,2800,4400,6800,,,,
,9,750,1850,3050,4750,7250,,,,
,10,800,2000,3300,5100,7700,,,,
,11,850,2150,3550,5450,8150,,,,
,12,900,2300,3800,5800,8600,,,,
,13,950,2450,4050,6150,9050,,,,
,14,1000,2600,4300,6500,9500,,,,
,15,1050,2750,4550,6850,9950,,,,
,16,1100,2900,4800,7200,10400,,,,
,17,1150,3050,5050,7550,10850,,,,
,18,1200,3200,5300,7900,11300,,,,
,19,1250,3350,5550,8250,11750,,,,
,20,1300,3500,5800,8600,12200,,,,
,21,1350,3650,6050,8950,12650,,,,
,22,1400,3800,6300,9300,13100,,,,
,23,1450,3950,6550,9650,13550,,,,
,24,1500,4100,6800,10000,14000,,,,
,25,1550,4250,7050,10350,14450,,,,
,26,1600,4400,7300,10700,14900,,,,
,27,1650,4550,7550,11050,15350,,,,
,28,1700,4700,7800,11400,15800,,,,
,29,1750,4850,8050,11750,16250,,,,
,30,1800,5000,8300,12100,16700,,,,
League2,1,350,650,1050,1950,3650,4650,,,
,2,400,800,1300,2300,4100,5300,,,
,3,450,950,1550,2650,4550,5950,,,
,4,500,1100,1800,3000,5000,6600,,,
,5,550,1250,2050,3350,5450,7250,,,
,6,600,1400,2300,3700,5900,7900,,,
,7,650,1550,2550,4050,6350,8550,,,
,8,700,1700,2800,4400,6800,9200,,,
,9,750,1850,3050,4750,7250,9850,,,
,10,800,2000,3300,5100,7700,10500,,,
,11,850,2150,3550,5450,8150,11150,,,
,12,900,2300,3800,5800,8600,11800,,,
,13,950,2450,4050,6150,9050,12450,,,
,14,1000,2600,4300,6500,9500,13100,,,
,15,1050,2750,4550,6850,9950,13750,,,
,16,1100,2900,4800,7200,10400,14400,,,
,17,1150,3050,5050,7550,10850,15050,,,
,18,1200,3200,5300,7900,11300,15700,,,
,19,1250,3350,5550,8250,11750,16350,,,
,20,1300,3500,5800,8600,12200,17000,,,
,21,1350,3650,6050,8950,12650,17650,,,
,22,1400,3800,6300,9300,13100,18300,,,
,23,1450,3950,6550,9650,13550,18950,,,
,24,1500,4100,6800,10000,14000,19600,,,
,25,1550,4250,7050,10350,14450,20250,,,
,26,1600,4400,7300,10700,14900,20900,,,
,27,1650,4550,7550,11050,15350,21550,,,
,28,1700,4700,7800,11400,15800,22200,,,
,29,1750,4850,8050,11750,16250,22850,,,
,30,1800,5000,8300,12100,16700,23500,,,
League3,1,350,650,1050,1950,3650,4650,5800,,
,2,400,800,1300,2300,4100,5300,6600,,
,3,450,950,1550,2650,4550,5950,7400,,
,4,500,1100,1800,3000,5000,6600,8200,,
,5,550,1250,2050,3350,5450,7250,9000,,
,6,600,1400,2300,3700,5900,7900,9800,,
,7,650,1550,2550,4050,6350,8550,10600,,
,8,700,1700,2800,4400,6800,9200,11400,,
,9,750,1850,3050,4750,7250,9850,12200,,
,10,800,2000,3300,5100,7700,10500,13000,,
,11,850,2150,3550,5450,8150,11150,13800,,
,12,900,2300,3800,5800,8600,11800,14600,,
,13,950,2450,4050,6150,9050,12450,15400,,
,14,1000,2600,4300,6500,9500,13100,16200,,
,15,1050,2750,4550,6850,9950,13750,17000,,
,16,1100,2900,4800,7200,10400,14400,17800,,
,17,1150,3050,5050,7550,10850,15050,18600,,
,18,1200,3200,5300,7900,11300,15700,19400,,
,19,1250,3350,5550,8250,11750,16350,20200,,
,20,1300,3500,5800,8600,12200,17000,21000,,
,21,1350,3650,6050,8950,12650,17650,21800,,
,22,1400,3800,6300,9300,13100,18300,22600,,
,23,1450,3950,6550,9650,13550,18950,23400,,
,24,1500,4100,6800,10000,14000,19600,24200,,
,25,1550,4250,7050,10350,14450,20250,25000,,
,26,1600,4400,7300,10700,14900,20900,25800,,
,27,1650,4550,7550,11050,15350,21550,26600,,
,28,1700,4700,7800,11400,15800,22200,27400,,
,29,1750,4850,8050,11750,16250,22850,28200,,
,30,1800,5000,8300,12100,16700,23500,29000,,
League4,1,350,650,1050,1950,3650,4650,5800,6950,
,2,400,800,1300,2300,4100,5300,6600,7900,
,3,450,950,1550,2650,4550,5950,7400,8850,
,4,500,1100,1800,3000,5000,6600,8200,9800,
,5,550,1250,2050,3350,5450,7250,9000,10750,
,6,600,1400,2300,3700,5900,7900,9800,11700,
,7,650,1550,2550,4050,6350,8550,10600,12650,
,8,700,1700,2800,4400,6800,9200,11400,13600,
,9,750,1850,3050,4750,7250,9850,12200,14550,
,10,800,2000,3300,5100,7700,10500,13000,15500,
,11,850,2150,3550,5450,8150,11150,13800,16450,
,12,900,2300,3800,5800,8600,11800,14600,17400,
,13,950,2450,4050,6150,9050,12450,15400,18350,
,14,1000,2600,4300,6500,9500,13100,16200,19300,
,15,1050,2750,4550,6850,9950,13750,17000,20250,
,16,1100,2900,4800,7200,10400,14400,17800,21200,
,17,1150,3050,5050,7550,10850,15050,18600,22150,
,18,1200,3200,5300,7900,11300,15700,19400,23100,
,19,1250,3350,5550,8250,11750,16350,20200,24050,
,20,1300,3500,5800,8600,12200,17000,21000,25000,
,21,1350,3650,6050,8950,12650,17650,21800,25950,
,22,1400,3800,6300,9300,13100,18300,22600,26900,
,23,1450,3950,6550,9650,13550,18950,23400,27850,
,24,1500,4100,6800,10000,14000,19600,24200,28800,
,25,1550,4250,7050,10350,14450,20250,25000,29750,
,26,1600,4400,7300,10700,14900,20900,25800,30700,
,27,1650,4550,7550,11050,15350,21550,26600,31650,
,28,1700,4700,7800,11400,15800,22200,27400,32600,
,29,1750,4850,8050,11750,16250,22850,28200,33550,
,30,1800,5000,8300,12100,16700,23500,29000,34500,
League5,1,350,650,1050,1950,3650,4650,5800,6950,8000
,2,400,800,1300,2300,4100,5300,6600,7900,9000
,3,450,950,1550,2650,4550,5950,7400,8850,10000
,4,500,1100,1800,3000,5000,6600,8200,9800,11000
,5,550,1250,2050,3350,5450,7250,9000,10750,12000
,6,600,1400,2300,3700,5900,7900,9800,11700,13000
,7,650,1550,2550,4050,6350,8550,10600,12650,14000
,8,700,1700,2800,4400,6800,9200,11400,13600,15000
,9,750,1850,3050,4750,7250,9850,12200,14550,16000
,10,800,2000,3300,5100,7700,10500,13000,15500,17000
,11,850,2150,3550,5450,8150,11150,13800,16450,18000
,12,900,2300,3800,5800,8600,11800,14600,17400,19000
,13,950,2450,4050,6150,9050,12450,15400,18350,20000
,14,1000,2600,4300,6500,9500,13100,16200,19300,21000
,15,1050,2750,4550,6850,9950,13750,17000,20250,22000
,16,1100,2900,4800,7200,10400,14400,17800,21200,23000
,17,1150,3050,5050,7550,10850,15050,18600,22150,24000
,18,1200,3200,5300,7900,11300,15700,19400,23100,25000
,19,1250,3350,5550,8250,11750,16350,20200,24050,26000
,20,1300,3500,5800,8600,12200,17000,21000,25000,27000
,21,1350,3650,6050,8950,12650,17650,21800,25950,28000
,22,1400,3800,6300,9300,13100,18300,22600,26900,29000
,23,1450,3950,6550,9650,13550,18950,23400,27850,30000
,24,1500,4100,6800,10000,14000,19600,24200,28800,31000
,25,1550,4250,7050,10350,14450,20250,25000,29750,32000
,26,1600,4400,7300,10700,14900,20900,25800,30700,33000
,27,1650,4550,7550,11050,15350,21550,26600,31650,34000
,28,1700,4700,7800,11400,15800,22200,27400,32600,35000
,29,1750,4850,8050,11750,16250,22850,28200,33550,36000
,30,1800,5000,8300,12100,16700,23500,29000,34500,37000
