"Name","ExportName","CurrencyInUSD","Diamonds","TID","Enabled","TLOPackage","RED","ChronosPackage","SpecialPackage","DecoReward","DecoAmount","BigButton","BoosterRandomAmount","BoosterRandomMinStars","Booster5StarAmount","StarterPackage","StarterPackageReward"
"String","String","int","int","String","boolean","boolean","boolean","boolean","boolean","String","int","boolean","int","int","int","boolean","String"
"com.supercell.soil.diamondpackage1","icon_diamonds_pile",199,50,"TID_DIAMOND_PACK_1","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage2","icon_diamonds_bag",499,130,"TID_DIAMOND_PACK_2","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage3","icon_diamonds_sack",999,275,"TID_DIAMOND_PACK_3","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage4","icon_diamonds_box",1999,570,"TID_DIAMOND_PACK_4","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage5","icon_diamonds_chest",3999,1500,"TID_DIAMOND_PACK_5","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage6","icon_diamonds_trunk",9999,4000,"TID_DIAMOND_PACK_6","true",,,,,,,,,,,,
"com.supercell.soil.diamondpackage5_1","icon_diamonds_chest",2799,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage5_2","icon_diamonds_chest",2399,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage5_3","icon_diamonds_chest",1599,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_1","icon_diamonds_box",1399,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_2","icon_diamonds_box",1199,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_3","icon_diamonds_box",799,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_4","icon_diamonds_box",1699,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_5","icon_diamonds_box",1599,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage4_6","icon_diamonds_box",1399,570,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage5_4","icon_diamonds_chest",3399,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage5_5","icon_diamonds_chest",3199,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage5_6","icon_diamonds_chest",2799,1500,"TID_DIAMOND_PACK_5","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage6_1","icon_diamonds_trunk",8499,4000,"TID_DIAMOND_PACK_6","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage6_2","icon_diamonds_trunk",7999,4000,"TID_DIAMOND_PACK_6","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage6_3","icon_diamonds_trunk",6999,4000,"TID_DIAMOND_PACK_6","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage7","icon_diamonds_box",699,180,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage7_1","icon_diamonds_box",299,180,"TID_DIAMOND_PACK_4","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage2_1","icon_diamonds_bag",299,130,"TID_DIAMOND_PACK_3","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage2_2","icon_diamonds_bag",199,130,"TID_DIAMOND_PACK_3","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage2_3","icon_diamonds_bag",99,130,"TID_DIAMOND_PACK_3","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage8","icon_diamonds_sack",899,250,"TID_DIAMOND_PACK_3","true","true",,,,,,,,,,,
"com.supercell.soil.diamondpackage8_1","icon_diamonds_sack",399,250,"TID_DIAMOND_PACK_3","true","true",,,,,,,,,,,
"com.supercell.soil.starterpackage1","icon_diamonds_pile",99,50,"TID_STARTER_PACK_1","true","true",,,,,,,,,,"true","Starter_Pack_Farm"
"com.supercell.soil.starterpackage2","icon_diamonds_pile",99,70,"TID_STARTER_PACK_2","true","true",,,,,,,,,,"true","Starter_Pack_Farm_Expansion"
"com.supercell.soil.starterpackage3","icon_diamonds_pile",99,90,"TID_STARTER_PACK_3","true","true",,,,,,,,,,"true","Starter_Pack_Farm_Fishing"
"com.supercell.soil.starterpackage4","icon_diamonds_pile",99,110,"TID_STARTER_PACK_4","true","true",,,,,,,,,,"true","Starter_Pack_Town"
"com.supercell.soil.starterpackage5","icon_diamonds_bag",99,130,"TID_STARTER_PACK_5","true","true",,,,,,,,,,"true","Starter_Pack_Town_Expansion"
"com.supercell.soil.starterpackage1_1","icon_diamonds_bag",499,130,"TID_STARTER_PACK_1","true","true",,,,,,,,,,"true","Starter_Pack_Farm_1"
"com.supercell.soil.starterpackage2_1","icon_diamonds_bag",599,160,"TID_STARTER_PACK_2","true","true",,,,,,,,,,"true","Starter_Pack_Farm_Expansion_1"
"com.supercell.soil.starterpackage3_1","icon_diamonds_bag",699,190,"TID_STARTER_PACK_3","true","true",,,,,,,,,,"true","Starter_Pack_Farm_Fishing_1"
"com.supercell.soil.starterpackage4_1","icon_diamonds_bag",799,220,"TID_STARTER_PACK_4","true","true",,,,,,,,,,"true","Starter_Pack_Town_1"
"com.supercell.soil.starterpackage5_1","icon_diamonds_sack",899,250,"TID_STARTER_PACK_5","true","true",,,,,,,,,,"true","Starter_Pack_Town_Expansion_1"
"com.supercell.soil.diamondpackageRED","icon_diamonds_bag",499,130,"TID_DIAMOND_PACK_RED","false",,"true",,"true","HeroStatue",1,"true",,,,,
"com.supercell.soil.boosterpackage1","icon_diamonds_pile",199,50,"TID_BOOSTER_PACK_1","false",,,"true","true",,,,3,3,1,,
"com.supercell.soil.boosterpackage2","icon_diamonds_bag",499,130,"TID_BOOSTER_PACK_2","false",,,"true","true",,,,3,3,3,,
"com.supercell.soil.boosterpackage3","icon_diamonds_sack",999,275,"TID_BOOSTER_PACK_3","false",,,"true","true",,,,0,3,6,,
"com.supercell.soil.diamondpackage2_decopackage1","icon_diamonds_bag",499,130,"TID_DIAMOND_PACK_2_Birthday_1","false",,,"true","true","ElephantStatue",1,"true",,,,,
"com.supercell.soil.diamondpackage2_decopackage2","icon_diamonds_bag",499,130,"TID_DIAMOND_PACK_3_Birthday_2","false",,,"true","true","GorillaStatue",1,"true",,,,,
"com.supercell.soil.diamondpackage2_decopackage3","icon_diamonds_bag",499,130,"TID_DIAMOND_PACK_5_Birthday_3","false",,,"true","true","RhinoStatue",1,"true",,,,,
