Name,Probability,UnlockLevel,FileName,ExportName,OpenDurationMillis,TapSound,TileWidth,TileHeight,GoodReward,GoodAmount,Area,HomeOrVisiting,Theme,CalendarEvent,DayMod,DayGroup,HourMod,HourGroup
String,int,int,String,String,int,String,int,int,String,int,String,String,String,String,int,int,int,int
HalloweenEasterEgg,999999,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,HalloweenCoffin,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,FreeDiamonds,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,FreeDiamonds,3,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Demolition Charge,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Axe,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Saw,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Shovel,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Bolt,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Plank,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Duct Tape,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Nail,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Screw,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,22,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Wood Panel,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,12,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Voucher1,1,fishing,,Halloween,,,,5,0
HalloweenEasterEgg,6,27,sc/fishing_area_buildings_and_decos.sc,ghost_chicken,4600,TapChicken,1,1,Voucher2,1,fishing,,Halloween,,,,5,0
