Event,GoodReward,GoodAmount,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,Group16,Group17,Group18,Group19,Group20,Group21,Group22,Group23,Group24,Group25,Group26,Group27
String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
Event_01,Dynamite,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Event_02,Demolition Charge,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Event_03,Axe,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Event_04,Saw,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Event_05,Shovel,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Event_06,Bolt,1,3,3,3,7,7,7,13,13,13,3,3,3,7,7,7,13,13,13,3,3,3,7,7,7,13,13,13
Event_07,Plank,1,7,7,7,13,13,13,3,3,3,7,7,7,13,13,13,3,3,3,7,7,7,13,13,13,3,3,3
Event_08,Duct Tape,1,13,13,13,3,3,3,7,7,7,13,13,13,3,3,3,7,7,7,13,13,13,3,3,3,7,7,7
Event_09,Nail,1,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7
Event_10,Screw,1,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13
Event_11,Wood Panel,1,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3,13,7,3
Event_12,Land Deed,1,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9
Event_13,Mallet,1,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3
Event_14,Marker Stake,1,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5
