Level,ExpToNextLevel,ExportName,GoodReward,GoodAmount,LoadingHintTIDs,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSmelters,MaxBeeHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,LevelThresholds,ThresholdRewardSet,FeatureTID,FeaturePNGURL
String,int,String,String,int,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,String,String
1,27,,,,TID_HINT_GENERAL_HELP,6,24,30,30,,,,,,,,,,,,,,,1,,,,,,,,1,3,2,3,5,,,100,,,600,5,1,1,,,1,1,,,,,,,0,,,
2,7,levelup_01,FreeCash,85,TID_HINT_GENERAL_HELP,6,24,30,30,,,,,,,,,,,,,,,1,,,,,1,,,1,3,2,3,5,,,100,,,604,5,1,1,,,1,1,,,,,,,0,,,
,,,Corn,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,levelup_01,FreeDiamonds,1,TID_HINT_GENERAL_HELP,9,36,30,30,,,,,,,,,,,,,,,1,,,,,1,,,1,3,2,3,5,,,100,,,611,5,1,1,,,1,1,,,,,,,0,,,
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,levelup_01,FreeDiamonds,1,TID_HINT_GENERAL_HELP,9,36,30,30,,,,,,,,,,,,,,,1,,,,,1,,,1,3,2,3,5,1,0,100,10,17,622,10,4,7,200,300,3,3,720,1080,240,1000,,,0,,,
,,,FreeCash,100,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50,levelup_01,Soybean,3,TID_HINT_GENERAL_HELP,12,48,30,30,,,,,,,,,,,,,,,1,,,,,1,,,1,3,2,3,5,2,0,13,12,22,637,12,4,7,200,300,3,3,720,1080,240,1000,,,0,,,
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
