Language,NumberButtons,ButtonTID,ButtonLink
String,int,String,String
CH,3,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://e.weibo.com/hayday365
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
JP,4,TID_FAQ_APPBANK_BUTTON,http://www.appbank.net/2013/10/21/iphone-application/687048.php
,,TID_FAQ_FAMITSU_BUTTON,http://app.famitsu.com/20131024_255695/
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
KR,3,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
DE,4,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
,,TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,https://supercell.helpshift.com/a/hay-day/?p=web&l=de
ES,4,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
,,TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,https://supercell.helpshift.com/a/hay-day/?p=web&l=es
FR,4,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
,,TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,https://supercell.helpshift.com/a/hay-day/?p=web&l=fr
IT,4,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
,,TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,https://supercell.helpshift.com/a/hay-day/?p=web&l=it
Default,4,TID_FAQ_FORUMS_BUTTON,http://forum.supercell.net/forumdisplay.php/5-Hay-Day
,,TID_FAQ_UPDATES_BUTTON,http://www.facebook.com/297050457046195
,,TID_SETTING_FEEDBACK,HUD:IssueTypeHUD
,,TID_PLAYER_SUPPORT_KNOWLEDGE_BASE,https://supercell.helpshift.com/a/hay-day/?p=web
