Name,Enabled,UnlockLevel,ReputationUnlockLevel
String,Boolean,int,int
GameCenter,true,,
FacebookConnect,true,,
ForestDestruction,true,5,
ProcessingBuildingExpand,true,5,
RoadsideShop,true,7,
AppRater,true,10,
MailBox,true,7,
Intro,true,,
OrderScreenOutOfItemDiamondButton,true,,
TreeSwiping,,,
AutoSelectObjectAfterSeeding,true,,
ObjectMoveMode,true,3,
Achievements,true,6,
LowPerformanceMode,,,
RestartPackage,,,
Trees,true,,
FruitTrees,true,,
Boat,true,17,
Mine,true,24,
FruitTreeReviving,true,,
WarningEvents,true,,
ErrorEvents,true,,
Followers,true,,
GrayscaleNewspaper,true,,
SortInventoryByAmount,true,,
RequestFacebookBirthdayAndEmail,,,
RoadsideShopDiamondStands,true,,
AIBuysOneAtATime,true,,
Boy,true,14,
WebViewFaq,,,
BoySortInventoryByAmount,true,,
SiloSortInventoryByAmount,true,,
ShowBoyAtFriendFarms,,,
SpinWheelCar,true,8,
SDKTapjoy,,,
SDKAdcolony,true,,
SDKFiksu,,,
SDKInMobi,,,
SDKMobileAppTracker,true,,
FacebookLike,true,,
GameCenterChallenge,true,,
SendClientCapabilitiesMessage,,,
HideAchievementProgressBarWhenFinished,true,,
Vouchers,true,20,
Expansions,true,22,
ShowAddFriendsScreenIfNoFriends,,,
SocialBoat,true,,
DecoStorage,true,,
ChangeFarmExtraConfirmation,true,,
FriendMetaQuery,true,,
FriendNeedHelpTab,true,,
FriendNeedHelpBadge,true,,
TimeLimitedOffers,true,8,
BuildingMasteries,true,15,
AdColonyVideoAds,true,,
AdColonyVideoAdsForAndroid,true,,
VungleVideoAds,true,,
VungleVideoAdsForAndroid,,,
LockedItemsInFan,true,,
ToolOffers,true,,
CampaignTimeLimitedOffers,false,8,
BoatLeaderboard,true,17,
BoatScoreBeatenByFriendIndication,true,,
Disclaimer,true,,
BoyOffer,true,,
SpinWheelTiers,,,
Postman,true,15,
Gifting,true,15,
Helpers,true,,
FishingBoat,true,27,
EventBoard,true,9,
MassGifting,true,,
DoubleTapDiamondConfirmation,false,,
RemoveFollowers,true,,
NetFishing,true,30,
LobsterFishing,true,44,
BlockKhmerText,true,,
GlobalEvents,true,,
LoadingScreenHalloween,true,,
MobileTIDsEnabled,true,,
Themes,true,,
GoogleServiceReauthorize,true,,
GoogleServiceAchievements,true,,
FacebookOpenGraph,false,,
AllowTextFieldStringParameters,true,,
DoubleTapDiamondConfirmationWithoutFloaterText,false,,
DoubleTapDiamondConfirmationWithoutFlag,true,,
DoubleTapDiamondConfirmationWithDiamondAbsorb,false,,
LongHoldDiamondConfirmation,false,,
ResourcesLazyLoading,true,,
ReleaseResourcesOnMemoryWarning,,,
AndroidGoogleLoginPopup,true,,
KeepFarmAssetsInMemoryInFishingModeHighMemDevice,,,
KeepFarmAssetsInMemoryInFishingModeLowMemDevice,,,
LazyLoadSounds,true,,
MemoryWarningEvents,true,,
FacebookLoginWarning,true,,
Neighborhood,true,18,
NeighborhoodChat,true,,
NeighborhoodChatDisableMaskFromEmptyInputField,true,,
DisableGameInputWhenTextBoxVisible,true,,
DynamicPromo,true,,
NeighborhoodInviteFriends,true,,
NeighborhoodInfoWhenVisiting,true,,
NeighborhoodInviteFollowers,,,
Train,true,34,
TrainTownHall,true,,2
SDKFacebookActivate,false,,
NeighborhoodEventBoard,false,34,
PersonalTrain,true,,4
TrainExpansions,true,,3
PassengerSendAway,true,,3
PickupAIPassengers,true,34,
AutomaticGoogleLoginFirstTime,true,,
Helpshift,true,,
DisableHelpshiftContactUsFromNonPaying,true,,
DisableHelpshiftLowMemoryDevice,,,
ManualTimeLimitedOffers,true,6,
ForumsButton,true,,
UsePaidBeforeFree,true,,
RememberNewspaperPage,true,,
IOSSupportEndingPopup,true,,
AccurateShapeCollision,true,,
DuckCatching,true,50,
TownRequestBoard,true,34,
AvatarData,true,,
SendUnbindWhenDisconnectingSocialMedia,,,
NeighborhoodEvents,true,,
NeighborhoodDerby,true,18,
FacebookRenewSystemCredentials,true,,
NeighborhoodDerbyTaskLog,true,18,
ShowChatWhenVisitingNeighborhoodFriend,false,,
NoticeDialogToSPrivacy,true,,
GooglePlayDeveloperPayload,true,,
UseRTTInLayoutThumbnails,true,,
EditMode,true,25,
TempShopObject,false,,
TempStorageObject,true,,
ShowChatEverywhere,true,,
TutorialShowFBLoginUntilLvl,true,,
AutoSelectObjectAfterPainting,true,,
EditModeButton,true,24,
NeighborhoodRequests,true,19,
AllowDonatingWithDiamonds,true,,
FarmHelpers,true,33,
Lumberjack,true,25,
HelperVideoAds,true,,
StarterPackOffers,true,7,
EventCheck,true,,
HelpshiftChat,false,,
Boosters,true,35,
BoostersButton,true,34,
SpecialExpansions,true,25,
Sanctuary,true,,
