Name,FileName,ExportName,ToolIconExportName,Value,UnlockLevel,Harvest,TimeMin,TimeSec,OrderPrice,OrderExp,ExpCollect,InstantFertilize,Price,OrderValue,BoatOrderValue,InstantComplete,DumbValue,TID,DiamondPrice,TileWidth,TileHeight,BuySound,TapSound,Difficulty
String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,int,int,int,String,String,int
EmptyField,sc/nature_new.sc,field_empty,tool_harvest,,,,,,,,,,1,,,,,TID_EMPTY_FIELD,,1,1,Buy,CropSeed,
Wheat,sc/nature_new.sc,crop_wheat,tool_plant_wheat,50,1,2,2,,2,1,1,2,,1,1,1,1,TID_WHEAT,1,1,1,CropSeed,CropSeed,2
Corn,sc/nature_new.sc,crop_corn,tool_plant_corn,95,2,2,5,,2,2,1,4,,1,1,1,2,TID_CORN,1,1,1,CropSeed,CropSeed,2
Soybean,sc/nature_new.sc,crop_soybeans,tool_plant_soybeans,251,5,2,20,,5,3,2,9,,2,2,2,3,TID_SOY_BEAN,2,1,1,CropSeed,CropSeed,4
Sugarcane,sc/nature_new.sc,crop_sugarcane,tool_plant_sugarcane,166,7,2,30,,6,4,3,11,,3,3,3,4,TID_SUGAR_CANE,3,1,1,CropSeed,CropSeed,6
Carrot,sc/nature_new.sc,crop_carrots,tool_plant_carrots,132,9,2,10,,3,3,2,6,,2,2,2,2,TID_CARROT,2,1,1,CropSeed,CropSeed,4
Indigo,sc/nature_new.sc,crop_indigo,tool_plant_indigo,896,13,2,120,,10,8,5,25,,5,5,5,7,TID_INDIGO,5,1,1,CropSeed,CropSeed,10
Pumpkin,sc/nature_new.sc,crop_pumpkins,tool_plant_pumpkins,514,15,2,180,,12,9,6,32,,6,6,6,9,TID_PUMPKIN,6,1,1,CropSeed,CropSeed,12
Chili,sc/nature_new.sc,crop_chili,tool_plant_chili,679,25,2,240,,14,11,7,38,,7,7,7,10,TID_CHILI,7,1,1,CropSeed,CropSeed,14
Tomato,sc/nature_new.sc,crop_tomatoes,tool_plant_tomatoes,679,30,2,360,,17,13,8,49,,8,8,8,12,TID_TOMATO,8,1,1,CropSeed,CropSeed,16
Strawberry,sc/nature_new.sc,crop_strawberries,tool_plant_strawberries,679,34,2,480,,19,14,10,50,,10,10,10,14,TID_STRAWBERRY,10,1,1,CropSeed,CropSeed,20
Potato,sc/nature_new.sc,crop_potatoes,tool_plant_potatoes,679,35,2,220,,14,10,7,32,,7,7,7,10,TID_POTATO,7,1,1,CropSeed,CropSeed,14
Rice,sc/nature_new.sc,crop_rice,tool_plant_rice,679,56,2,45,,7,5,3,13,,3,3,3,5,TID_CROP_RICE,3,1,1,CropSeed,CropSeed,6
Lettuce,sc/nature_new.sc,crop_lettuce,tool_plant_lettuce,679,58,2,210,,13,10,7,30,,7,7,7,9,TID_CROP_LETTUCE,7,1,1,CropSeed,CropSeed,14
Cotton,sc/nature_new.sc,crop_cotton,tool_plant_cotton,679,18,2,150,,11,9,6,30,,6,6,6,8,TID_CROP_COTTON,7,1,1,CropSeed,CropSeed,12
Onion,sc/nature_new.sc,crop_onion,tool_plant_onion,679,68,2,300,,16,12,8,45,,8,8,8,11,TID_CROP_ONION,8,1,1,CropSeed,CropSeed,16
TeaLeaves,sc/nature_new.sc,crop_tea,tool_plant_tea,679,80,2,390,,18,13,9,49,,9,9,9,12,TID_CROP_TEALEAVES,9,1,1,CropSeed,CropSeed,18
Grapes,sc/nature_new.sc,crop_grape,tool_plant_grape,679,84,2,180,,12,9,6,32,,6,6,6,9,TID_CROP_GRAPES,6,1,1,CropSeed,CropSeed,12
