Name,IntValue,StringValue,BooleanValue
String,int,String,boolean
FishFilename,,sc/fishes.sc,
FishExportName,,fish_silhouette,
FishIdleFrameLabel,,FishIdle,
FishHideFrameLabel,,FishIdle,
FishCaughtFrameLabel,,FishSwimFast,
FishSurpriseFrameLabel,,FishSwimFast,
FishAttractFrameLabel,,FishSwimNormal,
FishAttractDifficulty,65,,
FishIdleDistractProbability,4,,
FishMoveSurpriseSpeedMax,90,,
FishMoveSurpriseSpeedMin,80,,
FishMoveIdleSpeedMax,10,,
FishMoveIdleSpeedMin,3,,
FishMoveAttractSpeedMax,35,,
FishMoveAttractSpeedMin,20,,
FishSurpriseByBaitTimerMS,400,,
FishSurpriseBySuddenMovementTimerMS,300,,
FishSurpriseBySuddenMovementThreshold,40,,
BackgroundExportNameEdgeEast,,east_riverbank,
BackgroundExportNameEdgeNorth,,north_riverbank,
BackgroundExportNameEdgeSouth,,small_island,
BackgroundExportNameEdgeWest,,west_riverbank,
BuoyFilename,,sc/fishing_icons.sc,
BuoyExportName,,fishing_buoy,
BuoyLinearDampening,95,,
BuoyStopVelocity,5,,
FishBiteCountBeforeCaught,2,,
FishingScalePercentageTablet,80,,
FishingScalePercentageMobile,50,,
FishingCircleRadiusStarting,500,,
FishingRodAccelerationDistMin,200,,
FishingRodAccelerationDistMax,300,,
FishingRodAccelerationMax,900,,
BackgroundColor,,FF4C919F,
RandomFishJumpMinTimeMS,1800,,
RandomFishJumpMaxTimeMS,2500,,
DefaultTutorial,,Step75: Fishing 101,
ChanceToEscapeDueToShortFishingLine,-50,,
