Name,FileName,ExportName,ExportNameOld,AssetPrefix,TID,DescriptionTID,FavouriteBait,FavouriteBait2,HabitatExportName,HabitatOldExportName,PhotoAngle,BaseProbability,MainColour,SubColour,Shape,AnimationExportNamePrefix,Special,WeightMin,WeightMax,StruggleSpeedMin,StruggleSpeedMax,RodPullStrengthPercentage,SwimAgainstPercentage,CircleRadiusCatch,CircleCatchDurationMS,CatchRewardDiamonds,CatchRewardXP,EventFish
String,String,String,String,String,String,String,String,String,String,String,int,int,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,Boolean
Fish_1,sc/scrapbook.sc,fish_normal_photo_new_red_copperhorse,fish_normal_photo_old_red_copperhorse,fish_normal_01,TID_FISH_1,TID_FISH_1_DESCRIPTION,BaitRed,BaitRed,shallow_area2_new,shallow_area2_old,2,30,Red,Red,Normal,fish_normal_,,2,4,20,30,40,30,100,5000,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_7,sc/scrapbook.sc,fish_normal_photo_new_roach,fish_normal_photo_old_roach,fish_normal_07,TID_FISH_7,TID_FISH_7_DESCRIPTION,BaitGreen,BaitGreen,shallow_area2_new,shallow_area2_old,4,24,Green,Green,Normal,fish_normal_,,2,4,20,30,40,30,100,5000,1,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_6,sc/scrapbook.sc,fish_fat_photo_new_coho_salmon,fish_fat_photo_old_coho_salmon,fish_fat_06,TID_FISH_6,TID_FISH_6_DESCRIPTION,BaitGreen,BaitPurple,reed_area1_new,reed_area1_old,-6,20,Green,Purple,Fat,fish_fat_,Flowers,3,5,25,35,5,45,50,10000,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_10,sc/scrapbook.sc,fish_normal_photo_new_yellow_perch,fish_normal_photo_old_yellow_perch,fish_normal_10,TID_FISH_10,TID_FISH_10_DESCRIPTION,BaitGreen,BaitGold,shallow_area1_new,shallow_area1_old,-4,18,Green,Gold,Normal,fish_normal_,,2,4,20,30,40,30,100,5000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_13,sc/scrapbook.sc,fish_normal_photo_new_fallfish,fish_normal_photo_old_fallfish,fish_normal_13,TID_FISH_13,TID_FISH_13_DESCRIPTION,BaitBlue,BaitBlue,shallow_area1_new,shallow_area1_old,-5,18,Blue,Blue,Normal,fish_normal_,,2,4,20,30,40,30,75,7500,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_14,sc/scrapbook.sc,fish_slim_photo_new_salmon,fish_slim_photo_old_salmon,fish_slim_14,TID_FISH_14,TID_FISH_14_DESCRIPTION,BaitBlue,BaitPurple,rocky_area2_new,rocky_area2_old,-3,16,Blue,Purple,Slim,fish_slim_,Stream,1,3,50,60,70,30,50,10000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_36,sc/scrapbook.sc,fish_fat_photo_new_bluegill,fish_fat_photo_old_bluegill,fish_fat_36,TID_FISH_36,TID_FISH_36_DESCRIPTION,BaitBlue,BaitGold,reed_area1_new,reed_area1_old,2,14,Blue,Gold,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_17,sc/scrapbook.sc,fish_slim_photo_new_australian_rainbowfish,fish_slim_photo_old_australian_rainbowfish,fish_slim_17,TID_FISH_17,TID_FISH_17_DESCRIPTION,BaitPurple,BaitGreen,rocky_area1_new,rocky_area1_old,8,16,Purple,Green,Slim,fish_slim_,,1,3,40,50,40,30,75,7500,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_3,sc/scrapbook.sc,fish_fat_photo_new_bluespotted_sunfish,fish_fat_photo_old_bluespotted_sunfish,fish_fat_03,TID_FISH_3,TID_FISH_3_DESCRIPTION,BaitPurple,BaitBlue,reed_area2_new,reed_area2_old,-5,14,Purple,Blue,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_19,sc/scrapbook.sc,fish_normal_photo_new_bitterling,fish_normal_photo_old_bitterling,fish_normal_19,TID_FISH_19,TID_FISH_19_DESCRIPTION,BaitPurple,BaitPurple,deep_area2_new,deep_area2_old,-1,12,Purple,Purple,Normal,fish_normal_,Boat,2,4,10,60,20,30,50,10000,1,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
