Name,ExportName,IsFruit,DeadExportName,FileName,TileWidth,TileHeight,TimeMin,FruitCount,ExpClear,InstantComplete,Tool,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,Price,CollectIconExportName,ShopIconExportName,BirdCanLand,FBHelpTitle,FBHelpText,FBHelpDescription,FBPictureURL
String,String,boolean,String,String,int,int,int,int,int,int,String,String,String,String,String,String,int,String,String,boolean,String,String,String,String
AppleTree,apple_tree_stage_1,TRUE,apple_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,960,2,5,13,Saw,TID_APPLE_TREE,TID_APPLE_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,160,tool_collect_eggs,shop_icon_apple_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_APPLE_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_apple.png
,apple_tree_stage_2,,,,,,960,3,,13,,,,,,,,,,,,,,
,apple_tree_stage_3,,,,,,960,4,,13,,,,,,,,,,,,,,
CherryTree,cherry_tree_stage_1,TRUE,cherry_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1680,2,5,17,Saw,TID_CHERRY_TREE,TID_CHERRY_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,410,tool_collect_eggs,shop_icon_cherry_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_CHERRY_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_cherry.png
,cherry_tree_stage_2,,,,,,1680,3,,17,,,,,,,,,,,,,,
,cherry_tree_stage_3,,,,,,1680,4,,17,,,,,,,,,,,,,,
RaspberryBush,raspberry_bush_stage_1,,raspberry_bush_stage_4,sc/fruit_trees_berrybushes.sc,1,2,1080,2,4,14,Axe,TID_RASPBERRY_BUSH,TID_RASPBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,220,tool_collect_eggs,shop_icon_raspberry_bush,,TID_FRUIT_TREE_FB_HELP_TITLE,TID_RASPBERRY_BUSH_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_raspberry.png
,raspberry_bush_stage_2,,,,,,1080,3,,14,,,,,,,,,,,,,,
,raspberry_bush_stage_3,,,,,,1080,4,,14,,,,,,,,,,,,,,
