Name,Type,FileName,ExportName,GiftIconExportName,GoodRewards,GoodIconSlotExportName,GoodAmounts,Probabilities,GiftCardPrice,TileWidth,TileHeight,OpenSound,TitleTID,TextTID,Text2TID,Text3TID,OpenGiftMessageTID,UnlockLevel,RepUnlockLevel,WalkGiftAnim,RewardHUDExportName
String,String,String,String,String,String,String,int,int,int,int,int,String,String,String,String,String,String,int,int,String,String
SmallPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_01,FreeDiamonds,Prize2,5,45,10,1,1,TreasureBox,TID_GIFT_S_TITLE,TID_GIFT_S_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,post_package_claim
,,,,,Cello,Prize1,1,68,,,,,,,,,,,,,
,,,,,Axe,,2,23,,,,,,,,,,,,,
,,,,,Saw,,2,23,,,,,,,,,,,,,
,,,,,Shovel,,2,23,,,,,,,,,,,,,
,,,,,Dynamite,,2,23,,,,,,,,,,,,,
,,,,,Demolition Charge,,2,23,,,,,,,,,,,,,
,,,,,Pickaxe,,2,23,,,,,,,,,,,,,
,,,,,Plank,,1,18,,,,,,,,,,,,,
,,,,,Nail,,1,18,,,,,,,,,,,,,
,,,,,Bolt,,1,18,,,,,,,,,,,,,
,,,,,Screw,,1,18,,,,,,,,,,,,,
,,,,,Duct Tape,,1,18,,,,,,,,,,,,,
,,,,,Wood Panel,,1,18,,,,,,,,,,,,,
,,,,,Land Deed,,1,18,,,,,,,,,,,,,
,,,,,Mallet,,1,18,,,,,,,,,,,,,
,,,,,Marker Stake,,1,18,,,,,,,,,,,,,
,,,,,Hammer,,1,5,,,,,,,,,,,,,
,,,,,Hand Drill,,1,5,,,,,,,,,,,,,
,,,,,Paint Bucket,,1,5,,,,,,,,,,,,,
,,,,,Stone Block,,1,5,,,,,,,,,,,,,
,,,,,Brick,,1,5,,,,,,,,,,,,,
,,,,,Tar Bucket,,1,5,,,,,,,,,,,,,
,,,,,Map Piece,,1,5,,,,,,,,,,,,,
,,,,,Voucher1,,1,18,,,,,,,,,,,,,
,,,,,Voucher2,,1,18,,,,,,,,,,,,,
,,,,,Voucher3,,1,18,,,,,,,,,,,,,
,,,,,Voucher4,,1,18,,,,,,,,,,,,,
,,,,,Brown_Sugar,,3,5,,,,,,,,,,,,,
,,,,,White Sugar,,3,5,,,,,,,,,,,,,
,,,,,Syrup,,3,5,,,,,,,,,,,,,
,,,,,Chocolate,,3,5,,,,,,,,,,,,,
,,,,,Lollipop,,3,5,,,,,,,,,,,,,
,,,,,Jelly Beans,,3,5,,,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,3,5,,,,,,,,,,,,,
,,,,,Cherry Popsicle,,3,5,,,,,,,,,,,,,
,,,,,Strawberry Ice Cream,,3,5,,,,,,,,,,,,,
,,,,,Chocolate Ice Cream,,3,5,,,,,,,,,,,,,
,,,,,Apple Jam,,3,5,,,,,,,,,,,,,
,,,,,Raspberry Jam,,3,5,,,,,,,,,,,,,
,,,,,Blackberry Jam,,3,5,,,,,,,,,,,,,
,,,,,Cherry Jam,,3,5,,,,,,,,,,,,,
,,,,,Strawberry Jam,,3,5,,,,,,,,,,,,,
,,,,,FasterBoats_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterCrops1_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterCrops2_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterCrops3_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterCrops4_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterTom_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterBuildings1_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterBuildings2_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterBuildings3_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterBuildings4_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterTrees_lv1,,1,2,,,,,,,,,,,,,
,,,,,FasterBushes_lv1,,1,2,,,,,,,,,,,,,
,,,,,FreeTom_lv1,,1,2,,,,,,,,,,,,,
,,,,,FreeRose_lv1,,1,2,,,,,,,,,,,,,
,,,,,FreeErnest_lv1,,1,2,,,,,,,,,,,,,
,,,,,EasierBoats_lv1,,1,2,,,,,,,,,,,,,
MediumPresent,Common,sc/buildings_new.sc,post_package,icon_gift_box_02,FreeDiamonds,Prize2,10,45,20,1,1,TreasureBox,TID_GIFT_M_TITLE,TID_GIFT_M_TEXT,TID_GIFT_OR,TID_GIFT_OR,TID_OPEN_CATALOGUE_GIFT_MESSAGE,,,WalkGift,post_package_claim
,,,,,Tuba,Prize1,1,68,,,,,,,,,,,,,
,,,,,Axe,,4,23,,,,,,,,,,,,,
,,,,,Saw,,4,23,,,,,,,,,,,,,
,,,,,Shovel,,4,23,,,,,,,,,,,,,
,,,,,Dynamite,,4,23,,,,,,,,,,,,,
,,,,,Demolition Charge,,4,23,,,,,,,,,,,,,
,,,,,Pickaxe,,4,23,,,,,,,,,,,,,
,,,,,Plank,,2,18,,,,,,,,,,,,,
,,,,,Nail,,2,18,,,,,,,,,,,,,
,,,,,Bolt,,2,18,,,,,,,,,,,,,
,,,,,Screw,,2,18,,,,,,,,,,,,,
,,,,,Duct Tape,,2,18,,,,,,,,,,,,,
,,,,,Wood Panel,,2,18,,,,,,,,,,,,,
,,,,,Land Deed,,2,18,,,,,,,,,,,,,
,,,,,Mallet,,2,18,,,,,,,,,,,,,
,,,,,Marker Stake,,2,18,,,,,,,,,,,,,
,,,,,Hammer,,2,5,,,,,,,,,,,,,
,,,,,Hand Drill,,2,5,,,,,,,,,,,,,
,,,,,Paint Bucket,,2,5,,,,,,,,,,,,,
,,,,,Stone Block,,2,5,,,,,,,,,,,,,
,,,,,Brick,,2,5,,,,,,,,,,,,,
,,,,,Tar Bucket,,2,5,,,,,,,,,,,,,
,,,,,Map Piece,,1,5,,,,,,,,,,,,,
,,,,,Voucher1,,2,18,,,,,,,,,,,,,
,,,,,Voucher2,,2,18,,,,,,,,,,,,,
,,,,,Voucher3,,2,18,,,,,,,,,,,,,
,,,,,Voucher4,,2,18,,,,,,,,,,,,,
,,,,,Brown_Sugar,,6,5,,,,,,,,,,,,,
,,,,,White Sugar,,6,5,,,,,,,,,,,,,
,,,,,Syrup,,6,5,,,,,,,,,,,,,
,,,,,Chocolate,,6,5,,,,,,,,,,,,,
,,,,,Lollipop,,6,5,,,,,,,,,,,,,
,,,,,Jelly Beans,,6,5,,,,,,,,,,,,,
,,,,,Vanilla Ice Cream,,6,5,,,,,,,,,,,,,
,,,,,Cherry Popsicle,,6,5,,,,,,,,,,,,,
