TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,107,107,107,107,1007,1007,1007,1007,1009,1007,1007,1007,1107,1107,1107,2607,2607,2607,2607,2609,2607,2607,2607,2707,2709,2708,2707,2707,2707,2708,2809,2807,2807,2807,2808,2809,3007,3008,5807,5807,5807,5807,5807,5807,6407,6407,6407,6407,6407,6407,6407,6407
,0,,5,,,,,,,,,6,,,,,,,,,,,6,,,,5,,,,,,107,107,107,107,107,1007,1007,1007,1007,1009,1007,1007,1007,1107,1107,1107,2609,2607,2608,2608,2607,2607,2608,2607,2707,2707,2707,2709,2708,2707,2707,2807,2808,2807,2809,2808,2807,3008,3007,5807,5807,5807,5807,5807,5807,6407,6407,6407,6407,6407,6407,6407,6407
,0,,,,,,,,,,,,,,,,6,,,,,,,6,,,,,5,,,,107,109,107,107,108,1008,1009,1008,1007,1008,1007,1007,1007,1107,1109,1107,2607,2607,2607,2607,2607,2607,2607,2607,2709,2707,2707,2707,2707,2707,2709,2807,2809,2807,2807,2807,2808,3007,3007,5807,5807,5807,5807,5807,5807,6407,6407,6407,6407,6407,6407,6407,6407
,0,5,,,,,,,,,,,,,5,,,,5,,,,,,,5,,,,,,,107,107,109,107,107,1007,1007,1007,1009,1007,1007,1007,1007,1107,1107,1107,2607,2607,2607,2607,2607,2607,2609,2607,2707,2708,2709,2707,2709,2708,2707,2808,2807,2808,2807,2809,2807,3007,3009,5807,5807,5807,5807,5807,5807,6407,6407,6407,6407,6407,6407,6407,6407
,0,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,6,,107,107,107,107,108,1008,1007,1007,1007,1009,1007,1007,1007,1107,1107,1109,2607,2607,2607,1807,1807,1809,1807,1807,2707,2709,2707,2707,2707,2707,2707,2807,2807,2807,2807,2808,2807,3007,3007,5807,5807,5807,5807,5807,5807,6507,6507,6507,6507,6507,6507,6507,6507
,0,,5,,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,6,207,207,207,207,207,207,207,1107,1107,1107,1107,1109,1107,1107,1107,1107,2607,2607,2607,1807,1807,1807,1807,1809,2707,2707,2707,2708,2909,2907,2907,2907,2907,3007,3008,3007,3008,3007,3008,5807,5807,5807,5807,5807,5807,6507,6507,6507,6507,6507,6507,6507,6507
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,208,207,207,207,207,207,207,1107,1107,1107,1107,1109,1107,1107,1107,1107,2607,2607,2607,1807,1809,1807,1807,1807,2708,2707,2707,2707,2907,2907,2909,2908,2907,3008,3009,3007,3007,3007,3007,5907,5907,5907,5907,5907,5907,5907,5907,6507,6507,6507,6507,6507,6507
,0,,,,,,,,6,,,,,,,5,,,,6,,,,,,6,,,,,6,,207,207,207,207,207,207,207,1107,1107,1108,1107,1107,1107,1108,1107,1107,1907,1907,1907,1907,1908,1807,1807,1807,2707,2708,2709,2707,2907,2907,2908,2907,2909,3007,3007,3008,3009,3007,3008,5907,5907,5907,5907,5907,5907,5907,5907,6507,6507,6507,6507,6507,6507
,0,,,5,,,,,,,,6,,,,,,,,,,,,5,,,,,,,,,309,307,307,307,207,207,207,1108,1107,1107,1207,1207,1209,1207,1207,1207,1909,1907,1907,1907,1908,1807,1807,1807,2707,2707,2707,2708,2908,2907,2907,2907,2907,3007,3007,3007,3007,3009,3007,5907,5907,5907,5907,5907,5907,5907,5907,6607,6607,6607,6607,6607,6607
