"Name","ToolIconExportName","BonusIconExportName","BonusTID","TID","DescriptionTID","DiamondPrice"
"String","String","String","String","String","String","int"
"Cash","icon_coin_big",,,"TID_CASH","TID_CASH_DESCRIPTION",
"Diamonds","icon_diamond_big",,,"TID_DIAMONDS","TID_DIAMONDS_DESCRIPTION",
"ExpLevel","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpPoints","icon_xp_star",,,"TID_NONE","TID_NONE",
"FBScore","tool_collect_milk",,,"TID_NONE","TID_NONE",
"Love","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SiloRank","tool_collect_milk",,,"TID_NONE","TID_NONE",
"WarehouseRank","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopStandCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CounterFieldCollect","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CounterAnimalCollect","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CounterProcessingBuildingCollect","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CounterForestCollect","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PlayerGender","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PlayerAge","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FreeDiamonds","icon_diamond_big",,,"TID_DIAMONDS","TID_DIAMONDS_DESCRIPTION",
"ShowMysteryBoxAtFriend","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AIRoadsideShopBits","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastVisitDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SecondsSinceLastOpenBoxAtFriend","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AppRateState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FriendMysteryBoxState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CarOrderCompleteCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MoneySpentOnDecorations","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopSoldGoodsValue","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PeopleOrderCompleteCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"GregVisited","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopStandCountFromFriendGate","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AdsPlacedToNewspaperCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BuildingsConstructedCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AdvertisementDiamondPurchases","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BoatOrderCompleteCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BoatCrateCompleteCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FacebookLoginRewardGiven","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TotalDiamondsPurchased","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TotalCashPurchased","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CoinsEarnedFromBoatOrders","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ConsecutiveBoatOrdersCompleted","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FruitsPicked","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BerriesPicked","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FruitTreesRevived","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NumCompletedOrdersToday","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastOrderDoneDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MostOrdersInDay","tool_collect_milk",,,"TID_STAT_MOST_OFFERS_IN_DAY_NAME","TID_NONE",
"NumVisitorsToday","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastVisitorDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MostVisitorsInDay","tool_collect_milk",,,"TID_STAT_MOST_VISITORS_IN_DAY_NAME","TID_NONE",
"LastProfitDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ProfitToday","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BiggestProfit","tool_collect_milk",,,"TID_STAT_BIGGEST_PROFIT_NAME","TID_NONE",
"TotalFollowers","tool_collect_milk",,,"TID_STAT_FOLLOWERS","TID_NONE",
