Name,FileName,ExportName,UnlockLevel,ReputationUnlockLevel,GoodReward,GoodAmount,Probability,DiamondPrice,RandomNumberMax,TileWidth,TileHeight,OpenSound,LockedSound,Mode
String,String,String,int,int,String,int,int,int,int,int,int,String,String,String
Box1,sc/buildings_new.sc,mystery_box_01,1,,FreeDiamonds,5,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box2,sc/buildings_new.sc,mystery_box_01,6,,Demolition Charge,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box3,sc/buildings_new.sc,mystery_box_01,6,,Axe,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box4,sc/buildings_new.sc,mystery_box_01,6,,Saw,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box5,sc/buildings_new.sc,mystery_box_01,6,,Shovel,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box6,sc/buildings_new.sc,mystery_box_01,1,,Bolt,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box7,sc/buildings_new.sc,mystery_box_01,1,,Plank,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box8,sc/buildings_new.sc,mystery_box_01,1,,Duct Tape,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box9,sc/buildings_new.sc,mystery_box_01,1,,Nail,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box10,sc/buildings_new.sc,mystery_box_01,1,,Screw,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box11,sc/buildings_new.sc,mystery_box_01,1,,Wood Panel,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box12,sc/buildings_new.sc,mystery_box_01,1,,CashInGems,8,200,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box13,sc/buildings_new.sc,mystery_box_01,20,,Voucher,1,150,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box14,sc/buildings_new.sc,mystery_box_01,34,,Pickaxe,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box15,sc/buildings_new.sc,mystery_box_01,6,,Dynamite,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
TownCrate1,sc/common.sc,mystery_crate_01,,3,FreeDiamonds,8,10,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate2,sc/common.sc,mystery_crate_01,,3,Demolition Charge,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate3,sc/common.sc,mystery_crate_01,,3,Dynamite,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate4,sc/common.sc,mystery_crate_01,,3,Axe,1,200,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate5,sc/common.sc,mystery_crate_01,,3,Saw,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate6,sc/common.sc,mystery_crate_01,,3,Shovel,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate7,sc/common.sc,mystery_crate_01,,3,Pickaxe,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate8,sc/common.sc,mystery_crate_01,,3,Bolt,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate9,sc/common.sc,mystery_crate_01,,3,Plank,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate10,sc/common.sc,mystery_crate_01,,3,Duct Tape,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate11,sc/common.sc,mystery_crate_01,,3,Nail,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate12,sc/common.sc,mystery_crate_01,,3,Screw,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate13,sc/common.sc,mystery_crate_01,,3,Wood Panel,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate14,sc/common.sc,mystery_crate_01,,3,Voucher,1,50,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate15,sc/common.sc,mystery_crate_01,,3,Hammer,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate16,sc/common.sc,mystery_crate_01,,3,Hand Drill,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate17,sc/common.sc,mystery_crate_01,,3,Paint Bucket,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate18,sc/common.sc,mystery_crate_01,,3,Stone Block,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate19,sc/common.sc,mystery_crate_01,,3,Brick,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate20,sc/common.sc,mystery_crate_01,,3,Tar Bucket,1,20,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate21_maps,sc/common.sc,mystery_crate_01,,3,Map Piece,1,10,5,16,2,2,TreasureBox,TreasureBoxLocked,train
Box16,sc/buildings_new.sc,mystery_box_01,35,,FasterBoats_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box17,sc/buildings_new.sc,mystery_box_01,35,,FasterCrops1_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box18,sc/buildings_new.sc,mystery_box_01,35,,FasterCrops2_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box19,sc/buildings_new.sc,mystery_box_01,35,,FasterCrops3_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box20,sc/buildings_new.sc,mystery_box_01,35,,FasterCrops4_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box21,sc/buildings_new.sc,mystery_box_01,35,,FasterTom_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box22,sc/buildings_new.sc,mystery_box_01,35,,FasterBuildings1_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box23,sc/buildings_new.sc,mystery_box_01,35,,FasterBuildings2_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box24,sc/buildings_new.sc,mystery_box_01,35,,FasterBuildings3_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
