Name,Type,FileName,ExportName
String,String,String,String
Background1,Background,sc/hud.sc,emblem_bg_01
Background2,Background,sc/hud.sc,emblem_bg_02
Background3,Background,sc/hud.sc,emblem_bg_03
Background4,Background,sc/hud.sc,emblem_bg_04
Pattern1,Pattern,sc/hud.sc,emblem_pattern_00
Pattern2,Pattern,sc/hud.sc,emblem_pattern_01
Pattern3,Pattern,sc/hud.sc,emblem_pattern_02
Pattern4,Pattern,sc/hud.sc,emblem_pattern_03
Symbol1,Symbol,sc/hud.sc,emblem_symbol_01
Symbol2,Symbol,sc/hud.sc,emblem_symbol_02
Symbol3,Symbol,sc/hud.sc,emblem_symbol_03
Symbol4,Symbol,sc/hud.sc,emblem_symbol_04
Symbol5,Symbol,sc/hud.sc,emblem_symbol_05
Symbol6,Symbol,sc/hud.sc,emblem_symbol_06
Symbol7,Symbol,sc/hud.sc,emblem_symbol_07
Symbol8,Symbol,sc/hud.sc,emblem_symbol_08
Symbol9,Symbol,sc/hud.sc,emblem_symbol_09
Symbol10,Symbol,sc/hud.sc,emblem_symbol_10
Symbol11,Symbol,sc/hud.sc,emblem_symbol_11
Symbol12,Symbol,sc/hud.sc,emblem_symbol_12
Symbol13,Symbol,sc/hud.sc,emblem_symbol_13
Symbol14,Symbol,sc/hud.sc,emblem_symbol_14
Symbol15,Symbol,sc/hud.sc,emblem_symbol_15
Symbol16,Symbol,sc/hud.sc,emblem_symbol_16
Symbol17,Symbol,sc/hud.sc,emblem_symbol_17
Symbol18,Symbol,sc/hud.sc,emblem_symbol_18
Symbol19,Symbol,sc/hud.sc,emblem_symbol_19
Symbol20,Symbol,sc/hud.sc,emblem_symbol_20
