Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown
String,String,String,String,String,String,String,String,int,int,boolean,int,int,int,int,int,int,int,String,String,String,int,int,int,int,int,int,int
HarvestCropEasyWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,77,161,,18,8,32,13,8,0,0,Wheat,,,50,90,158,166,1800,1800,5
HarvestCropEasyCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,61,121,,18,8,32,13,8,0,0,Corn,,,50,90,170,180,1800,1800,5
HarvestCropEasySoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,47,87,,18,8,32,13,8,0,0,Soybean,,,50,90,190,230,1800,1800,5
HarvestCropEasySugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,44,80,,18,8,32,13,8,0,0,Sugarcane,,,50,90,210,270,1800,1800,5
HarvestCropEasyCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,53,101,,18,8,32,13,8,0,0,Carrot,,,50,90,190,210,1800,1800,5
HarvestCropEasyIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,39,66,,18,8,32,13,8,0,0,Indigo,,,50,90,390,630,1800,1800,5
HarvestCropEasyPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,38,64,,18,8,32,13,8,0,0,Pumpkin,,,50,90,510,870,1800,1800,5
HarvestCropEasyCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,38,65,,18,8,32,13,8,0,0,Cotton,,,50,90,450,750,1800,1800,5
HarvestCropEasyChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,37,62,,25,8,32,13,8,0,0,Chili,,,50,90,630,1110,1800,1800,5
HarvestCropEasyTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,36,60,,30,8,32,13,8,0,0,Tomato,,,50,90,870,1590,1800,1800,5
HarvestCropEasyStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,36,59,,34,8,32,13,8,0,0,Strawberry,,,50,90,1110,2070,1800,1800,5
HarvestCropEasyPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,37,63,,35,8,32,13,8,0,0,Potato,,,50,90,590,1030,1800,1800,5
HarvestCropEasyRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,42,75,,56,8,32,13,8,0,0,Rice,,,50,90,240,330,1800,1800,5
HarvestCropEasyLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,37,63,,58,8,32,13,8,0,0,Lettuce,,,50,90,570,990,1800,1800,5
HarvestCropMediumWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,243,315,,18,7,26,22,20,0,0,Wheat,,,120,190,196,204,1800,1800,5
HarvestCropMediumCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,190,250,,18,7,26,22,20,0,0,Corn,,,120,190,220,220,1800,1800,5
HarvestCropMediumSoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,145,194,,18,7,26,22,20,0,0,Soybean,,,120,190,300,340,1800,1800,5
HarvestCropMediumSugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,137,184,,18,7,26,22,20,0,0,Sugarcane,,,120,190,360,360,1800,1800,5
HarvestCropMediumCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,164,215,,18,7,26,22,20,0,0,Carrot,,,120,190,240,260,1800,1800,5
HarvestCropMediumIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,119,161,,18,7,26,22,20,0,0,Indigo,,,120,190,660,900,1800,1800,5
