Name,ShopIconExportName,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryEnabled,RepairPrice
String,String,int,int,int,int,int,int,int,String,String,String,String,int,int,int,int,String,String,String,String,String,String,String,int,int,String,int,Boolean,int
NetMakerBroken,,1,,,,,,,,sc/fishing_area_buildings_and_decos.sc,net_maker_broken,,2,2,,,,,,,,,,,,,,false,28000
NetMaker,shop_icon_netmaker,1,2880,,2,0,,,,sc/fishing_area_buildings_and_decos.sc,net_maker,net_maker_mastery,2,2,32,65,TID_NETMAKER,TID_NETMAKER_DESCRIPTION,NetmakerTap,NetmakerTapProcessing,Collect,Buy,,120,-5,SpeedUp,372,true,
,,,,,,10,,,,,,,,,,,,,,,,,,960,-10,SpeedUp,1370,,
,,,,,,20,,,,,,,,,,,,,,,,,,6840,-15,SpeedUp,5000,,
,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,
