Name,ToolIconExportName,TID,DescriptionTID,NetType,InstantComplete,DiamondPrice,RequirementAmount,Requirement,TimeMin,ProcessingBuilding,UnlockLevel,ExpCollect,InitialAmount,FishingDurationMinutes,InstantCompleteFishingPrice,DropCountMin,DropCountMax,DropType,DropTypeProbability,DropTypeMax,CollectHUD,CollectHUDSlots,IngameAnimation,PlaceSound,ReadySound,CollectSound,TapNetSound
String,String,String,string,String,int,int,int,String,int,String,int,int,int,int,int,int,int,String,int,int,String,int,String,String,String,String,String
LobsterBox,icon_set_lobster_net,TID_LOBSTER_TRAP,TID_NETMAKER_PRODUCT_DESCRIPTION,LobsterBox,5,5,,,120,NetMaker,44,5,,360,8,1,1,Lobster,100,1,,,lobster_net_ingame,FishingPlaceCage,,CollectLobsterCage,
FishingNet,icon_regular_net,TID_FISHING_NET,TID_NETMAKER_PRODUCT_DESCRIPTION,FishingNet,7,7,,,240,NetMaker,30,7,,1200,15,3,3,Fish Meat,100,3,regular_net,3,regular_net_ingame,FishingPlaceNet,,CollectNet,NetReadyTap
MysteryNet,icon_mystery_net,TID_MYSTERY_NET,TID_NETMAKER_PRODUCT_DESCRIPTION,FishingNet,7,12,5,Diamonds,180,NetMaker,30,7,,1260,15,4,6,Land Deed,16,1,mystery_net,6,mystery_net_ingame,FishingPlaceMysteryNet,,CollectNet,NetReadyTap
,,,,,,,,,,,,,,,,,,Mallet,16,1,,,,,,,
,,,,,,,,,,,,,,,,,,Marker Stake,16,1,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Plank,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Axe,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,Saw,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,Shovel,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,Dynamite,15,1,,,,,,,
,,,,,,,,,,,,,,,,,,Demolition Charge,15,1,,,,,,,
,,,,,,,,,,,,,,,,,,Diamond Ring,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Necklace,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,Bracelet,7,1,,,,,,,
,,,,,,,,,,,,,,,,,,Blackberry Jam,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,Apple Jam,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,Syrup,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,FreeDiamonds,16,1,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher1,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher2,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher3,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher4,6,1,,,,,,,
,,,,,,,,,,,,,,,,,,BaitGreen,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,BaitBlue,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,BaitPurple,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,BaitGold,10,1,,,,,,,
,,,,,,,,,,,,,,,,,,SilverOre,12,1,,,,,,,
,,,,,,,,,,,,,,,,,,GoldOre,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,PlatinumOre,4,1,,,,,,,
,,,,,,,,,,,,,,,,,,PearlOfTheSea,25,1,,,,,,,
,,,,,,,,,,,,,,,,,,Wheebarrow,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,Woodpile,4,1,,,,,,,
,,,,,,,,,,,,,,,,,,Barrel_1,8,1,,,,,,,
,,,,,,,,,,,,,,,,,,Fish Meat,400,3,,,,,,,
,,,,,,,,,,,,,,,,,,Pickaxe,20,1,,,,,,,
,,,,,,,,,,,,,,,,,,Hammer,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Hand Drill,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Paint Bucket,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Stone Block,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Brick,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Tar Bucket,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,Map Piece,2,1,,,,,,,
DuckTrap,icon_set_duck_trap,TID_DUCK_TRAP,TID_NETMAKER_PRODUCT_DESCRIPTION,DuckTrap,4,4,,,60,NetMaker,50,3,,120,5,1,1,Duck,100,1,,,duck_net_ingame,FishingPlaceCage,DuckLanding,DuckCollect,
