Name,Type,FallbackStory,Width,Height,ExportName,Text1,Text2,URL
String,String,String,int,int,String,String,String,String
FSf,FSf,,2,2,fluff_story_2x2_01,,,
FSw,FSw,,2,1,player_ad_01,,,
FSt,FSt,,1,2,player_ad_01,,,
FSs,FSs,,1,1,player_ad_01,,,
P,P,,1,1,cross_promo_ad,,,
Pw,P,,2,1,cross_promo_ad_2col,,,
Pt,P,CFSt,1,3,cross_promo_ad_catalogue,,,
SO,SO,,1,1,player_ad_01,,,
DB,DB,,1,1,player_ad_01,,,
MP,MP,,1,2,player_ad_01,,,
GA,GA,,1,1,player_ad_01,,,
H,H,,2,1,header,,,
Pfb,Pfb,GA,1,1,facebook_ad,TID_NEWSPAPER_FB_PROMO_TEXT,TID_NEWSPAPER_FB_PROMO_BUBBLE_TEXT,http://www.facebook.com/297050457046195
Pwb,Pwb,GA,1,1,weibo_ad,TID_NEWSPAPER_WB_PROMO_TEXT,TID_NEWSPAPER_WB_PROMO_BUBBLE_TEXT,http://e.weibo.com/hayday365
Pig,Pig,GA,1,1,instagram_ad,TID_NEWSPAPER_IG_PROMO_TEXT,TID_NEWSPAPER_IG_PROMO_BUBBLE_TEXT,http://instagram.com/HayDay
TO,TO,GA,1,1,daily_deal_ad,TID_TOOLS_OFFER_TITLE,TID_TOOLS_OFFER_DESCRIPTION,
CH,CH,,2,1,catalogue_header,,,
CG,CG,,1,3,catalogue_item_01,,,
CFSf,CFSf,,2,2,catalogue_front_page,,,
CFSb,CFSb,,2,3,catalogue_back_page_fluff,,,
CFSt,CFSt,,1,3,cross_promo_filler_catalogue,,,
Pda,Pda,GA,1,1,dynamic_ad,,,
,,,,,youtube_ad_1x1,,,
Pyt,Pyt,GA,2,1,youtube_ad_2x1,TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_TEXT,TID_NEWSPAPER_YOUTUBE_AD_WHILE_YOU_ARE_AWAY_BUBBLE_TEXT,http://www.youtube.com/watch?v=5_tAgHDO-GU
Pdaw,Pdaw,GA,2,1,dynamic_ad_2col,,,
,,,,,youtube_ad_2x1,,,
