"Name","Enabled","TID","DelayMinutes","Sound","MinLevel","MaxLevel"
"String","Boolean","String","int","String","int","int"
"PlayerComeBack","true","TID_NOTIFICATION_PLAYER_PLEASE_COME_BACK",1440,"InstantComplete",,
"OrderReady","true","TID_NOTIFICATION_ORDER_READY",480,"CarHorn",,
"RoadsideShopClear","true","TID_NOTIFICATION_ROADSIDE_SHOP_CLEAR",,"Buy",,
"CropsReady","true","TID_NOTIFICATION_CROPS_READY",,"CoinXpExplosion",,
"ChickenReady","true","TID_NOTIFICATION_CHICKEN_READY",,"TapChicken",,18
"CowReady","true","TID_NOTIFICATION_COW_READY",,"TapCow",,
"SheepReady","true","TID_NOTIFICATION_SHEEP_READY",,"TapSheep",,
"PigReady","true","TID_NOTIFICATION_PIG_READY",,"TapPig",,
"GoatReady","true","TID_NOTIFICATION_GOAT_READY",,"TapGoat",,
"BuildingReady","true","TID_NOTIFICATION_BUILDING_CONSTRUCTION_READY",,"SiloWareHouseUpgrade",,
"HelpWithBoat","true","TID_PN_HELP_WITH_BOAT_ORDER",,"BoatHorn",,
"HelpWithBoatAnon","true","TID_PN_HELP_WITH_BOAT_ORDER_ANONYMOUS",,"BoatHorn",,
"BoyReady","true","TID_NOTIFICATION_TOM_READY",,,,
"BoatArrived","true","TID_NOTIFICATION_BOAT_ARRIVED",,,,
"BoatLeaving","true","TID_NOTIFICATION_BOAT_LEAVING",,,,
"MasteryStarGained","true","TID_NOTIFICATION_MASTERY_STAR_GAINED",,,,
"FarmLiked","true","TID_PN_LIKE_FARM",,"PetWhistle",,
"FarmLikedAnon","true","TID_PN_LIKE_FARM_ANONYMOUS",,"PetWhistle",,
"CalendarEvent","true","TID_CALENDAR_EVENT_DEFAULT_NOTIFICATION",,"EventBoardSound",,
"FishingSpotCollectionReady","true","TID_NOTIFICATION_FISHING_SPOT_COLLECTION_READY",,"CollectNet",30,
"LureCooldownEnded","true","TID_NOTIFICATION_LURE_COOLDOWN_ENDED",,"FishingCastLine",27,
"LobsterPoolHarvestReady","true","TID_NOTIFICATION_LOBSTER_POOL_HARVEST_READY",,"HarvestLobster",44,
"MasteryStarGainedFishing","true","TID_NOTIFICATION_MASTERY_STAR_GAINED",,,,
"NPCTrainArrives","true","TID_NOTIFICATION_NPC_TRAIN_ARRIVES",,"TrainWhistle",32,
"HivesReady","true","TID_NOTIFICATION_HIVES_READY",,"TapBeeHive",,
"DuckSalonHarvestReady","true","TID_NOTIFICATION_DUCK_SALON_HARVEST_READY",,"HarvestLobster",44,
"DerbyTaskEnding","true","TID_NOTIFICATION_DERBY_TASK_ENDING",,,,
"DerbyEnding","true","TID_NOTIFICATION_DERBY_ENDING",,,,
"DerbyEnded","true","TID_NOTIFICATION_DERBY_ENDED",,,,
"DerbyStarted","true","TID_NOTIFICATION_DERBY_STARTED",,,,
"DerbyOptedOut","true","TID_NOTIFICATION_DERBY_OPTED_OUT",,,,
"NeighborhoodRequestComplete","true","TID_PN_NEIGHBORHOOD_TRADING_ORDER_COMPLETE",,"RavenSwipe",19,
"FreeRequestAvailable","true","TID_NOTIFICATION_FREE_REQUEST_AVAILABLE",,"RavenSwipe",19,
"HelpersWaiting","true","TID_NOTIFICATION_HELPERS_WAITING",60,,33,
