Name,TID,MinLevel,DefaultValue,UserConfigDisabled,Group,HeadlineTID
String,String,int,boolean,boolean,String,String
Crops,TID_NOTIFICATIONS_SETTINGS_CROPS,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
Animals,TID_NOTIFICATIONS_SETTINGS_ANIMALS,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
RoadsideShop,TID_NOTIFICATIONS_SETTINGS_ROADSIDE_SHOP,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
ConstructionBuilding,TID_NOTIFICATIONS_SETTINGS_CONSTRUCTION_BUILDING,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
OrderReady,TID_NOTIFICATIONS_SETTINGS_ORDER_READY,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
CalendarEvent,TID_NOTIFICATIONS_SETTINGS_CALENDAR_EVENT,9,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
Tom,TID_NOTIFICATIONS_SETTINGS_TOM,14,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
MasteryStar,TID_NOTIFICATIONS_SETTINGS_MASTERY_STAR,15,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
Boat,TID_NOTIFICATIONS_SETTINGS_BOAT,17,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
Miscellaneous,TID_NOTIFICATIONS_SETTINGS_MISCELLANEOUS,,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
LureCooldownEnded,TID_NOTIFICATIONS_SETTINGS_LURE_COOLDOWN_ENDED,27,true,,Fishing,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING
FishingSpotCollectionReady,TID_NOTIFICATIONS_SETTINGS_FISHING_SPOT_COLLECTION_READY,30,true,,Fishing,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING
LobsterPoolHarvestReady,TID_NOTIFICATIONS_SETTINGS_LOBSTER_POOL_HARVEST_READY,44,true,,Fishing,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING
NPCTrainArrives,TID_NOTIFICATIONS_SETTINGS_NPC_TRAIN_ARRIVES,32,true,,Town,TID_NOTIFICATIONS_SETTINGS_HEADLINE_TOWN
DuckSalonHarvestReady,TID_NOTIFICATIONS_SETTINGS_DUCK_SALON_HARVEST_READY,44,true,,Fishing,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FISHING
Derby,TID_NOTIFICATIONS_SETTINGS_DERBY,18,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
NeighborhoodTrading,TID_NOTIFICATIONS_SETTINGS_NEIGHBORHOOD_TRADING,19,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
Helpers,TID_NOTIFICATIONS_SETTINGS_HELPERS,33,true,,Farm,TID_NOTIFICATIONS_SETTINGS_HEADLINE_FARM
