"Name","Title","Description","ExportName","BasePackage","OfferPackages","IntervalDays","DurationMinutes","NonBuyer","Buyer","StarterPackage","StarterPackageOfferTimes","StarterPackagePauses","StarterPackagePauseHours","StarterPackageLevelUpDelayMinutes","RequiredTutorial","UnlockLevel","ReputationUnlockLevel","OfferImageURL"
"String","String","String","String","String","String","Int","Int","boolean","boolean","boolean","int","int","int","int","String","int","int","String"
"NonBuyer2","TID_TLO_POPUP_TITLE","TID_TLO_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage4","com.supercell.soil.diamondpackage4_1",4,60,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_porkrider.png"
,,,,,"com.supercell.soil.diamondpackage4_2",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_rocklobster.png"
,,,,,"com.supercell.soil.diamondpackage4_3",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_shoutpig.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_cowdreyhepburn.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_icebath.png"
"Buyer1","TID_TLO_POPUP_TITLE","TID_TLO_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage4","com.supercell.soil.diamondpackage4_4",10,60,,"TRUE",,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_porkrider.png"
,,,,,"com.supercell.soil.diamondpackage4_5",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_rocklobster.png"
,,,,,"com.supercell.soil.diamondpackage4_6",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_shoutpig.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_cowdreyhepburn.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_icebath.png"
"Buyer2","TID_TLO_POPUP_TITLE","TID_TLO_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage5","com.supercell.soil.diamondpackage5_4",10,60,,"TRUE",,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_porkrider.png"
,,,,,"com.supercell.soil.diamondpackage5_5",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_rocklobster.png"
,,,,,"com.supercell.soil.diamondpackage5_6",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_shoutpig.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_cowdreyhepburn.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_icebath.png"
"Buyer3","TID_TLO_POPUP_TITLE","TID_TLO_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage6","com.supercell.soil.diamondpackage6_1",10,60,,"TRUE",,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_porkrider.png"
,,,,,"com.supercell.soil.diamondpackage6_2",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_rocklobster.png"
,,,,,"com.supercell.soil.diamondpackage6_3",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_shoutpig.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_cowdreyhepburn.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_icebath.png"
"Valentine1","TID_TLO_POPUP_TITLE","TID_TLO_VALENTINE_DESCRIPITON","tlo_popup_container","com.supercell.soil.diamondpackage7","com.supercell.soil.diamondpackage7_1",0,60,,,,,,,,,,,
"NonBuyer3","TID_TLO_POPUP_TITLE","TID_TLO_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage2","com.supercell.soil.diamondpackage2_1",4,60,"TRUE",,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_porkrider.png"
,,,,,"com.supercell.soil.diamondpackage2_2",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_rocklobster.png"
,,,,,"com.supercell.soil.diamondpackage2_3",,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_shoutpig.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_cowdreyhepburn.png"
,,,,,,,,,,,,,,,,,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_general_icebath.png"
"Valentine2EvenYear","TID_TLO_POPUP_TITLE","TID_TLO_VALENTINE_DESCRIPITON","tlo_popup_container","com.supercell.soil.diamondpackage7","com.supercell.soil.diamondpackage7_1",0,60,,,,,,,,,,,
"SpecialOffer","TID_TLO_POPUP_TITLE","TID_TLO_SPECIAL_OFFER_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage7","com.supercell.soil.diamondpackage7_1",0,60,,,,,,,,,,,
"SpecialOffer1","TID_TLO_POPUP_TITLE","TID_TLO_SPECIAL_OFFER_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage7","com.supercell.soil.diamondpackage7_1",0,60,,,,,,,,,,,
"EasterOffer","TID_TLO_POPUP_TITLE","TID_TLO_SPECIAL_OFFER_DESCRIPTION","tlo_popup_container","com.supercell.soil.diamondpackage7","com.supercell.soil.diamondpackage7_1",0,60,,,,,,,,,,,
"StarterPack1","TID_STARTER_PACK_1_TLO_POPUP_TITLE","TID_STARTER_PACK_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_farm","com.supercell.soil.starterpackage1","com.supercell.soil.starterpackage1",0,1440,"TRUE",,"TRUE",,3,24,10,,8,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_farm.png"
"StarterPack2","TID_STARTER_PACK_2_TLO_POPUP_TITLE","TID_STARTER_PACK_2_TLO_POPUP_DESCRIPTION","tlo_starterpack_farm_expansion","com.supercell.soil.starterpackage2","com.supercell.soil.starterpackage2",0,1440,"TRUE",,"TRUE",,3,24,10,,22,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_farm_expansion.png"
"StarterPack3","TID_STARTER_PACK_3_TLO_POPUP_TITLE","TID_STARTER_PACK_3_TLO_POPUP_DESCRIPTION","tlo_starterpack_fishing","com.supercell.soil.starterpackage3","com.supercell.soil.starterpackage3",0,1440,"TRUE",,"TRUE",,3,24,10,"Step73: Fishing boat fixed",27,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_fishing.png"
"StarterPack4","TID_STARTER_PACK_4_TLO_POPUP_TITLE","TID_STARTER_PACK_4_TLO_POPUP_DESCRIPTION","tlo_starterpack_town","com.supercell.soil.starterpackage4","com.supercell.soil.starterpackage4",0,1440,"TRUE",,"TRUE",,3,24,10,,34,2,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_town.png"
"StarterPack5","TID_STARTER_PACK_5_TLO_POPUP_TITLE","TID_STARTER_PACK_5_TLO_POPUP_DESCRIPTION","tlo_starterpack_town_expansion","com.supercell.soil.starterpackage5","com.supercell.soil.starterpackage5",0,1440,"TRUE",,"TRUE",,3,24,10,,,3,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_town_expansion.png
"StarterPack1_1","TID_STARTER_PACK_1_1_TLO_POPUP_TITLE","TID_STARTER_PACK_1_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_farm","com.supercell.soil.starterpackage1_1","com.supercell.soil.starterpackage1_1",0,1440,,"TRUE","TRUE",,3,24,10,,8,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_farm.png"
"StarterPack2_1","TID_STARTER_PACK_2_1_TLO_POPUP_TITLE","TID_STARTER_PACK_2_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_farm_expansion","com.supercell.soil.starterpackage2_1","com.supercell.soil.starterpackage2_1",0,1440,,"TRUE","TRUE",,3,24,10,,22,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_farm_expansion.png"
"StarterPack3_1","TID_STARTER_PACK_3_1_TLO_POPUP_TITLE","TID_STARTER_PACK_3_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_fishing","com.supercell.soil.starterpackage3_1","com.supercell.soil.starterpackage3_1",0,1440,,"TRUE","TRUE",,3,24,10,"Step73: Fishing boat fixed",27,,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_fishing.png"
"StarterPack4_1","TID_STARTER_PACK_4_1_TLO_POPUP_TITLE","TID_STARTER_PACK_4_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_town","com.supercell.soil.starterpackage4_1","com.supercell.soil.starterpackage4_1",0,1440,,"TRUE","TRUE",,3,24,10,,34,2,"http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_town.png"
"StarterPack5_1","TID_STARTER_PACK_5_1_TLO_POPUP_TITLE","TID_STARTER_PACK_5_1_TLO_POPUP_DESCRIPTION","tlo_starterpack_town_expansion","com.supercell.soil.starterpackage5_1","com.supercell.soil.starterpackage5_1",0,1440,,"TRUE","TRUE",,3,24,10,,,3,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/offers/tlo_starterpack_town_expansion.png
