"Name","ExportName","TID"
"String","String","String"
"Order Kindergarten","order_img_kindergarten","TID_ORDER_TITLE_00"
"Order School","order_img_school","TID_ORDER_TITLE_01"
"Order Church","order_img_church","TID_ORDER_TITLE_02"
"Order Joan's Salon","order_img_salon","TID_ORDER_TITLE_03"
"Order Susan's Store","order_img_store","TID_ORDER_TITLE_04"
"Order Mike's Mill","order_img_mill","TID_ORDER_TITLE_05"
"Order Ben's Brewery","order_img_brewery","TID_ORDER_TITLE_06"
"Order Fabio's Fishery","order_img_fishery","TID_ORDER_TITLE_07"
"Order Frank's Factory","order_img_factory","TID_ORDER_TITLE_08"
"Order Grant's Graveyard","order_img_graveyard","TID_ORDER_TITLE_09"
