Name,FileName,ExportName,IconExportName,BodyIconExportName,TID,WalkSpeedMin,WalkSpeedMax,WalkSpeedChangeTime,WalkToServiceSpeedModifier,WalkToTrainStationSpeedModifier,IdleTime,PathLengthMax,DistanceFromTrainMax,UnlockLevel,AlightTrainTime,ServiceTime,ServiceFinishHappyTime,BoardTrainTime,SpeechBubbleTimer,MumbleSound,AttentionSound,HappySound,EatSound,MumbleTimerMin,MumbleTimerMax,VoicePitch,PickCountMax,IsMale,VisitorPickReputationRewardPoints
String,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,String,String,String,int,int,int,int,boolean,int
FrenchLady,sc/train_humans.sc,visitor_french_lady,visitor_french_lady_icon,visitor_french_lady_body_icon,TID_PASSENGER_FRENCH_LADY,12,20,15,150,130,171,1500,1600,1,30,20,35,30,400,FemaleMumble,FemaleAttention,FemaleHappy,FemaleEat,200,4000,120,1,false,1
Cletus,sc/train_humans.sc,visitor_cletus,visitor_cletus_icon,visitor_cletus_body_icon,TID_PASSENGER_CLETUS,13,20,15,150,130,40,1500,1600,1,30,20,22,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,100,1,true,1
Salesman,sc/train_humans.sc,visitor_salesman,visitor_salesman_icon,visitor_salesman_body_icon,TID_PASSENGER_SALESMAN,10,15,15,150,130,53,1500,1600,1,30,20,23,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,80,1,true,1
Mechanic,sc/train_humans.sc,visitor_mechanic,visitor_mechanic_icon,visitor_mechanic_body_icon,TID_PASSENGER_MECHANIC,12,20,15,150,130,113,1500,1600,1,30,20,20,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,75,1,true,1
Leyla,sc/train_humans.sc,visitor_leyla,visitor_leyla_icon,visitor_leyla_body_icon,TID_PASSENGER_LEYLA,12,20,15,150,130,141,1500,1600,1,30,20,20,30,400,FemaleMumble,FemaleAttention,FemaleHappy,FemaleEat,200,4000,120,1,false,1
Teacher,sc/train_humans.sc,visitor_teacher,visitor_teacher_icon,visitor_teacher_body_icon,TID_PASSENGER_TEACHER,12,20,15,150,130,119,1500,1600,1,30,20,17,30,400,FemaleMumble,FemaleAttention,FemaleHappy,FemaleEat,200,4000,90,1,false,1
Strongman,sc/train_humans.sc,visitor_strongman,visitor_strongman_icon,visitor_strongman_body_icon,TID_PASSENGER_STRONGMAN,10,15,15,150,130,214,1500,1600,1,30,20,19,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,130,1,true,1
Grandpa,sc/train_humans.sc,visitor_granpa,visitor_granpa_icon,visitor_granpa_body_icon,TID_PASSENGER_GRANDPA,7,10,15,180,150,212,1500,1600,1,30,20,20,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,78,1,true,1
Cowboy,sc/train_humans.sc,visitor_cowboy,visitor_cowboy_icon,visitor_cowboy_body_icon,TID_PASSENGER_COWBOY,12,20,15,180,130,162,1500,1600,1,30,20,89,30,400,MaleMumble,MaleAttention,MaleHappy,MaleEat,200,4000,80,1,true,1
Actress,sc/train_humans.sc,visitor_victorian_woman,visitor_victorian_woman_icon,visitor_victorian_woman_body_icon,TID_PASSENGER_VICTORIAN_LADY,11,20,15,180,130,109,1500,1600,1,30,20,89,30,400,FemaleMumble,FemaleAttention,FemaleHappy,FemaleEat,200,4000,120,1,false,1
