Name,FileName,ExportName,Carts,RepairPrice,TimeMin,TimeSec,ExpToBuild,InstantComplete,IconName,TID,TileWidth,TileHeight,StopX,StopY,ParkX,ParkY,TapSound,ChooSound,WhistleSound,WheelCircum,ChooEffectExportName,StoppedTime,MoveTime,MoveDistanceX,Capacity,CooldownIntervalSeconds,InstantCompleteCooldown,CollectionTool1,CollectionTool1Amount,CollectionTool2,CollectionTool2Amount,CollectionTool3,CollectionTool3Amount,ReputationLevelRequired
String,String,String,String,int,int,int,int,int,String,String,int,int,int,int,int,int,String,String,String,int,String,int,int,int,int,int,int,String,int,String,int,String,int,int
PersonalTrainBroken,sc/train_buildings.sc,train_personal_broken,,13000,,,,,icon_train01,,4,1,17,21,27,18,MenuBleep,,,,,,,,,,,,,,,,,
PersonalTrain,sc/train_buildings.sc,train_personal_lvl1,PassengerCartLevel1,,360,,13,32,icon_train01,TID_PERSONAL_TRAIN,4,1,17,21,27,18,MenuBleep,TrainChoo,TrainWhistle,700,train_smoke,100,500,50,1,21600,12,CoalBar,5,IronBar,5,SilverBar,5,2
,,train_personal_lvl2,PassengerCartLevel2,,,,,,,,,,,,,,,,,,,,,,2,19800,,CoalBar,5,IronBar,5,GoldBar,5,3
,,train_personal_lvl2,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,3,18000,,CoalBar,5,IronBar,5,PlatinumBar,5,4
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,4,16200,,CoalBar,10,IronBar,10,SilverBar,10,5
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,5,14400,,CoalBar,10,IronBar,10,GoldBar,10,6
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,6,12600,,CoalBar,10,IronBar,10,PlatinumBar,10,7
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,7,10800,,CoalBar,15,IronBar,15,SilverBar,15,8
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,8,9000,,CoalBar,15,IronBar,15,GoldBar,15,9
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,9,7200,,CoalBar,15,IronBar,15,PlatinumBar,15,10
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,10,5400,,CoalBar,20,IronBar,20,SilverBar,20,11
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,20,IronBar,20,GoldBar,20,12
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,20,IronBar,20,PlatinumBar,20,13
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,25,IronBar,25,SilverBar,25,14
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,25,IronBar,25,GoldBar,25,15
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,25,IronBar,25,PlatinumBar,25,16
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,30,IronBar,30,SilverBar,30,17
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,30,IronBar,30,GoldBar,30,18
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,CoalBar,30,IronBar,30,PlatinumBar,30,
,,train_personal_lvl3,PassengerCartLevel3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
