Name,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconExportName,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,Vouchers,VoucherCount,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder
String,int,int,int,String,String,String,int,int,int,int,String,int,String,String,int,int,String,String,String,int,int,int,int,int,int,int,String,int,int,String,int,int,String,String,String,String,String,String,String,String,String,int,boolean,int
Cat1,31,0,360,CatHouse,sc/animals.sc,shop_icon_cat01,150,1000,3,40,Voucher1,20,cat01_idle,cat01_hungry_idle,3000,9000,cat01_run,cat01_walk,cat01_hungry_walk,3000,9000,3000,9000,10,9,33,cat01_eat,3000,9000,cat01_sleep,3000,9000,TID_CAT1,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,20,true,700
,,,,,,,,,,,Voucher2,8,cat01_idle2,cat01_hungry_idle2,,,,cat01_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,8,cat01_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat2,21,0,360,CatHouse,sc/animals.sc,shop_icon_cat02,150,1000,3,20,Voucher1,8,cat02_idle,cat02_hungry_idle,3000,9000,cat02_run,cat02_walk,cat02_hungry_walk,3000,9000,3000,9000,10,9,33,cat02_eat,3000,9000,cat02_sleep,3000,9000,TID_CAT2,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,26,true,500
,,,,,,,,,,,Voucher3,3,cat02_idle2,cat02_hungry_idle2,,,,cat02_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,cat02_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat3,23,0,360,CatHouse,sc/animals.sc,shop_icon_cat03,150,1000,3,30,Voucher1,15,cat03_idle,cat03_hungry_idle,3000,9000,cat03_run,cat03_walk,cat03_hungry_walk,3000,9000,3000,9000,10,9,33,cat03_eat,3000,9000,cat03_sleep,3000,9000,TID_CAT3,TID_CAT_DESCRIPTION,,CatTap,CatTap,Buy,,,MaxCatAmount,32,true,600
,,,,,,,,,,,Voucher3,4,cat03_idle2,cat03_hungry_idle2,,,,cat03_walk2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,cat03_idle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
