Name,ShopIconExportName,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryEnabled
String,String,int,int,int,int,int,int,int,String,String,String,String,int,int,int,int,String,String,String,String,String,String,String,int,int,String,int,Boolean
Bakery,shop_icon_bakery,2,,10,2,20,,,,sc/buildings_new.sc,bakery_01,bakery_01_mastered,3,3,3,1,TID_BAKERY,TID_BAKERY_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,35,10,Coin,520,true
,,,,,,6,,,,,,,,,,,,,,,,,,175,10,Exp,1182,
,,,,,,9,,,,,,,,,,,,,,,,,,735,-15,SpeedUp,2562,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Hammermill,shop_icon_foodblender,3,,40,3,5,3195,1,MaxHammermills,sc/buildings_new.sc,foodblender_01,foodblender_01_mastered,3,3,4,1,TID_FEED_MILL,TID_HAMMERMILL_DESCRIPTION,HammermillTap,HammerMillTapProcessing,Collect,Buy,,120,-5,SpeedUp,372,true
,,,,,,6,,,,,,,,,,,,,,,,,,960,-10,SpeedUp,1370,
,,,,,,9,,,,,,,,,,,,,,,,,,6840,-15,SpeedUp,5000,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Popcorn_Pot,shop_icon_popcornpot,8,480,,2,650,,,,sc/buildings_new.sc,popcorn_pot_01,popcorn_pot_01_mastered,3,3,14,29,TID_POPCORN_POT,TID_POPCORN_POT_DESCRIPTION,PopcornPotTap,PopcornPotTapProcessing,Collect,Buy,,50,10,Coin,590,true
,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1212,
,,,,,,9,,,,,,,,,,,,,,,,,,650,-15,SpeedUp,2373,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Dairy,shop_icon_dairy,6,120,,2,50,,,,sc/buildings_new.sc,dairy_01,dairy_01_mastered,4,4,8,16,TID_DAIRY,TID_DAIRY_DESCRIPTION,DairyTap,DairyTapProcessing,Collect,Buy,,40,10,Coin,545,true
,,,,,,6,,,,,,,,,,,,,,,,,,160,10,Exp,1122,
,,,,,,9,,,,,,,,,,,,,,,,,,520,-15,SpeedUp,2198,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
