Name,Function,Parameters,HourParameters
String,String,String,int
Valentine_2013,daterange,2013-2-4,
,,2013-2-5,
Diamonds1,resource,Diamonds,
,,0,
,,9,
Diamonds10,resource,Diamonds,
,,10,
,,99,
Diamonds100,resource,Diamonds,
,,100,
,,999,
Tier0,tier,0,
Tier1,tier,1,
Tier2,tier,2,
Tier3,tier,3,
Valentine_2014,daterange,2014-2-14,
,,2014-2-15,
Valentine_2015,daterange,2015-2-14,
,,2015-2-15,
Valentine_2016,daterange,2016-2-14,
,,2016-2-15,
Valentine_2017,daterange,2017-2-14,
,,2017-2-15,
SpecialOffer,daterange,2014-4-23,
,,2014-4-29,
EasterOffer,daterange,2014-4-18,
,,2014-4-21,
SpecialOffer1,daterange,2014-4-30,
,,2014-5-7,
