Name,SanctuaryAnimal,SanctuaryAnimalWeight
String,String,int
Group1,Elephant1,162
,Hippo2,54
,Giraffe1,18
,Elephant2,6
,Hippo1,2
,Giraffe2,1
Group2,Elephant1,162
,Giraffe2,54
,Hippo1,18
,Elephant2,6
,Giraffe1,2
,Hippo2,1
Group3,Elephant2,162
,Giraffe1,54
,Hippo2,18
,Elephant1,6
,Giraffe2,2
,Hippo1,1
Group4,Elephant2,162
,Hippo1,54
,Giraffe2,18
,Elephant1,6
,Hippo2,2
,Giraffe1,1
Group5,Giraffe1,162
,Elephant2,54
,Hippo1,18
,Giraffe2,6
,Elephant1,2
,Hippo2,1
Group6,Giraffe1,162
,Hippo2,54
,Elephant1,18
,Giraffe2,6
,Hippo1,2
,Elephant2,1
Group7,Giraffe2,162
,Elephant1,54
,Hippo2,18
,Giraffe1,6
,Elephant2,2
,Hippo1,1
Group8,Giraffe2,162
,Hippo1,54
,Elephant2,18
,Giraffe1,6
,Hippo2,2
,Elephant1,1
Group9,Hippo1,162
,Elephant2,54
,Giraffe1,18
,Hippo2,6
,Elephant1,2
,Giraffe2,1
Group10,Hippo1,162
,Giraffe2,54
,Elephant1,18
,Hippo2,6
,Giraffe1,2
,Elephant2,1
Group11,Hippo2,162
,Elephant1,54
,Giraffe2,18
,Hippo1,6
,Elephant2,2
,Giraffe1,1
Group12,Hippo2,162
,Giraffe1,54
,Elephant2,18
,Hippo1,6
,Giraffe2,2
,Elephant1,1
