Name,FileName,ExportName,Goods,ServiceTimeMin,ServiceTimeSec,InstantCompleteService,ReputationPerService,ShopIconExportName,ShopIconFileName,EffectExportName,UnlockLevel,TileWidth,TileHeight,Price,ExpToBuild,TimeMin,TimeSec,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,CollectionTool1,CollectionTool1Amount,CollectionTool2,CollectionTool2Amount,CollectionTool3,CollectionTool3Amount,ReputationLevelRequired,ServiceSlots,CoinBonus,ExpAndRepBonus,TimeBonus,CoinBonusLevelRequirement,ExpAndRepBonusLevelRequirement,TimeBonusLevelRequirement,VisitorDoorTileX,VisitorDoorTileY,ReputationUnlockLevel,VisitorRequestProbabilityBuildingUnlocked,VisitorRequestProbabilityBuildingConstructed
String,String,String,String,int,int,int,int,String,String,String,int,int,int,int,int,int,int,int,String,String,String,String,String,String,String,String,int,String,int,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int
Grocery Store,sc/train_buildings.sc,store_lvl1,Wheat,60,0,4,4,shop_icon_store_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,500,11,0,15,1,TID_TRAIN_GROCERYSTORE,TID_TRAIN_GROCERYSTORE_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Bolt,1,Duct Tape,1,Stone Block,1,2,1,0,0,0,2,3,4,3,2,1,30,100
,,store_lvl2,Egg,,,,,,,,,,,,,,,,,,,,,,,Bolt,2,Duct Tape,2,Stone Block,2,3,2,5,5,5,,,,,,,,
,,store_lvl2,Corn,,,,,,,,,,,,,,,,,,,,,,,Bolt,3,Duct Tape,3,Stone Block,3,4,3,10,10,10,,,,,,,,
,,store_lvl3,Bread,,,,,,,,,,,,,,,,,,,,,,,Bolt,4,Duct Tape,4,Stone Block,4,5,4,15,15,15,,,,,,,,
,,store_lvl3,Milk,,,,,,,,,,,,,,,,,,,,,,,Bolt,5,Duct Tape,5,Stone Block,5,6,5,20,20,20,,,,,,,,
,,store_lvl3,Cream,,,,,,,,,,,,,,,,,,,,,,,Bolt,6,Duct Tape,6,Stone Block,6,7,6,25,25,25,,,,,,,,
,,store_lvl3,Corn Bread,,,,,,,,,,,,,,,,,,,,,,,Bolt,7,Duct Tape,7,Stone Block,7,8,,30,30,30,,,,,,,,
,,store_lvl3,Brown_Sugar,,,,,,,,,,,,,,,,,,,,,,,Bolt,8,Duct Tape,8,Stone Block,8,9,,35,35,35,,,,,,,,
,,store_lvl3,Carrot,,,,,,,,,,,,,,,,,,,,,,,Bolt,9,Duct Tape,9,Stone Block,9,10,,40,40,40,,,,,,,,
,,store_lvl3,Butter,,,,,,,,,,,,,,,,,,,,,,,Bolt,10,Duct Tape,10,Stone Block,10,11,,45,45,,,,,,,,,
,,store_lvl3,Bacon,,,,,,,,,,,,,,,,,,,,,,,Bolt,11,Duct Tape,11,Stone Block,11,12,,50,50,,,,,,,,,
,,store_lvl3,Cheese,,,,,,,,,,,,,,,,,,,,,,,Bolt,12,Duct Tape,12,Stone Block,12,13,,55,55,,,,,,,,,
,,store_lvl3,White Sugar,,,,,,,,,,,,,,,,,,,,,,,Bolt,13,Duct Tape,13,Stone Block,13,14,,60,60,,,,,,,,,
,,store_lvl3,Pumpkin,,,,,,,,,,,,,,,,,,,,,,,Bolt,14,Duct Tape,14,Stone Block,14,15,,,,,,,,,,,,
,,store_lvl3,Apple,,,,,,,,,,,,,,,,,,,,,,,Bolt,15,Duct Tape,15,Stone Block,15,16,,,,,,,,,,,,
,,store_lvl3,Syrup,,,,,,,,,,,,,,,,,,,,,,,Bolt,16,Duct Tape,16,Stone Block,16,17,,,,,,,,,,,,
